"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"cloudflare-dev-proxy","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"warn-on-client-source-maps","no namespace",12,14,1,12,2,1200,"ResolvedConfig.logger,ResolvedConfig.build,ResolvedBuildOptions.ssr,ConfigEnv.command,Logger.warn,ResolvedBuildEnvironmentOptions.sourcemap,Plugin,ResolvedBuildOptions.sourcemap,picocolors,ResolvedEnvironmentOptions.build,ResolvedConfig.environments,ResolvedConfig.mode",""
"run","@types",5,7,1,8,5,800,"global.NodeJS.Require.main,global.NodeJS.ProcessVersions.node,semver,major,global.NodeJS.Process.versions",""
"run","no namespace",3,4,1,8,5,800,"arg,arg.Result.""--no-typescript"",arg.Result._",""
"plugin","no namespace",141,261,18,134,26,744.4444444444445,"UserConfig,UserConfig.root,ModuleNode.file,UserConfig.base,Environment.config,readFile,ServerResponse.end,Logger.info,PreviewServer,rename,Logger.warn,existsSync,Dirent.parentPath,ViteDevServer.hot,Dirent.path,createServer,DevEnvironment.moduleGraph,URL.href,ViteDevServer.pluginContainer,DevEnvironment.reloadModule,Logger.error,ServerResponse.setHeader,PluginContext.resolve,ResolvedConfig.command,ViteDevServer.config,ViteBuilder.build,ManifestChunk.css,ManifestChunk.file,defaultClientConditions,ViteDevServer,init,EnvironmentOptions,mkdir,RunnableDevEnvironment.runner,EnvironmentOptions.resolve,Connect.IncomingMessage.url,ModuleNode.url,Hash.digest,ResolvedConfig.build,UserConfig.server,EnvironmentOptions.optimizeDeps,ViteDevServer.ssrFixStacktrace,Hash.update,ResolvedConfig.mode,ConfigEnv.isSsrBuild,ViteDevServer.transformRequest,UserConfig.environments,PreviewServer.middlewares,.pathToFileURL,readdirSync,ResolvedId.id,ModuleRunner.import,ConfigEnv.command,loadConfigFromFile,ResolvedServerOptions.middlewareMode,PluginContext.environment,createLogger,readdir,isRunnableDevEnvironment,HotUpdatePluginContext.environment,ResolvedConfig.root,ViteBuilder.environments,ConfigEnv.mode,cp,Dirent.isFile,HotBroadcaster.send,normalizePath,ResolvedBuildOptions.assetsDir,UserConfig.logLevel,createHash,Plugin,ViteDevServer.middlewares,Connect.Server.use,ViteDevServer.ssrLoadModule,rm,ViteDevServer.environments,ManifestChunk.assets,Environment.name,PluginContainer.buildStart,Dirent.name,ResolvedConfig.server,UserConfig.plugins,UserConfig.build,DevEnvironment.name,picocolors,Plugin.name,rmSync,ResolvedConfig,ResolvedConfig.configFile,ResolvedConfig.logger,ModuleNode,ResolvedBuildOptions.manifest,resolveConfig,defaultServerConditions,readFileSync,ResolvedBuildOptions.emptyOutDir,ServerResponse.statusCode,relative,ResolvedBuildEnvironmentOptions.outDir,dist,join,resolve,ResolvedConfig.base,path.join,PluginOption,ResolvedConfig.environments,ResolvedEnvironmentOptions.build,transformWithEsbuild,path.normalize,path.extname",""
"plugin","@types",35,69,18,134,26,744.4444444444445,"path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.relative,path.PlatformPath.posix,BabelFileResult.map,global.NodeJS.Process.exit,jsesc,BabelFileResult.code,GeneratorResult.code,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NonSharedBuffer.toString,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.dirname,path.PlatformPath.basename,transformAsync,GeneratorResult,global.NodeJS.Process.env,global.NodeJS.Require.resolve,pick,kebabCase,path.PlatformPath.isAbsolute",""
"prompts-prompt-base","no namespace",10,195,2,14,6,700,"node:process,Key,Interface.close,.emitKeypressEvents,node:readline,cursor,beep,cursor.show,.createInterface",""
"prompts-prompt-base","@types",5,53,2,14,6,700,"global.NodeJS.WriteStream,global.NodeJS.ReadStream,global.NodeJS.Process.stdin,global.NodeJS.Process.stdout,EventEmitter",""
"vite-node","no namespace",13,14,2,13,4,650,"ViteDevServer.pluginContainer,PluginContainer.buildStart,createServer,ViteDevServer.config,Logger,ViteNodeServer.fetchModule,ViteNodeServer.resolveId,ResolvedConfig.base,ViteNodeServer.getSourceMap,ResolvedConfig.root,ViteNodeRunner,ViteNodeServer,ViteDevServer",""
"useJavascript","@babel",2,2,1,6,5,600,"lib",""
"useJavascript","@types",2,3,1,6,5,600,"BabelFileResult.code,transformSync",""
"useJavascript","no namespace",2,2,1,6,5,600,"prettier,format",""
"arcTableSessionStorage","@architect",5,7,1,5,2,500,"ArcTable.delete,functions,ArcTable.put,ArcTable.get,tables",""
"is-react-router-repo","no namespace",4,6,1,5,2,500,"path.resolve,dist,path.dirname,path.basename",""
"is-react-router-repo","@types",1,1,1,5,2,500,"global.NodeJS.Require.resolve",""
"react-router-fs-routes","no namespace",3,4,1,5,3,500,"node:fs,.existsSync,node:path",""
"react-router-fs-routes","@types",2,2,1,5,3,500,"path.PlatformPath.resolve,path.PlatformPath.relative",""
"resolve-file-url","@types",4,6,1,5,2,500,"path.PlatformPath.relative,path.PlatformPath.join,path.PlatformPath.isAbsolute,path.PlatformPath.posix",""
"resolve-file-url","no namespace",1,3,1,5,2,500,"normalizePath",""
"fileStorage","no namespace",5,14,2,9,5,450,"promises,.readFile,.writeFile,.mkdir,.unlink",""
"fileStorage","@types",4,5,2,9,5,450,"path.PlatformPath.join,global.Buffer.toString,path.PlatformPath.dirname,global.BufferConstructor.from",""
"load-dotenv","no namespace",3,3,1,4,2,400,"loadEnv,UserConfig,UserConfig.envDir",""
"load-dotenv","@types",1,1,1,4,2,400,"global.NodeJS.Process.env",""
"prompts-text","no namespace",8,104,2,8,2,400,"erase.line,cursor.move,cursor.save,cursor.down,cursor.to,cursor.restore,Key,erase",""
"workersKVStorage","@cloudflare",4,6,1,4,1,400,"Crypto.getRandomValues,KVNamespace.put,KVNamespace.delete,KVNamespace.get",""
"react-router-cloudflare","@cloudflare",26,34,6,22,2,366.6666666666667,"Crypto.getRandomValues,KVNamespace.put,KVNamespace.delete,KVNamespace.get,EventContext.waitUntil,EventContext.request,EventContext.passThroughOnException,Request.cf,EventContext.env,Response,EventContext,Request.headers,Response.body,Response.status,Request.clone,Console.error,Request.url,Headers.delete,Request,CacheStorage,CfProperties,IncomingRequestCfProperties",""
"worker","@cloudflare",22,28,5,18,2,360,"EventContext,Response,EventContext.env,Request.headers,Response.body,Response.status,Request.clone,Console.error,EventContext.request,Request.url,Headers.delete,Request,CacheStorage,CfProperties,IncomingRequestCfProperties,EventContext.waitUntil,EventContext.passThroughOnException,Request.cf",""
"has-rsc-plugin","no namespace",3,3,1,3,2,300,"Plugin.name,ResolvedConfig.plugins,resolveConfig",""
"optimize-deps-entries","no namespace",3,3,1,3,2,300,"escapePath,normalizePath,version",""
"profiler","no namespace",9,13,3,9,6,300,"Session,Session.post,.Session,Session.connect,node:path,.writeFileSync,picocolors,node:fs",""
"profiler","@types",1,1,3,9,6,300,"path.PlatformPath.resolve",""
"resolve-relative-route-file-path","no namespace",3,3,1,3,2,300,"normalizePath,path.resolve,dist",""
"styles","@babel",6,8,4,12,5,300,"StringLiteral.value,Identifier.name,VariableDeclarator.init,LVal.type,VariableDeclaration.declarations,VariableDeclarator.id",""
"styles","@types",5,6,4,12,5,300,"NodePath.node,NodePath.stop,global.NodeJS.Process.cwd,path.PlatformPath.relative,path.PlatformPath.resolve",""
"styles","no namespace",1,2,4,12,5,300,"ViteDevServer",""
"validate-plugin-order","no namespace",3,3,1,3,1,300,"Plugin,ResolvedConfig.plugins,Plugin.name",""
"dev","no namespace",10,15,5,14,5,280,"createServer,ResolvedConfig.plugins,ViteDevServer.bindCLIShortcuts,Plugin.name,Logger.info,ViteDevServer.config,ViteDevServer.listen,picocolors,ViteDevServer.printUrls,ResolvedConfig.logger",""
"dev","@types",4,5,5,14,5,280,"global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.ProcessEnv.hasOwnProperty,global.NodeJS.Process.env",""
"node-adapter","no namespace",7,9,2,5,2,250,"IncomingMessage,ServerResponse,Connect.IncomingMessage,Connect.IncomingMessage.url,Connect.IncomingMessage.originalUrl",""
"prompts-multi-select","no namespace",5,65,2,5,2,250,"cursor.to,erase,Key,cursor.hide,erase.line",""
"react-router-architect","@types",7,7,4,10,4,250,"APIGatewayProxyResultV2,Context,APIGatewayEventRequestContextV2,Callback,APIGatewayProxyEventV2",""
"react-router-architect","@architect",5,7,4,10,4,250,"ArcTable.delete,functions,ArcTable.put,ArcTable.get,tables",""
"react-router-node","@types",14,16,7,17,8,242.85714285714286,"global.Buffer.toString,path.PlatformPath.dirname,global.BufferConstructor.from,global.BufferConstructor.concat,Stream.Writable.destroy,Stream.Writable,Stream.Writable.end,Stream.Writable.write,Stream.Readable",""
"react-router-node","no namespace",6,15,7,17,8,242.85714285714286,"promises,.readFile,.writeFile,.mkdir,.unlink,RequestListener",""
"react-router-node","@mjackson",2,9,7,17,8,242.85714285714286,"createRequestListener,ClientAddress",""
"commands","no namespace",8,13,5,12,9,240,"exit-hook,createLogger,existsSync,copyFile,writeFile,PackageJson.dependencies,picocolors",""
"commands","@types",5,11,5,12,9,240,"path.PlatformPath.dirname,global.NodeJS.Require.resolve,path.PlatformPath.relative,path.PlatformPath.resolve,global.NodeJS.Process.exit",""
"config","no namespace",31,63,13,31,15,238.46153846153848,"path.dirname,execSync,PackageJson.dependencies,path.resolve,dist,ModuleGraph.getModuleById,FSWatcher.on,_default.watch,FSWatcher.add,ViteNodeRunner.moduleCache,ModuleCacheMap.clear,ViteDevServer.close,FSWatcher.unwatch,ViteDevServer.moduleGraph,createLogger,path.normalize,picocolors,path.relative,esm,ModuleGraph.invalidateAll,path.join,.statSync,node:fs,Stats.isDirectory,Stats.isFile",""
"config","@types",7,8,13,31,15,238.46153846153848,"pick,global.NodeJS.Require.resolve,isEqual,global.NodeJS.Process.cwd,global.NodeJS.Process.env,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT",""
"loading-indicator","@types",2,2,1,2,1,200,"global.NodeJS.ReadStream,global.NodeJS.WriteStream",""
"prerender","no namespace",7,9,6,12,6,200,"writeFile,node:path,mkdir,Plugin,p-map,PreviewServer.close,ResolvedConfig.root",""
"prerender","@types",5,9,6,12,6,200,"global.NodeJS.Process.env,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.relative,path.PlatformPath.dirname,path.PlatformPath.join",""
"prompts-select","no namespace",5,65,3,6,3,200,"cursor.to,Key,erase,erase.line,cursor.hide",""
"prompts-select","@types",1,13,3,6,3,200,"global.NodeJS.Timeout",""
"virtual-route-config","no namespace",2,2,1,2,1,200,"dist,path.resolve",""
"stream","@types",11,12,4,7,3,175,"Stream.Writable.destroy,Stream.Writable,Stream.Writable.end,Stream.Writable.write,global.BufferConstructor.concat,global.Buffer.toString,Stream.Readable",""
"prompts-confirm","no namespace",5,65,3,5,2,166.66666666666669,"erase.line,cursor.hide,cursor.to,erase,Key",""
"react-router-express","@types",9,9,3,5,3,166.66666666666669,"ParamsDictionary,e.Request,e.Response,QueryString.ParsedQs,e.NextFunction",""
"typegen","no namespace",7,10,3,5,3,166.66666666666669,"green,red,node,.rm,promises",""
"create-react-router","@types",2,26,2,3,2,150,"global.NodeJS.ReadStream,global.NodeJS.WriteStream",""
"create-react-router","no namespace",1,52,2,3,2,150,"node:process",""
"normalizeSlashes","@types",4,4,2,3,2,150,"path.PlatformPath.sep,path.PlatformPath.win32",""
"normalizeSlashes","no namespace",2,2,2,3,2,150,"node:path",""
"routes","no namespace",30,96,18,27,4,150,"resolve,pipe,custom,BaseSchema,CustomSchema,CustomIssue,string,BaseIssue,object,boolean,array,notValue,OptionalSchema,ArraySchema,StringSchema,ObjectSchema,NotValueAction,SchemaWithPipe,lazy,LazySchema,BooleanSchema,optional,isAbsolute,relative,flatten,safeParse",""
"routes","@types",3,3,18,27,4,150,"pick",""
"route-chunks","@babel",33,66,13,19,3,146.15384615384616,"isFunctionDeclaration,ExportNamedDeclaration.specifiers,ExportNamedDeclaration.declaration,isExportDefaultDeclaration,Identifier.name,Program.body,isVariableDeclaration,isImportDeclaration,isClassDeclaration,File.program,isExportAllDeclaration,isExportDeclaration,ImportDeclaration.specifiers,VariableDeclaration.declarations,isExportNamedDeclaration,isNodesEquivalent,File",""
"route-chunks","@types",5,5,13,19,3,146.15384615384616,"GeneratorResult,GeneratorOptions",""
"server","@types",58,86,41,50,14,121.95121951219512,"APIGatewayProxyStructuredResultV2,APIGatewayProxyResultV2,Context,APIGatewayEventRequestContextV2,Callback,APIGatewayProxyEventV2,APIGatewayProxyEventHeaders,APIGatewayProxyEventHeaders.host,APIGatewayProxyEventV2.headers,APIGatewayProxyEventV2.isBase64Encoded,APIGatewayProxyEventHeaders.""content-type"",global.NodeJS.ProcessEnv.ARC_SANDBOX,APIGatewayProxyEventV2.rawQueryString,global.Buffer.toString,APIGatewayProxyEventV2.body,APIGatewayProxyEventV2.requestContext,APIGatewayEventRequestContextV2.http,global.BufferConstructor.from,APIGatewayProxyEventV2.cookies,APIGatewayProxyEventHeaders.""x-forwarded-host"",global.NodeJS.Process.env,APIGatewayProxyEventV2.rawPath,ParamsDictionary,e.Request,e.Response,QueryString.ParsedQs,e.NextFunction,e.Response.end,e.Response.statusMessage,e.Response.append,e.Response.status,e.Response.flushHeaders,e.Request.hostname,e.Request.method,e.Response.on,e.Request.headers,e.Request.originalUrl,e.Request.get,e.Request.protocol,React.Fragment,React.createElement,React.ReactElement,React.ReactNode,React.ComponentClass,React.FunctionComponent",""
"server","no namespace",6,6,41,50,14,121.95121951219512,"IncomingHttpHeaders,RequestListener,AsyncLocalStorage.getStore",""
"server","@mjackson",2,9,41,50,14,121.95121951219512,"createRequestListener,ClientAddress",""
"flatRoutes","no namespace",10,21,13,15,5,115.38461538461539,"node:path,.existsSync,.readdirSync,Dirent.isFile,Dirent.name,Dirent.isDirectory,node:fs,makeRe",""
"flatRoutes","@types",8,18,13,15,5,115.38461538461539,"path.PlatformPath.join,path.PlatformPath.posix,path.PlatformPath.extname,path.PlatformPath.relative,path.PlatformPath.dirname,path.PlatformPath.win32,path.PlatformPath.sep",""
"cookies","no namespace",7,19,6,6,2,100,"ParseOptions,SerializeOptions,StringifyOptions,serialize,Cookies.name,parse",""
"copy-template","no namespace",2,2,2,2,1,100,"node:url,.fileURLToPath",""
"detectPackageManager","@types",1,1,1,1,1,100,"global.NodeJS.Process.env",""
"has-dependency","@types",1,1,1,1,1,100,"global.NodeJS.Require.resolve",""
"virtual-route-modules","no namespace",2,2,3,3,2,100,"parse,init",""
"virtual-route-modules","@types",1,1,3,3,2,100,"GeneratorResult.code",""
"babel","@types",1,1,2,1,1,50,"generate",""
"sessions","no namespace",6,32,11,5,1,45.45454545454546,"SerializeOptions.maxAge,SerializeOptions.expires,StringifyOptions,ParseOptions,SerializeOptions",""
"context","@types",27,51,21,9,1,42.857142857142854,"React.createContext,React.Context,React.createElement,React.FunctionComponentElement,React.Context.Provider,React.ProviderProps,React.useContext,React.ReactElement,React.ReactNode",""
"generate","no namespace",4,4,5,2,2,40,"join",""
"generate","@types",1,3,5,2,2,40,"GeneratorResult.code",""
"utils","no namespace",30,100,149,29,12,19.46308724832215,"Key.name,Key.ctrl,Key.meta,Key,node:path,readdir,node:process,.promises,node:fs,.mkdir,.stat,Stats.isDirectory,picocolors,Formatter,cursor,cursor.to,erase.line,erase,erase.lines,Stats.isFile",""
"utils","@types",15,41,149,29,12,19.46308724832215,"path.PlatformPath.sep,global.NodeJS.WriteStream,global.NodeJS.Process.stderr,global.NodeJS.Process.stdout,global.NodeJS.ProcessEnv.TERM,global.NodeJS.Process.env,React.ComponentClass,React.FunctionComponent,React.ReactNode",""
"build","no namespace",1,1,7,1,1,14.285714285714286,"version",""
"fog-of-war","@types",1,1,7,1,1,14.285714285714286,"React.useEffect",""
"routeModules","@types",12,86,21,3,1,14.285714285714285,"React.ReactElement,React.FunctionComponent,React.ComponentClass",""
"react-router","@types",31,79,179,19,4,10.614525139664805,"React.createElement,React.FunctionComponentElement,React.Context.Provider,React.ProviderProps,React.Fragment,React.ComponentClass,React.FunctionComponent,React.ReactElement,React.ReactNode,React.createContext,React.Context,React.useEffect",""
"react-router","no namespace",11,23,179,19,4,10.614525139664805,"AsyncLocalStorage.getStore,ParseOptions,StringifyOptions,SerializeOptions,serialize,Cookies.name,parse",""
