"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
0.43,12,"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus$TracingHandler,org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext,org.axonframework.messaging.queryhandling.configuration.QueryHandlingModule,org.axonframework.messaging.core.retry.RetryPolicy,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.common.configuration.ComponentDefinition$ComponentCreator",""
0.42,10,"org.axonframework.test.fixture.RecordingEventSink,org.axonframework.messaging.core.annotation.HandlerDefinition,org.axonframework.messaging.commandhandling.GenericCommandMessage,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingDispatcher,org.axonframework.messaging.commandhandling.CommandHandlerRegistry,org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MergeTask,org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration,org.axonframework.common.configuration.DecoratedComponent",""
0.41,1,"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember",""
0.4,41,"org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolverDefinition,org.axonframework.modelling.HierarchicalStateManager,org.axonframework.modelling.entity.annotation.ListEntityChildModelDefinition,org.axonframework.modelling.configuration.StateBasedEntityModule$EntityIdResolverPhase,org.axonframework.modelling.configuration.ModellingConfigurer,org.axonframework.modelling.repository.InMemoryRepository,org.axonframework.test.fixture.Reporter,org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember,org.axonframework.messaging.commandhandling.tracing.DefaultCommandBusSpanFactory",""
0.39,8,"org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions,org.axonframework.messaging.eventhandling.InterceptingEventSink,org.axonframework.messaging.eventhandling.configuration.EventProcessingConfigurer,org.axonframework.messaging.core.QueueMessageStream,org.axonframework.messaging.core.annotation.AnnotatedMessageHandlingMemberDefinition,io.axoniq.framework.axonserver.connector.event.EventProcessorInfoUtils,org.axonframework.eventsourcing.eventstore.AggregateBasedEventStorageEngineUtils,org.axonframework.conversion.ChainingContentTypeConverter",""
0.38,17,"org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolver,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.replay.ReplayBlockingEventHandlingComponent,org.axonframework.messaging.core.SimpleEntry,org.axonframework.messaging.core.interception.HandlerInterceptorRegistry,org.axonframework.messaging.queryhandling.tracing.DefaultQueryBusSpanFactory,org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext,org.axonframework.messaging.core.timeout.TimeoutWrappedMessageHandlingMember,io.axoniq.framework.axonserver.connector.query.QueryUpdateMessageStream",""
0.36,21,"org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcherDefinition,org.axonframework.modelling.entity.annotation.RoutingKeyCommandTargetResolverDefinition,org.axonframework.test.fixture.AxonTestPhase,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain,org.axonframework.messaging.eventhandling.InterceptingEventSink$InterceptingPublisher,org.axonframework.messaging.eventhandling.replay.GenericReplayStatusChanged,org.axonframework.messaging.eventhandling.interception.InterceptingEventHandlingComponent,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorHandler",""
0.35,6,"org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry,org.axonframework.messaging.commandhandling.CommandHandlingComponent,org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$Builder,org.axonframework.messaging.eventhandling.processing.streaming.pooled.DefaultWorkPackageEventFilter,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream",""
0.34,1,"org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder",""
0.33,104,"org.axonframework.modelling.annotation.InjectEntityParameterResolverFactoryConfigurationEnhancer,org.axonframework.modelling.EntityIdResolutionException,org.axonframework.modelling.entity.child.ChildAmbiguityException,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule$3,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule$2,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule$1,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder,org.axonframework.test.matchers.IgnoreField,org.axonframework.test.FixtureResourceParameterResolverFactory$FailingParameterResolver",""
