"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration",6,14,163,13,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",3,52,132,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",3,15,132,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming",10,16,102,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",4,52,56,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",9,85,144,16,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",6,21,163,18,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",9,52,144,19,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",15,25,67,19,""
"axon-test-5.1.2","org.axonframework.test.matchers",5,23,79,21,""
"axon-test-5.1.2","org.axonframework.test.fixture",5,32,79,28,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",12,85,83,43,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",10,51,102,44,""
"axon-common-5.1.2","org.axonframework.common.configuration",6,50,163,45,""
