"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","bridgeRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-test-5.1.1","MessageMonitorReport$Report","org.axonframework.test.util.MessageMonitorReport$Report",11,0.0482605949662927,4,0,127,"nodeEmbeddingPCA_26","nodeEmbeddingPCA_25","nodeEmbeddingPCA_27",-0.30789558901596253,-0.13014745374974984,-0.12683518360036786,""
"axon-common-5.1.1","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",12,0.046573349342621306,0,0,76,"pageRank","articleRank","pageToArticleRankDifference",-0.23448318634655713,-0.17130731976319935,-0.1702508250213924,""
"axon-common-5.1.1","DescribableComponent","org.axonframework.common.infra.DescribableComponent",13,0.038896979954920086,0,0,91,"pageRank","pageToArticleRankDifference","articleRank",-0.24008172148207554,-0.1740493920627561,-0.17061433820443758,""
"axon-common-5.1.1","ReflectionUtils","org.axonframework.common.ReflectionUtils",14,0.03511549860312185,0,0,104,"betweenness","topologicalComponentLayer","pageRank",-0.16282512652599807,-0.13170102956277185,-0.12821158241948064,""
"axon-common-5.1.1","TypeReference$2","org.axonframework.common.TypeReference$2",15,0.032414162622245446,0,0,134,"pageRank","pageToArticleRankDifference","articleRank",-0.3233094381007674,-0.24667582692645373,-0.216144749482164,""
"axon-common-5.1.1","TypeReference$1","org.axonframework.common.TypeReference$1",15,0.032414162622245446,0,0,134,"pageRank","pageToArticleRankDifference","articleRank",-0.3233094381007674,-0.24667582692645373,-0.216144749482164,""
"axon-messaging-5.1.1","MessageType","org.axonframework.messaging.core.MessageType",16,0.031667504309447925,0,0,83,"articleRank","incomingDependencies","degree",-0.20848304636357876,-0.17219565418830182,-0.1700115201291846,""
"axon-messaging-5.1.1","EventTypeRestrictableEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria",17,0.030956295999899408,0,0,126,"nodeEmbeddingPCA_24","nodeEmbeddingPCA_33","nodeEmbeddingPCA_4",-0.21360836634443725,-0.1693462891538962,-0.08030022404672359,""
"axon-common-5.1.1","AxonConfigurationException","org.axonframework.common.AxonConfigurationException",18,0.027582848842836627,0,0,110,"articleRank","pageRank","pageToArticleRankDifference",-0.24818325280860612,-0.1926145915806463,-0.14447266221561705,""
"axon-common-5.1.1","Assert","org.axonframework.common.Assert",19,0.027192029304181298,0,1,102,"articleRank","pageRank","pageToArticleRankDifference",-0.265142780697196,-0.23499413071287106,-0.16686805460746826,""
"axon-messaging-5.1.1","Metadata","org.axonframework.messaging.core.Metadata",20,0.025546010419868148,0,0,95,"pageRank","pageToArticleRankDifference","articleRank",-0.2573989287648831,-0.18403727901038697,-0.17334550565970783,""
"axon-messaging-5.1.1","TrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken",21,0.02550999536863463,0,0,82,"articleRank","incomingDependencies","pageRank",-0.22932049481978756,-0.17493757697245718,-0.17485214856616485,""
"axon-messaging-5.1.1","ParameterResolverFactory","org.axonframework.messaging.core.annotation.ParameterResolverFactory",22,0.024166588190792704,0,0,96,"incomingDependencies","degree","articleRank",-0.19426799326434166,-0.1643830764048609,-0.14529397861971574,""
"axon-conversion-5.1.1","ContentTypeConverter","org.axonframework.conversion.ContentTypeConverter",23,0.023760165160171265,0,0,117,"pageRank","articleRank","pageToArticleRankDifference",-0.1276280308271695,-0.10729051526889759,-0.08034722848414688,""
"axon-common-5.1.1","AxonNonTransientException","org.axonframework.common.AxonNonTransientException",24,0.022580437169200385,0,0,120,"pageRank","pageToArticleRankDifference","articleRank",-0.3153975386225975,-0.24057898401865857,-0.21143848610477467,""
