"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-common-5.1.2","org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException",2,1,"axon-common-5.1.2","org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl",2,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentDecorator",7,1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentDecorator",7,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentDecorator",7,1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ExtendedConfiguration",2,2,"axon-common-5.1.2","org.axonframework.common.configuration.ExtensibleConfigurer",4,2,""
