"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_Breakdown_Backward_Only.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","NoMoreInterceptors<-AnnotatedHandlerInspector",0.5,15,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","MessageInterceptingMember<-AnnotatedHandlerInspector",0.5,15,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","MessageHandlerInterceptorMemberChain<-AnnotatedHandlerInspector",0.5,15,5,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","AxonServerEventStorageEngineFactory<-AxonServerConfigurationEnhancer",0.42857142857142855,5,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","EventProcessorControlService<-AxonServerConfigurationEnhancer",0.42857142857142855,5,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","AxonServerConfiguration<-AxonServerCommandBusConnector",0.3333333333333333,4,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","MetadataConverter<-CommandConverter",0.3333333333333333,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","MessagingConfigurer<-EventProcessingConfigurer",0.3333333333333333,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","EventMessage<-ExtractionSequencingPolicy",0.3333333333333333,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","EventMessage<-SequentialPerAggregatePolicy",0.3333333333333333,4,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","AxonServerRemoteQueryHandlingException<-ErrorCode",0.2,6,4,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","AxonServerQueryDispatchException<-ErrorCode",0.2,6,4,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","AxonServerNonTransientRemoteQueryHandlingException<-ErrorCode",0.2,6,4,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","AxonServerQueryBusConnector<-AxonServerConfigurationEnhancer",0.2,6,4,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","axon-modelling-5.0.3","org.axonframework.modelling.annotation","AnnotatedEntityMetamodel<-AnnotationBasedEntityIdResolverDefinition",0.2,3,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","axon-modelling-5.0.3","org.axonframework.modelling.annotation","AnnotatedEntityMetamodel<-EntityIdResolverDefinition",0.2,3,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","EntityChildMetamodel<-PolymorphicEntityMetamodel$Builder",0.14285714285714285,8,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","EntityChildMetamodel<-PolymorphicEntityMetamodelBuilder",0.14285714285714285,8,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","EntityChildMetamodel<-ConcreteEntityMetamodel",0.14285714285714285,8,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","ChildAmbiguityException<-ConcreteEntityMetamodel",0.14285714285714285,8,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","EntityChildMetamodel<-ConcreteEntityMetamodel$Builder",0.14285714285714285,8,6,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","axon-modelling-5.0.3","org.axonframework.modelling.entity","EntityChildMetamodel<-EntityMetamodelBuilder",0.14285714285714285,8,6,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-MessageDispatchInterceptor",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-MessageHandlerInterceptor",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-DefaultMessageDispatchInterceptorChain$InterceptingDispatcher",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-SubscribableEventSource",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-DefaultMessageDispatchInterceptorChain",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-Message",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-MessageDispatchInterceptorChain",0.1111111111111111,10,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","axon-messaging-5.0.3","org.axonframework.messaging.core","ProcessingContext<-MessageHandlerInterceptorChain",0.1111111111111111,10,8,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","ExceptionConverter<-ErrorCode",0,2,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","axon-server-connector-5.0.3","org.axonframework.axonserver.connector","GrpcMessageSizeInterceptor<-AxonServerConnectionManager$Builder",0,2,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection","axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation","AnnotationBasedEventSourcedEntityFactoryDefinition<-EventSourcedEntity",0,1,1,""
