"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.16.0","plugin",17,0,10,150,""
"react-router-7.16.0","profiler",3,0,5,9,""
"react-router-7.16.0","remove-exports",1,0,2,30,""
"react-router-7.16.0","resolve-file-url",1,0,2,5,""
"react-router-7.16.0","resolve-relative-route-file-path",1,0,2,3,""
"react-router-7.16.0","route-chunks",13,0,10,310,""
"react-router-7.16.0","ssr-externals",1,0,2,0,""
"react-router-7.16.0","styles",4,0,3,22,""
"react-router-7.16.0","virtual-module",1,0,2,0,""
"react-router-7.16.0","vite-node",2,0,2,13,""
"react-router-7.16.0","vite",4,0,21,7,""
"react-router-7.16.0","with-props",1,0,1,29,""
"react-router-7.16.0","prerender",6,0,3,17,""
"react-router-7.16.0","validate-plugin-order",1,0,2,3,""
"react-router-7.16.0","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.16.0","plugin",1,0,1,41,""
"react-router-7.16.0","virtual-route-config",1,0,1,4,""
"react-router-7.16.0","virtual-route-modules",3,0,1,3,""
"react-router-7.16.0","dom-export",7,0,19,0,""
"react-router-7.16.0","react-router",5,0,9,4,""
"react-router-7.16.0","react-router",40,0,109,4,""
"react-router-7.16.0","react-router",171,0,378,13,""
"react-router-7.16.0","actions",1,0,3,0,""
"react-router-7.16.0","context",19,0,11,10,""
"react-router-7.16.0","errors",4,0,2,0,""
"react-router-7.16.0","href",1,0,2,0,""
"react-router-7.16.0","dom",14,0,6,0,""
"react-router-7.16.0","global",2,0,0,0,""
"react-router-7.16.0","data",1,0,0,0,""
"react-router-7.16.0","entry",5,0,13,0,""
"react-router-7.16.0","errors",1,0,1,0,""
"react-router-7.16.0","fog-of-war",7,0,4,5,""
"react-router-7.16.0","invariant",1,0,0,0,""
"react-router-7.16.0","links",8,0,0,9,""
"react-router-7.16.0","markup",1,0,1,0,""
"react-router-7.16.0","routeModules",21,0,27,6,""
"react-router-7.16.0","history",25,0,40,0,""
"react-router-7.16.0","instrumentation",9,0,14,0,""
"react-router-7.16.0","links",3,0,6,0,""
"react-router-7.16.0","router",34,0,53,1,""
"react-router-7.16.0","utils",90,0,183,3,""
"react-router-7.16.0","route-modules",2,0,0,0,""
"react-router-7.16.0","server",23,0,40,17,""
"react-router-7.16.0","browser",1,0,1,0,""
"react-router-7.16.0","server",1,0,0,0,""
"react-router-7.16.0","build",5,0,11,0,""
"react-router-7.16.0","cookies",6,0,19,6,""
"react-router-7.16.0","crypto",2,0,2,0,""
"react-router-7.16.0","data",2,0,7,0,""
"react-router-7.16.0","dev",3,0,4,3,""
"react-router-7.16.0","entry",1,0,1,0,""
"react-router-7.16.0","errors",5,0,5,0,""
"react-router-7.16.0","headers",2,0,3,1,""
"react-router-7.16.0","invariant",1,0,0,0,""
"react-router-7.16.0","mode",2,0,5,0,""
"react-router-7.16.0","routeMatching",2,0,2,0,""
"react-router-7.16.0","routes",3,0,4,9,""
"react-router-7.16.0","server",3,0,4,0,""
"react-router-7.16.0","serverHandoff",2,0,2,0,""
"react-router-7.16.0","sessions",11,0,3,11,""
"react-router-7.16.0","single-fetch",8,0,5,4,""
"react-router-7.16.0","urls",1,0,3,0,""
"react-router-7.16.0","warnings",1,0,2,0,""
"react-router-7.16.0","cookieStorage",1,0,2,2,""
"react-router-7.16.0","memoryStorage",1,0,2,1,""
"react-router-7.16.0","future",2,0,3,0,""
"react-router-7.16.0","internal",2,0,0,0,""
"react-router-7.16.0","params",1,0,0,0,""
"react-router-7.16.0","register",4,0,1,0,""
"react-router-7.16.0","route-data",7,0,6,0,""
"react-router-7.16.0","route-module-annotations",1,0,1,0,""
"react-router-7.16.0","route-module",1,0,3,0,""
"react-router-7.16.0","serializes-to",1,0,1,0,""
"react-router-7.16.0","utils",6,0,1,0,""
"react-router-7.16.0","flatten",1,0,1,0,""
"react-router-7.16.0","turbo-stream",2,0,1,0,""
"react-router-7.16.0","unflatten",1,0,1,0,""
"react-router-7.16.0","utils",25,0,47,0,""
"react-router-7.16.0","defineRoutes",3,0,2,0,""
"react-router-7.16.0","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.16.0","manifest",3,0,4,0,""
"react-router-7.16.0","normalizeSlashes",1,0,1,3,""
"react-router-7.16.0","flatRoutes",13,0,1,15,""
"react-router-7.16.0","react-router-fs-routes",1,0,0,5,""
"react-router-7.16.0","manifest",3,0,3,0,""
"react-router-7.16.0","normalizeSlashes",1,0,2,3,""
"react-router-7.16.0","react-router-cloudflare",6,0,0,0,""
"react-router-7.16.0","worker",5,0,5,18,""
"react-router-7.16.0","workersKVStorage",1,0,1,5,""
