"dependentArtifactName","reflectionCallerTypeName","reflectionTypes","Source Cypher File: Java/Java_Reflection_usage_detailed.cypher"
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver","java.lang.reflect.Method",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver","java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Method",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Modifier",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Modifier",""
"axon-test-5.0.1","org.axonframework.test.matchers.IgnoreField","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.fixture.Reporter","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.matchers.AllFieldsFilter","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.matchers.NonTransientFieldsFilter","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.matchers.MatchAllFieldFilter","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.FixtureResourceParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-test-5.0.1","org.axonframework.test.matchers.DeepEqualsMatcher","java.lang.reflect.Field",""
"axon-test-5.0.1","org.axonframework.test.matchers.NonStaticFieldsFilter","java.lang.reflect.Field,java.lang.reflect.Modifier",""
"axon-test-5.0.1","org.axonframework.test.matchers.FieldFilter","java.lang.reflect.Field",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.GenericEventMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector$ExecutableSignature","java.lang.reflect.Executable",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.AnnotatedMessageHandlingMemberDefinition","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.QueryUpdateEmitterParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion.DelegatingMessageConverter","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.ConversionCache","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.HierarchicalParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy","java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.HandlerTypeResolver","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.MessageHandlingMember","java.lang.reflect.Executable,java.lang.reflect.Member",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.QualifiedName","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.ConversionCache$Target","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.CommandMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition$MethodCommandHandlingMember","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Modifier",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.MultiHandlerDefinition","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.InterceptorChainParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.SimpleResourceParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.MultiParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing.TracingHandlerEnhancerDefinition","java.lang.reflect.Executable",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper","java.lang.reflect.Member",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation.TrackingTokenParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.annotation.ReplayContextParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector","java.lang.reflect.Executable,java.lang.reflect.Modifier",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.UnsupportedHandlerException","java.lang.reflect.Member",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.GenericQueryResponseMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.GenericCommandResultMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember","java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Type,java.lang.reflect.WildcardType",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion.MessageConverter","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation.ResultParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.CommandResultMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion.EventConverter","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.HandlerDefinition","java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.ParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.MethodInvokingMessageHandlingMember","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.Message","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.GenericResultMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy$RoutingKeyResolver","java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition$MethodEventMessageHandlingMember","java.lang.reflect.Member,java.lang.reflect.Method",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.EventMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.MessageDecorator","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember","java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.QueryMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember","java.lang.reflect.Constructor,java.lang.reflect.Member",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.ResultMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration.reflection.ConfigurationParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.ResetContext","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember","java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.GenericQueryMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.annotation.ReplayParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.AbstractAnnotatedParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.AnnotatedHandlerAttributes","java.lang.reflect.AnnotatedElement",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation.HandlerComparator","java.lang.reflect.Executable",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.GenericCommandMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.GenericResetContext","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.GenericMessage","java.lang.reflect.Type",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork.annotation.ProcessingContextParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.QueryResponseMessage","java.lang.reflect.Type",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro.AvroUtil","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro.AvroConverter","java.lang.reflect.Type",""
"axon-conversion-5.0.1","org.axonframework.conversion.json.JacksonConverter","java.lang.reflect.Type",""
"axon-conversion-5.0.1","org.axonframework.conversion.PassThroughConverter","java.lang.reflect.Type",""
"axon-conversion-5.0.1","org.axonframework.conversion.ChainingContentTypeConverter","java.lang.reflect.Constructor,java.lang.reflect.Type",""
"axon-conversion-5.0.1","org.axonframework.conversion.Converter","java.lang.reflect.Type",""
"axon-update-5.0.1","org.axonframework.update.detection.KotlinVersion","java.lang.reflect.Method",""
