"word","frequency","Source Cypher File: domains/git-history/queries/statistics/Words_for_git_author_Wordcloud_with_frequency.cypher"
"Wilfredo Eduardo Villegas Méndez",1,""
"Sean Wood",1,""
"Mattèo Gauthier",1,""
"Louis Bailleau",1,""
"Vesa Vänskä",1,""
"ludo",2,""
"Ruidi Huang",1,""
"Paweł Błaszczyk",1,""
"fwio",1,""
"Dave Judd",1,""
"Matt Wilcox",1,""
"omahs",2,""
"Ryan Florence",1271,""
"James Gatz",1,""
"ThomasTheTitan",1,""
"Samuel Jensen",1,""
"Jacob Briscoe",1,""
"Will Smith",1,""
"iskanderbroere",1,""
"Alasdair McLeay",2,""
"Peter Ruszel",1,""
"Mikaël Sévigny",1,""
"Mat Milbury",1,""
"Dima Smirnov",1,""
"weiss",1,""
"Mosaad",2,""
"Christian Moen",1,""
"James Opstad",5,""
"Matt Lynch",1,""
"迷渡",1,""
"Sami",1,""
"Daniel Weinmann",1,""
"Basang Basangov",1,""
"Kent C. Dodds",15,""
"Renyu Liu",1,""
"Ken",1,""
"Joshua Jacobson",1,""
"Nick Amoscato",2,""
"Robb Traister",3,""
"Bogdan Chadkin",7,""
"Zheng Song",1,""
"HK-SHAO",1,""
"Libor Gabrhel",1,""
"Jon Jensen",12,""
"mm-jpoole",1,""
"Ágata Leuck",1,""
"Otabek Shoyimov",1,""
"Lenz Weber-Tronic",2,""
"Maxim Evtush",1,""
"Cody McFoo",1,""
"MX",1,""
"Tobias Edwards",1,""
"Emil Sadek",1,""
"Sanjai Kumar R",1,""
"Richard Leek",1,""
"Justin Hall",2,""
"Rifai",1,""
"Abdullah Yirik",1,""
"Andrew Patton",2,""
"Mihail  Procudin",1,""
"Shodai Suzuki",3,""
"pwdcd",1,""
"Simon Oxtoby",1,""
"Matija Marohnić",1,""
"Victor El Hajj",1,""
"Brian Boatright",1,""
"yoshida",1,""
"bravo-kernel",1,""
"Philippe L'ATTENTION",1,""
"Harsh Mangalam",1,""
"Matt Hampel",1,""
"Thomas Gauvin",2,""
"Alex",1,""
"Jonathan Clarkin",1,""
"Ilya Radchenko",1,""
"Gavri (Gabriel) Guy",1,""
"Vlady Veselinov",1,""
"Abhijeet Pandit",1,""
"Christian Rotzoll",1,""
"Miguel Victor",1,""
"Dan Barclay",1,""
"Piero",1,""
"Amen",1,""
"Tomasz Tórz",1,""
"Siddhant Gupta",1,""
"니콜라스",1,""
"Charles Lavery",1,""
"pro_shunsuke",1,""
"sealer3",1,""
"Tosin Amuda",1,""
"dcblair",1,""
"Amit Dahan",1,""
"Cory House",16,""
"Foxscotch",1,""
"Ronald Rey",1,""
"Niklas Mollenhauer",1,""
"Victor Dusart",1,""
"Thet Hmuu",1,""
"Jong Taek Oh",1,""
"Zhong Junjie",1,""
"Wonsuk Choi",1,""
"printfn",1,""
"skratchdot",2,""
"Oleg",5,""
"Andreas Ottosson",1,""
"rifaidev",1,""
"Troy Li",1,""
"Bilal Kazmi",2,""
"Thomas Karlsson",1,""
"Ryuya Yanagi",1,""
"Onur Guvenc",1,""
"Kyukyoung Song (James Song)",1,""
"Mtende",1,""
"chencheng (云谦)",1,""
"Vítek Zach",1,""
"Ahmed Abdel-Aziz",1,""
"Marco Spiess",1,""
"ZeroMask",1,""
"Mark Deutsch",1,""
"Nishanth",1,""
"Gaspard Bucher",1,""
"Arman",1,""
"Gesit",1,""
"Gianluca Esposito",1,""
"Cole Nelson",1,""
"AinurSayapow",1,""
"Robin van der Vleuten",1,""
"tony-sn",1,""
"Jungwoo LEE",1,""
"ChristophP",1,""
"Daniel Grijuela",1,""
"mlewando",1,""
"Fran Dios",4,""
"Michael Liendo",1,""
"Kapil Patel",1,""
"Sol Lee",1,""
"JJ",1,""
"Eric Chernuka",2,""
"Pedro Ferrari",1,""
"Adrian Anin",1,""
"Sergey Slipchenko",1,""
"Chad",1,""
"Joseph Gilgen",1,""
"Remus Mate",1,""
"Victor Hall",2,""
"KaranRandhir",1,""
"Tomer Yechiel",1,""
"Filip Bel",1,""
"Bob Ziroll",4,""
"Sing Wong",1,""
"Daeram Chung",1,""
"Tim Kraut",1,""
"Michael Carter",2,""
"Dong uk Kim",1,""
"Jon Koops",3,""
"Andrew Haines",1,""
"Dylan Markow",5,""
"Marc MacLeod",2,""
"Nick Prinsloo",1,""
"Kubasu Ivan Sakwa",1,""
"Jordan Thomson",1,""
"Tomas R",1,""
"Willyams Yujra",1,""
"Sergei Grishchenko",1,""
"Aaron",1,""
"Ayush C",1,""
"David Evans",1,""
"Leo Singer",4,""
"Naveed Fida",1,""
"Colin McDonnell",3,""
"Refu",1,""
"Adrien HARNAY",1,""
"Jacob Gillespie",1,""
"Michinobu Nishimoto",1,""
"Arka Pratim Chaudhuri",1,""
"Sinan Bolel",1,""
"Jason Miller",4,""
"Shane Walker",1,""
"Daniil Gitelson",2,""
"kylegirard",1,""
"Ian K Smith",1,""
"Louis Young",1,""
"Emil Bryggare",1,""
"Logan McAnsh",254,""
"Valerii Petryniak",1,""
"Nathan Agrin",2,""
"arjunyel",1,""
"Abe Adam",1,""
"Mathieu Paquette",1,""
"Frank",1,""
"程成",1,""
"Anton Montrezor",1,""
"Tibor Barsi",1,""
"David Lounsbrough",1,""
"Babafemi Jimoh-Kuku",2,""
"Ibrahim Isa Jajere",1,""
"Roj",1,""
"Ivan Rene Rodriguez Escorcia",1,""
"Oscar Newman",1,""
"Fernando Ferreira",1,""
"Rimian Perkins",1,""
"Ateş Göral",1,""
"James Williams",1,""
"Caleb Jasik",2,""
"David Larrabee",1,""
"Ronny López",1,""
"scarf",1,""
"Mehrdad",1,""
"Jerald Vinfrank",1,""
"Chance Strickland",420,""
"Eric Schneider",1,""
"Laube",1,""
"kno-raziel",1,""
"William Sawyer",1,""
"Devon Govett",1,""
"Dmitry Maganov",1,""
"Michael McDermott",1,""
"Corey Stewart",1,""
"Nick Randall",1,""
"Tomer Aberbach",1,""
"Mourad EL CADI",6,""
"sgalhs",1,""
"Vitor Buzinaro",1,""
"Michael Landis",1,""
"Timothy Hsu",1,""
"Daniil Samoylov",1,""
"Scott Kyle",1,""
"nilubisan",1,""
"alberto",1,""
"Jack Price-Burns",1,""
"Helen Lin",1,""
"Min Thu Aung",1,""
"Hung Nghia Nguyen",1,""
"Amsal",1,""
"Thomas Verleye",1,""
"Kacper Krzywiec",1,""
"Armand Abric",1,""
"yionr",1,""
"trungpv",1,""
"郑闯闯",1,""
"Parveen Kumar",1,""
"倾寒",1,""
"Brandon Clark",1,""
"Mikaël Anzano",1,""
"Eddie",1,""
"Matt Kinton",1,""
"Jonas Auer",2,""
"Hello",1,""
"Nikki DelRosso",1,""
"Ned Park",3,""
"Matt Harro",1,""
"Luke Walker",2,""
"rubeonline",1,""
"Motoki saito",1,""
"Izzuddin Natsir",2,""
"Luke Shiru",1,""
"Clifford Fajardo",1,""
"Ben Browning",1,""
"Thibaut Livigni",1,""
"Julien Monnard",1,""
"Jon Dufresne",1,""
"Cassidy Williams",1,""
"Yvan Zhu",1,""
"Scott Taylor",1,""
"Akam Foad",1,""
"Damian Stasik",1,""
"Jesus The Hun",1,""
"Ka Chun",1,""
"ek9",2,""
"ivanjonas",1,""
"Daniel Rios",1,""
"Nebula",1,""
"Adil Ismail",1,""
"Pavel Soldatov",1,""
"Bartosz Domżalski",1,""
"dabdine",1,""
"Lucas Ferreira",1,""
"Afzal Sayed",1,""
"Daniel Rios Pavia",5,""
"Tom Sherman",1,""
"engpetermwangi",1,""
"Andrey Trachenko",1,""
"Nader",1,""
"John Bernal",1,""
"Jason Paulos",1,""
"Karott",1,""
"Ben Wishovich",1,""
"Lê Quang Đông",1,""
"Ivan Jeremic",1,""
"Bastiaan van Graafeiland",1,""
"omar-moquete",1,""
"Axel C. Lopez",1,""
"Wille Marcel",1,""
"Maximilian Schwarzmüller",1,""
"Daniel",2,""
"AchThomas",1,""
"Vishwas Tyagi",1,""
"Maruf Ahmed",1,""
"Bart Lens",2,""
"Rene Haas",1,""
"Arnas Savickas",1,""
"Len Boyette",1,""
"John Berger",1,""
"Michel Rasschaert",1,""
"stasundr",1,""
"Adam",1,""
"Nick Sg",1,""
"Drishtant Regmi",1,""
"Christopher Gwizdala",1,""
"Aroyan",1,""
"Ryan Hiebert",1,""
"James Duley",1,""
"Johann R",1,""
"Abdallah NourAldin",1,""
"pyitphyoaung",1,""
"Abat",1,""
"Michael Liu",1,""
"Ian",1,""
"Pramod Kotipalli",1,""
"Tomáš Linhart",1,""
"Aymane Elmadidi",2,""
"AmRo",1,""
"Marvin A. Ruder",1,""
"Beck Samatoff",1,""
"Hernani Fernandes",1,""
"Jose Isai Reyes Hernandez",1,""
"Ekaansh Arora",1,""
"Filip Jirsák",1,""
"Maxence Poutord",1,""
"Brian Farias Tavares",1,""
"John Pangalos",2,""
"Jorge",1,""
"Kostiantyn Popovych",1,""
"Donavon West",7,""
"Can Rau",2,""
"Dominik Dorfmeister",2,""
"Juliana Oliveira",1,""
"Ruben Casas",2,""
"Justin Waite",1,""
"Alexandru Bereghici",2,""
"Yingci",1,""
"reda",1,""
"gf",1,""
"Nicholas Rakoto",1,""
"Jozsef Lazar",1,""
"Julio Lemos",1,""
"Daniel Gray",1,""
"Axel",1,""
"Jim Nielsen",11,""
"tyankatsu",7,""
"Lineng CAO",1,""
"David Vargas",1,""
"Esa-Matti Suuronen",2,""
"Tommy Graves",1,""
"Simon Goldin",1,""
"Yulei Chen",1,""
"Ali Sheehan-Dare",8,""
"Drew Reese",3,""
"Skayu",1,""
"Christopher Trudel",1,""
"GOWTHAM V BHAT",1,""
"Matheus Souza",1,""
"Sam Magura",1,""
"Dan Levy",4,""
"Fatih Altinok",1,""
"Ben Duffield",1,""
"MenouerBetty",1,""
"Brian Schiller",1,""
"Ahab",1,""
"Leszek Kobus",1,""
"David Crespo",1,""
"Xavier Lozano Carreras",1,""
"Alan Yang",1,""
"haivuw",1,""
"David Williams",1,""
"John Memmott",1,""
"Marc Espín",1,""
"xcsnowcity",1,""
"Mohamed Sayed",1,""
"Ihèb BEN ROMDHANE",1,""
"Michal Antczak",1,""
"Michal Petrik",1,""
"Tanay Vardhan",1,""
"Alex Lobera",1,""
"Hung Viet Nguyen",1,""
"Minami",1,""
"Theo Stavrides",1,""
"Feng Yu",2,""
"Jan Paepke",2,""
"Steven Liao",1,""
"Nathan Knowler",1,""
"Emmanouil Zoumpoulakis",1,""
"Chensokheng",2,""
"Avi Patel",1,""
"Tyler Kindy",1,""
"Lev Chelyadinov",1,""
"Guy Maliar",1,""
"Iha Shin",1,""
"devarshiqm",1,""
"Andrew Brey",1,""
"Morley Tatro",1,""
"Gijo Varghese",1,""
"Martin Hicks",1,""
"Caleb Fetzer",1,""
"AijiUejima",1,""
"Kiliman",1,""
"Davide",1,""
"Matthew Williams",1,""
"Aaron Reisman",1,""
"Ryan Mann",1,""
"Matt Kane",2,""
"ThornWu",1,""
"mfijas",1,""
"Alex Mitchell",1,""
"Kutner JS",1,""
"Isammoc",1,""
"Hikari Hayashi",1,""
"Shi Han",1,""
"laohan",4,""
"Ibrahim",1,""
"BrianT1414",1,""
"hyesung oh",1,""
"Carl von Buelow",1,""
"abhi-kr-2100",1,""
"Sanket Shah",1,""
"selfish",1,""
"Roman Mkrtchian",1,""
"Steven Yung",1,""
"Thomas Holland",1,""
"火神不太热",1,""
"Sebastian Davids",1,""
"lukerSpringTree",1,""
"taisei mima",1,""
"mbarto",1,""
"chancestrickland",1,""
"Eduardo Campaña",1,""
"Chris Chudzicki",1,""
"Christopher Banh",1,""
"koojaa",1,""
"Jan Margeta",1,""
"Arjaan Buijk",1,""
"Henrikh Kantuni",1,""
"atulll",1,""
"Jason Hughes",1,""
"Wei Zhu",2,""
"Vijay Pushkin",1,""
"Kartik Arora",1,""
"Mikel King",2,""
"Matt Sutkowski",3,""
"暴走老七",1,""
"Sergio Xalambrí",2,""
"brock ross",1,""
"Kevin Newton",1,""
"Rob Hannay",1,""
"Ajay Agrawal",1,""
"ppbl",1,""
"Salvatore Ravidà",1,""
"Daniel Hong",2,""
"David Petersen",1,""
"Shivam Chahar",1,""
"Victor Turansky",1,""
"Mark Ivancho",1,""
"Ahmed ElDessouki",1,""
"JakubDrozd777",1,""
"Paul Smith",1,""
"Ely Lucas",1,""
"Kara Graysen",1,""
"Kevin Kirsche",2,""
"Bryson Hotopp",1,""
"Robin Wieruch",2,""
"inokawa",3,""
"Ben",1,""
"Ryan Jerue",1,""
"Dmitriy Fishman",1,""
"Miguel Galante",4,""
"Rugved Tipare",2,""
"Robert Timis",1,""
"Kevin Ngo",1,""
"Matt Mazzola",1,""
"Alexander",1,""
"Andy Kurnia",2,""
"Travis Jenkins",2,""
"Mike Burgess",2,""
"Bardouni Naoufal",2,""
"Marais Rossouw",2,""
"Abhi Rao",2,""
"Lukas Murdock",2,""
"Jacob Carpenter",2,""
"Tom Bonnike",2,""
"Simon Lieschke",2,""
"Mike McGahan",2,""
"James",1,""
"Vishwasa Navada K",1,""
"Ahn Heejong",2,""
"François Chalifour",2,""
"Emily Marigold Klassen",1,""
"fgatti675",1,""
"Amit Mittal",1,""
"Sahar Biton",1,""
"PhistucK",1,""
"Marko Bregant",1,""
"Bogdan Soare",1,""
"Joe Critchley",1,""
"Domino987",4,""
"Tyler Cosgrove",1,""
"Doma",1,""
"Carson Full",1,""
"Anthony Garand",1,""
"Apostolos Tsakpinis",2,""
"Long Tran",1,""
"numb86",1,""
"Dawid Karabin",1,""
"David Bailey",1,""
"KoharaKazuya",1,""
"Dan",1,""
"Jim Cummins",1,""
"Kristofer Baxter",2,""
"Thomas Cullen",1,""
"Braden Kelley",1,""
"George Spake",1,""
"Jack Laurence",2,""
"Rootul Patel",1,""
"David BF",1,""
"Zoltán Bedi",1,""
"Ilya Sidorchik",1,""
"Michał Żelazkiewicz",1,""
"李文富",1,""
"Tom Gallacher",9,""
"Grady Kuhnline",1,""
"Brandon Pereira",1,""
"Alex Krolick",1,""
"Joel Bartlett",1,""
"Gabe O'Leary",1,""
"Mike Dahlke",1,""
"Nima Arefi",1,""
"Rick Brenn",1,""
"Chanaka Abeysinghe",1,""
"Phap Dinh",1,""
"Armin Solecki",1,""
"流采",1,""
"Jorge Galat",1,""
"Anthony Zotti",1,""
"Justin Grant",1,""
"StringEpsilon",11,""
"Gregor Mitzka",2,""
"Paul Sherman",77,""
"Adam Boro",1,""
"cbdeveloper",1,""
"Vladislav Shkodin",1,""
"Steven Ringland",1,""
"Max Vyz",1,""
"Ben Ipsen",1,""
"Brad Westfall",8,""
"Sebastian Silbermann",2,""
"dnalborczyk",1,""
"Patryk Hołysz",1,""
"Kenrick",1,""
"Suman Jandhyala",1,""
"MCAxiaz",1,""
"Peter Lenagh",1,""
"Ben Ripkens",2,""
"Deniz Susman",1,""
"Hongbo Miao",1,""
"gcangussu",1,""
"Will Howlett",1,""
"Benjamin Johnson",1,""
"Daniel Powell",1,""
"Vernon de Goede",1,""
"Ives van Hoorne",3,""
"Anthony Frehner",2,""
"Peter Fu",1,""
"Ben Mason",1,""
"alireza-mh",5,""
"misacorn",1,""
"Tien Pham",1,""
"JBallin",1,""
"Eugene Dzhumak",1,""
"Rick Hanlon II",1,""
"Saugat Acharya",1,""
"Benjamin Atkin",1,""
"Kevin Vicrey",1,""
"Jared Malcolm",1,""
"eric yang",1,""
"Brandon John Lewis",1,""
"Teagan",1,""
"Yoni Mekuria",2,""
"Rohit kumar",1,""
"Emil Tholin",1,""
"Jennifer Shehane",1,""
"jddxf",1,""
"Joe Lencioni",1,""
"Billy Janitsch",3,""
"Peter Mikitsh",1,""
"Callum Locke",1,""
"Zack Seuberling",1,""
"Beñat Espiña",1,""
"edward liu",1,""
"Michał Borowiecki",1,""
"Vovk Vladyslav",1,""
"Sibelius Seraphini",1,""
"Carlos Wu",1,""
"Brandon Ruggles",1,""
"Chase",1,""
"Vladislav Khvostov",1,""
"Kevin Lau",1,""
"Connor Taylor",1,""
"Robert Preus-MacLaren",1,""
"Mikhail Vasin",1,""
"Monroe Ekilah",2,""
"Kevin Ashworth",1,""
"MICHAEL JACKSON",60,""
"Thibaud Courtoison",1,""
"Christophe Hurpeau",1,""
"Telmen Munkhdalai",1,""
"Carl-Erik Kopseng",1,""
"Sho IIZUKA",1,""
"Helen Liu",1,""
"Gilly Ames",1,""
"Kristofer Selbekk",1,""
"Zak Linder",1,""
"Justin Ross",1,""
"Maks Rafalko",1,""
"Anthony Ng",1,""
"Denis Sokolov",1,""
"Josep M Sobrepere",4,""
"Sergei Zelinsky",1,""
"Edo",1,""
"Jamison Dance",1,""
"Gerben",1,""
"Almero Steyn",1,""
"RoboBurned",1,""
"Renan Vaz",1,""
"Jordan Gomes",1,""
"Ryan Bonte",1,""
"Andrei Railean",1,""
"Thomas Moser",1,""
"NoScripter",1,""
"chtseac",1,""
"Brendan Stromberger",1,""
"Gavin Mogan",1,""
"Eric",1,""
"Kmaschta",1,""
"Kelly",1,""
"Lucas Lentz",1,""
"Benjamin Hoffman",1,""
"Joe Arasin",1,""
"Eloy Toro",1,""
"Igor Line",1,""
"Mohamed Ismat",1,""
"Sina Maleki",1,""
"Marco Aurélio",1,""
"Adeola Badmus",1,""
"Josh Duff",1,""
"Alex Ilyaev",1,""
"artywhite",1,""
"Ken Powers",1,""
"Tao",1,""
"Phily Austria",1,""
"Lego_Chiang",1,""
"Rui Araújo",1,""
"Dhruvdutt Jadhav",1,""
"Jon Harris",1,""
"Nikita Lobachev",1,""
"James Conkling",1,""
"Roderick Hsiao",1,""
"Benoit Tremblay",3,""
"Peter C Miller",1,""
"Harsh Singh",1,""
"Benjamin Stepp",1,""
"Donnie West",1,""
"Jason Etcovitch",1,""
"Dmitri Suvorov",1,""
"Orlando Hohmeier",1,""
"Tyler",1,""
"Shiva Nandan",1,""
"Peter Hozák",1,""
"Nik Sudan",2,""
"Ben Wiley",1,""
"Michael Strobel",1,""
"Daniel Lindenkreuz",1,""
"Filip Spiridonov",1,""
"Konrad Lisiczyński",1,""
"Jacob Rask",2,""
"Omer Zach",1,""
"Chris Henrick",1,""
"Hatlen",1,""
"ray hatfield",1,""
"SHIRSH ZIBBU",1,""
"Hom Bahrani",1,""
"Carloluis Rodríguez",1,""
"MatthiasDebaere",1,""
"Sean Groff",1,""
"Jess Telford",1,""
"kkkrist",1,""
"Ed Staub",1,""
"Karan Thakkar",1,""
"Emrah Bilbay",1,""
"Florian Bienefelt",1,""
"Dan Abramov",92,""
"Van der Auwermeulen Grégoire",1,""
"Alex Jacobs",1,""
"Alexander Gundermann",25,""
"Matthieu Lemoine",1,""
"Felix Böhm",1,""
"Szymon Kupś",1,""
"Yasser Kaddour",3,""
"Charley DAVID",1,""
"Scott Silvi",1,""
"Noitidart",1,""
"Sophia",1,""
"Alfonso Gober",1,""
"Lim Chee Aun",1,""
"Adrian Maseda",1,""
"François Nguyen",1,""
"Igor Golovanov",1,""
"Adam Heim",1,""
"Robin Böhm",2,""
"Ryan Leckey",1,""
"Pete Thompson",1,""
"Charlie Weems",1,""
"根号三",1,""
"Julian Grinblat",2,""
"Mark Murphy",1,""
"Kevin Sloan",1,""
"inuscript",3,""
"Emanuel Quimper",1,""
"Shawn Mclean",1,""
"Jalil F",1,""
"Neil Kistner",1,""
"Maayan Glikser",1,""
"Gil Barbara",1,""
"Josh Furie",1,""
"Ben Lakey",1,""
"Luka Zakrajšek",2,""
"Harry Moreno",1,""
"Mateusz Zatorski",124,""
"Aaron Craig",1,""
"Igor Skuhar",1,""
"Wout Mertens",1,""
"Tyler McGinnis",14,""
"Vlad Shcherbin",2,""
"Frux",1,""
"Izak Filmalter",1,""
"Olivier Tassinari",2,""
"Supasate Choochaisri",2,""
"John Reilly",4,""
"Richard Maisano",1,""
"Freddie Ridell",1,""
"Jack Franklin",1,""
"KB",1,""
"Brikou CARRE",2,""
"Arno Saine",1,""
"Nils Ceberg",1,""
"Kyle Welch",1,""
"Rajiv Mayani",2,""
"Ken Browning",1,""
"Ilja Daderko",3,""
"Aaron Jensen",1,""
"Rocky Meza",1,""
"Jonny Buchanan",5,""
"Rafael Pedicini",1,""
"Alexei Bazhenov",1,""
"Sebastian Deutsch",1,""
"webdeb",1,""
"Benoit Bénézech",1,""
"penx",1,""
"Jens Bissinger",2,""
"潘志坚",1,""
"Fernando Daciuk",1,""
"Jinwoo Oh",1,""
"jochenberger",1,""
"Aesop Wolf",1,""
"Divjot Singh",1,""
"Ian Z",1,""
"Marshall Bowers",1,""
"Sarbbottam Bandyopadhyay",1,""
"Kristof Dreier",1,""
"Bogdan Plieshka",1,""
"Aymeric Augustin",2,""
"Jochen Berger",1,""
"Tim Kye",2,""
"TimothyKrell",1,""
"Silas Baronda",1,""
"Kevin Old",1,""
"endlesscombo",1,""
"Daniel Steigerwald",2,""
"Jorge Medrano",1,""
"mattiamanzati",1,""
"Vladimir Kapustin",1,""
"greenkeeperio-bot",1,""
"Mathew P. Jones",2,""
"C.T. Lin",1,""
"Oleg Kislitsyn",1,""
"Philipp Kruse",1,""
"C. T. Lin",4,""
"Alon Niv",1,""
"Wes Bos",3,""
"Ivan Starkov",1,""
"Jared Palmer",2,""
"Roberto Hidalgo",1,""
"Damien Varron",1,""
"James Long",2,""
"Jimmy Jia",381,""
"Gary Roberts",1,""
"Anna Rankin",1,""
"springuper",1,""
"Donald Hruska",1,""
"Danny Delott",1,""
"Vinicius Dacal",1,""
"Bilal Budhani",1,""
"Pleun Vanderbauwhede",1,""
"Thomas Florin",1,""
"Tieme van Veen",1,""
"Liam O'Boyle",1,""
"Leigh Scherrer",1,""
"Ben Gotow",1,""
"Clemens Stolle",1,""
"Steven Yap",2,""
"Thai Phan",5,""
"Jason Block",2,""
"Marc Balaban",1,""
"TrexinanF14",1,""
"Elie Schoppik",1,""
"Anthony van der Hoorn",13,""
"Joon Ho Cho",1,""
"Philip Polkovnikov",1,""
"Dylan Companjen",1,""
"Thibaud Colas",3,""
"jwbay",1,""
"nvartolomei",2,""
"Riophae Lee",1,""
"Jianqing Wang",1,""
"Bae Hyeonseung",1,""
"Chris Tsongas",1,""
"Anton Strömkvist",1,""
"Jed Verity",1,""
"Max Stoiber",1,""
"Riley Tomasek",1,""
"Nate Goldman",2,""
"Jonathan Persson",1,""
"Nolan Evans",1,""
"djskinner",1,""
"Jason Walsh",2,""
"anonymosh",1,""
"Mike",1,""
"Toby Liu",1,""
"Stijn de Witt",2,""
"Francis Chuang",1,""
"Olle Bröms",1,""
"Tiago Rodrigues",2,""
"Ashwin Hegde",1,""
"wchest",1,""
"Mike Fischer",1,""
"Even Stensberg",1,""
"evenstensberg",1,""
"Richard Collins",1,""
"sampeka",1,""
"Brad Estey",1,""
"Gregory Cornelius",1,""
"Loïc Padier",1,""
"Thomas Rich",1,""
"Giorgio Polvara",1,""
"Callum Macrae",1,""
"Matthew Herbst",1,""
"Chris Bolin",1,""
"Benjamin Christel and Todd Sedano",1,""
"jquense",1,""
"Patrik Wibron",1,""
"Dan Tello",1,""
"Tomasz Gliniecki",2,""
"Karen Liu",1,""
"Joscha Feth",1,""
"Andrey Nering",1,""
"Ben Stokoe",2,""
"Jamis Charles",1,""
"Malte W",6,""
"Gabriele Nosso",1,""
"Jorrit Schippers",1,""
"Joshua Goodwin",1,""
"Evan Weible",1,""
"Vishal Telangre",1,""
"Patryk Kabaj",1,""
"Alex Lande",2,""
"Jocs",1,""
"Nick Ball",1,""
"Lukáš Voda",1,""
"mattkrick",1,""
"Mathias Schäfer",1,""
"Jacob Gable",1,""
"Mark Samman",1,""
"Andrew Palm",1,""
"jschloer",1,""
"Jeremy Stucki",1,""
"Gordon L. Hempton",1,""
"jalooc",1,""
"Taras Zubyk",1,""
"slientcloud",1,""
"Dylan Kirby",2,""
"Alan Johnson",2,""
"Bob Ralian",2,""
"zymiboxpay",1,""
"Fatih",1,""
"Krawaller",1,""
"Jeff Barczewski",1,""
"Paul Shen",1,""
"Allan Hortle",1,""
"Michael Montgomery",1,""
"Matt Dean",1,""
"Solar Olugebefola",1,""
"Nate Hunzaker",13,""
"Danny Guo",1,""
"Daniel Bugl",1,""
"Ben Smith",1,""
"Muhtasim Ahsan",1,""
"Canop",1,""
"Andy Fang",1,""
"Netto Farah",1,""
"Breno Calazans",1,""
"Sahat Yalkabov",1,""
"Dean Shi",1,""
"Sitian Liu",1,""
"Rodolfo Yabut",1,""
"Edwin Knuth",1,""
"Benjamin Cremer",1,""
"Mike Grabowski",1,""
"Gwilym Humphreys",1,""
"Daniel Juhl",1,""
"Ben Vinegar",2,""
"stanley",2,""
"vitalybe",1,""
"Mikołaj D.",1,""
"Nick Uraltsev",1,""
"Edvin Erikson",1,""
"Jonathan Rouleau",2,""
"Brendan Nee",1,""
"Richard Herrera",1,""
"Chiedo",1,""
"Deoward Kotze",2,""
"the{flying}whale",1,""
"SpainTrain",2,""
"Fernando Agüero",1,""
"Sebastian Goll",1,""
"Asaf Shakarchi",1,""
"iNikNik",1,""
"pjuke",1,""
"Frank Wilson",2,""
