"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"jakarta.persistence.Column","Field",11,"org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.eventIdentifier,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.causeMessage,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.eventIdentifier,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Class",10,"org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$EventsXStreamCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralDefaultCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$MessagesXStreamCondition,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition$EventsAvroCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralXStreamCondition,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition$MessagesAvroCondition,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration",""
"javax.persistence.Id","Field",10,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaId,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName",""
"javax.persistence.Lob","Field",10,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.serializedSaga,org.axonframework.modelling.saga.repository.jpa.SagaEntry.serializedSaga,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry.token",""
"org.springframework.boot.context.properties.ConfigurationProperties","Class",9,"org.axonframework.springboot.DistributedCommandBusProperties,org.axonframework.springboot.TokenStoreProperties,org.axonframework.springboot.SerializerProperties,org.axonframework.springboot.TagsConfigurationProperties,org.axonframework.springboot.TimeoutProperties,org.axonframework.springboot.MetricsProperties,org.axonframework.springboot.EventProcessorProperties,org.axonframework.springboot.TracingProperties,org.axonframework.axonserver.connector.AxonServerConfiguration",""
"java.lang.SafeVarargs","Constructor",9,"org.axonframework.test.matchers.SequenceMatcher.<init>,org.axonframework.test.matchers.ExactSequenceMatcher.<init>,org.axonframework.test.matchers.ListWithAllOfMatcher.<init>,org.axonframework.test.matchers.ListWithAnyOfMatcher.<init>,org.axonframework.test.matchers.ListMatcher.<init>,org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate.<init>,org.axonframework.messaging.unitofwork.BatchingUnitOfWork.<init>,org.axonframework.monitoring.MultiMessageMonitor.<init>,org.axonframework.serialization.upcasting.GenericUpcasterChain.<init>",""
"jakarta.persistence.Id","Field",9,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.id,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaId,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment",""
"org.axonframework.messaging.annotation.HasHandlerAttributes","Annotation",9,"org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.StartSaga,org.axonframework.eventhandling.AllowReplay,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.annotation.MessageHandlerTimeout,org.axonframework.messaging.interceptors.ResultHandler",""
"com.fasterxml.jackson.annotation.JsonGetter","Method",9,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.getSecond,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.getCommandNames,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.getFilter,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getFirst,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.getSecond,org.axonframework.eventhandling.MergedTrackingToken.lowerSegmentToken,org.axonframework.eventhandling.MergedTrackingToken.upperSegmentToken",""
"java.lang.Deprecated","Field",9,"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE_CLASS_NAME,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.EVENT_KEY,org.axonframework.axonserver.connector.AxonServerConfiguration.initialNrOfPermits,org.axonframework.axonserver.connector.AxonServerConfiguration.eventCipher,org.axonframework.axonserver.connector.AxonServerConfiguration.suppressDownloadMessage,org.axonframework.axonserver.connector.AxonServerConfiguration.disableEventBlacklisting,org.axonframework.axonserver.connector.AxonServerConfiguration.maxGrpcBufferedMessages,org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration.initialNrOfPermits",""
