"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_module_usage_overall_for_Typescript.cypher"
"@types/qs",2,3,5,5,139,645,"<GetLoadContextFunction> of module <react-router-express> imports <QueryString.ParsedQs> from external module <qs>,<GetLoadContextFunction> of module <server> imports <QueryString.ParsedQs> from external module <qs>,<RequestHandler> of module <server> imports <QueryString.ParsedQs> from external module <qs>,<RequestHandler> of module <react-router-express> imports <QueryString.ParsedQs> from external module <qs>",""
"@types/stream",2,3,18,20,139,645,"<writeReadableStreamToWritable> of module <react-router-node> imports <Stream.Writable.write> from external module <stream>,<writeReadableStreamToWritable> of module <react-router-node> imports <Stream.Writable> from external module <stream>,<writeReadableStreamToWritable> of module <react-router-node> imports <Stream.Writable.end> from external module <stream>,<writeReadableStreamToWritable> of module <react-router-node> imports <Stream.Writable.destroy> from external module <stream>",""
"async_hooks",2,4,8,8,139,645,"<redirectDocument> of module <react-router> imports <AsyncLocalStorage.getStore> from external module <async_hooks>,<redirectDocument> of module <server> imports <AsyncLocalStorage.getStore> from external module <async_hooks>,<getRequest> of module <react-router> imports <AsyncLocalStorage.getStore> from external module <async_hooks>,<getRequest> of module <server> imports <AsyncLocalStorage.getStore> from external module <async_hooks>",""
"cli",2,1,2,4,139,645,"<cloudflareDevProxyVitePlugin> of module <cloudflare-dev-proxy> imports <GetPlatformProxyOptions> from external module <cli>,<cloudflareDevProxyVitePlugin> of module <cloudflare> imports <GetPlatformProxyOptions> from external module <cli>",""
"crypto",2,1,4,4,139,645,"<reactRouterVitePlugin> of module <vite> imports <Hash.update> from external module <crypto>,<reactRouterVitePlugin> of module <vite> imports <Hash.digest> from external module <crypto>,<reactRouterVitePlugin> of module <plugin> imports <Hash.update> from external module <crypto>,<reactRouterVitePlugin> of module <plugin> imports <Hash.digest> from external module <crypto>",""
"esm",2,2,6,7,139,645,"<createConfigLoader> of module <config> imports <_default.watch> from external module <esm>,<createConfigLoader> of module <config> imports <FSWatcher.on> from external module <esm>,<createConfigLoader> of module <config> imports <FSWatcher.add> from external module <esm>,<createConfigLoader> of module <config> imports <FSWatcher.unwatch> from external module <esm>",""
"module-runner",2,1,2,2,139,645,"<reactRouterVitePlugin> of module <vite> imports <ModuleRunner.import> from external module <module-runner>,<reactRouterVitePlugin> of module <plugin> imports <ModuleRunner.import> from external module <module-runner>",""
"node:crypto",2,1,2,2,139,645,"<reactRouterVitePlugin> of module <vite> imports <createHash> from external module <node:crypto>,<reactRouterVitePlugin> of module <plugin> imports <createHash> from external module <node:crypto>",""
"rollup",2,1,6,10,139,645,"<reactRouterVitePlugin> of module <vite> imports <ResolvedId.id> from external module <rollup>,<reactRouterVitePlugin> of module <vite> imports <PluginContext.environment> from external module <rollup>,<reactRouterVitePlugin> of module <vite> imports <PluginContext.resolve> from external module <rollup>,<reactRouterVitePlugin> of module <plugin> imports <ResolvedId.id> from external module <rollup>",""
"url",2,1,2,4,139,645,"<reactRouterVitePlugin> of module <vite> imports <URL.href> from external module <url>,<reactRouterVitePlugin> of module <plugin> imports <URL.href> from external module <url>",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,139,645,"<createReactRouterRequest> of module <server> imports <APIGatewayProxyEventHeaders.""content-type""> from external module <APIGatewayProxyEventHeaders.""content-type>",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,139,645,"<createReactRouterRequest> of module <server> imports <APIGatewayProxyEventHeaders.""x-forwarded-host""> from external module <APIGatewayProxyEventHeaders.""x-forwarded-host>",""
"@types/events",1,1,1,1,139,645,"<Prompt> of module <prompts-prompt-base> imports <EventEmitter> from external module <events>",""
"@types/isEqual",1,1,1,2,139,645,"<createConfigLoader> of module <config> imports <isEqual> from external module <isEqual>",""
"@types/kebabCase",1,1,1,1,139,645,"<getEnvironmentOptionsResolvers> of module <plugin> imports <kebabCase> from external module <kebabCase>",""
"@types/semver",1,1,2,2,139,645,"<run> of module <run> imports <semver> from external module <semver>,<run> of module <run> imports <major> from external module <semver>",""
"@types/timers",1,1,1,10,139,645,"<SelectPrompt> of module <prompts-select> imports <global.NodeJS.Timeout> from external module <timers>",""
"arg",1,1,2,3,139,645,"<run> of module <run> imports <arg> from external module <arg>,<run> of module <run> imports <arg.Result._> from external module <arg>",""
"arg.Result.""--no-typescript",1,1,1,1,139,645,"<run> of module <run> imports <arg.Result.""--no-typescript""> from external module <arg.Result.""--no-typescript>",""
"exit-hook",1,1,1,1,139,645,"<dev> of module <commands> imports <exit-hook> from external module <exit-hook>",""
"inspector",1,3,4,6,139,645,"<stop> of module <profiler> imports <Session.post> from external module <inspector>,<getSession> of module <profiler> imports <Session> from external module <inspector>,<start> of module <profiler> imports <Session.post> from external module <inspector>,<start> of module <profiler> imports <Session.connect> from external module <inspector>",""
"node:child_process",1,1,1,1,139,645,"<resolveEntryFiles> of module <config> imports <execSync> from external module <node:child_process>",""
"node:inspector",1,1,1,1,139,645,"<start> of module <profiler> imports <.Session> from external module <node:inspector>",""
"node:readline",1,1,3,40,139,645,"<Prompt> of module <prompts-prompt-base> imports <.createInterface> from external module <node:readline>,<Prompt> of module <prompts-prompt-base> imports <.emitKeypressEvents> from external module <node:readline>,<Prompt> of module <prompts-prompt-base> imports <node:readline> from external module <node:readline>",""
"p-map",1,1,1,1,139,645,"<prerender> of module <prerender> imports <p-map> from external module <p-map>",""
"prettier",1,1,2,2,139,645,"<transpile> of module <useJavascript> imports <prettier> from external module <prettier>,<transpile> of module <useJavascript> imports <format> from external module <prettier>",""
"server",1,2,4,4,139,645,"<createContext> of module <vite-node> imports <ViteNodeServer.resolveId> from external module <server>,<createContext> of module <vite-node> imports <ViteNodeServer.getSourceMap> from external module <server>,<createContext> of module <vite-node> imports <ViteNodeServer.fetchModule> from external module <server>,<Context> of module <vite-node> imports <ViteNodeServer> from external module <server>",""
"types",1,1,1,2,139,645,"<color> of module <utils> imports <Formatter> from external module <types>",""
