"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/fixture.client-component","fixture.client-component","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/fixture.client-component/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/fixture.server-component","fixture.server-component","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/fixture.server-component/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx","mdx","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,2,7,"2025-08-14","2025-08-22","2025-08-22",290,297,289,"f533d2e286bfa45e583db6d1a17a9ca9ded34d52","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx/route.mdx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post","mdx-glob.$post","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,8,4,"2025-08-14","2025-08-14","2025-08-22",290,297,297,"cedaa3fa0f5b59c885bdc90ab7d1159ee2beb3c7","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts","posts","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post","mdx-glob.$post","Matt Brophy","Mark Dalgleish",,2,7,4,"2025-08-14","2025-08-14","2025-08-22",290,297,297,"cedaa3fa0f5b59c885bdc90ab7d1159ee2beb3c7","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts/world/world.mdx",7,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts/hello","hello","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts","posts","Matt Brophy","Mark Dalgleish",,2,3,4,"2025-08-14","2025-08-14","2025-08-22",290,297,297,"cedaa3fa0f5b59c885bdc90ab7d1159ee2beb3c7","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts/hello/hello.mdx",8,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts/world","world","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts","posts","Matt Brophy","Mark Dalgleish",,2,3,4,"2025-08-14","2025-08-14","2025-08-22",290,297,297,"cedaa3fa0f5b59c885bdc90ab7d1159ee2beb3c7","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob.$post/posts/world/world.mdx",8,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob._index","mdx-glob._index","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,1,4,"2025-08-14","2025-08-14","2025-08-22",290,297,297,"cedaa3fa0f5b59c885bdc90ab7d1159ee2beb3c7","react-router-7.16.0/playground/rsc-vite-framework/app/routes/mdx-glob._index/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/optimistic","optimistic","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,4,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/optimistic/route.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/app/routes/server-loader","server-loader","react-router-7.16.0/playground/rsc-vite-framework/app/routes","routes","Matt Brophy","Mark Dalgleish",,2,2,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/app/routes/server-loader/styles.module.css",6,1,""
"react-router-7.16.0/playground/rsc-vite-framework/public","public","react-router-7.16.0/playground/rsc-vite-framework","rsc-vite-framework","Matt Brophy","Mark Dalgleish",,2,1,3,"2025-07-28","2025-07-28","2025-08-07",305,315,315,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.16.0/playground/rsc-vite-framework/public/favicon.ico",4,1,""
"react-router-7.16.0/playground/rsc-vite/public","public","react-router-7.16.0/playground/rsc-vite","rsc-vite","Matt Brophy","Jacob Ebey",,2,1,4,"2025-06-26","2025-06-26","2025-07-16",327,346,346,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/public/favicon.ico",4,1,""
"react-router-7.16.0/playground/rsc-vite/src","src","react-router-7.16.0/playground/rsc-vite","rsc-vite","Matt Brophy","Jacob Ebey","Hiroshi Ogawa",3,19,24,"2025-12-04","2025-12-17","2025-12-17",173,186,172,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/root/root.tsx",4,1,""
