"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.12.1","org.axonframework.eventhandling",5,99,136,5,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",9,99,132,5,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore",9,7,132,5,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.legacyjpa",9,6,132,5,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",0,32,129,5,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting",0,6,129,5,""
"axon-messaging-4.12.1","org.axonframework.tracing",11,18,115,5,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors",11,8,115,5,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",14,41,56,5,""
"axon-messaging-4.12.1","org.axonframework.messaging",12,34,36,5,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector",12,30,36,5,""
"axon-messaging-4.12.1","org.axonframework.common",12,27,36,5,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",2,99,174,6,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting.event",2,12,174,6,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",5,31,136,6,""
"axon-messaging-4.12.1","org.axonframework.messaging",0,34,129,6,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting.event",0,12,129,6,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command",6,11,119,6,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",11,41,115,6,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository.jpa",8,7,42,6,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",15,41,11,6,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util",2,30,174,7,""
"axon-messaging-4.12.1","org.axonframework.common.jdbc",9,18,132,7,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.jpa",9,9,132,7,""
