"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.conversion.avro","avro",4,"21,113,113",4,"25,20,3",0.017840682021550237,19,0,1,4,0,2,19,49,""
"org.axonframework.update","update",5,"29,101,101",5,"29,13,10",0.01707010650195364,20,0,2,3,0,2,7,100,""
"org.axonframework.update.detection","detection",5,"29,101,101",5,"29,13,10",0.01707010650195364,21,0,2,3,5,2,4,5,""
"org.axonframework.update.common","common",5,"29,101,101",5,"29,13,10",0.01707010650195364,22,0,2,2,1,2,1,1,""
"org.axonframework.update.api","api",5,"29,101,101",5,"29,13,10",0.01707010650195364,23,0,2,3,18,2,18,11,""
"org.axonframework.update.configuration","configuration",5,"101,101,101",5,"101,13,10",0.01707010650195364,24,0,0,2,8,2,15,19,""
"org.axonframework.modelling","modelling",3,"37,115,115",3,"37,15,0",0.07268373233472526,25,0,0,11,8,2,126,182,""
"org.axonframework.modelling.annotation","annotation",3,"37,115,115",3,"37,15,0",0.07268373233472526,25,0,0,11,11,2,13,314,""
"org.axonframework.modelling.entity","entity",0,"100,100,100",2,"100,12,7",0.0835498984931863,25,0,0,10,2,2,119,842,""
"org.axonframework.modelling.entity.annotation","annotation",3,"34,115,115",3,"35,15,0",0.07268373233472526,25,0,0,11,7,2,48,896,""
"org.axonframework.modelling.entity.child","child",3,"34,115,115",3,"35,15,0",0.07268373233472526,25,0,0,10,11,2,89,242,""
"org.axonframework.modelling.configuration","configuration",3,"57,92,115",3,"57,15,0",0.07268373233472526,26,0,0,10,3,2,36,585,""
"org.axonframework.modelling.repository","repository",3,"37,115,115",3,"37,15,0",0.07268373233472526,27,0,0,10,15,2,98,56,""
"io.axoniq.framework.springboot","springboot",2,"42,8,8",0,"42,25,4",0.037150156876973546,28,0,0,2,1,1,11,6,""
"io.axoniq.framework.springboot.service.connection","connection",2,"42,8,8",0,"42,25,4",0.037150156876973546,29,0,0,1,2,1,5,4,""
"io.axoniq.framework.springboot.actuator","actuator",2,"42,8,8",0,"42,25,4",0.037150156876973546,30,0,0,1,13,1,2,0,""
"io.axoniq.framework.springboot.actuator.axonserver","axonserver",2,"42,8,8",0,"42,25,4",0.037150156876973546,31,0,0,2,1,1,2,3,""
"io.axoniq.framework.springboot.autoconfig","autoconfig",2,"42,8,8",0,"42,25,4",0.037150156876973546,32,0,0,6,0,1,5,135,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",0,"117,100,100",2,"117,12,7",0.0835498984931863,33,0,0,3,16,2,5,37,""
"org.axonframework.common","common",3,"57,92,115",3,"57,15,0",0.07268373233472526,34,0,0,11,6,2,978,31,""
"org.axonframework.common.io","io",2,"48,8,8",0,"48,25,4",0.037150156876973546,35,0,0,2,10,2,2,0,""
"org.axonframework.common.annotation","annotation",5,"101,101,101",5,"101,13,10",0.01707010650195364,36,0,0,11,3,2,4347,5,""
"org.axonframework.common.jdbc","jdbc",6,"88,88,88",6,"88,5,8",0.07003745521301888,37,0,0,6,2,2,17,22,""
"org.axonframework.common.util","util",2,"48,8,8",0,"48,25,4",0.037150156876973546,38,0,0,3,19,2,6,3,""
"org.axonframework.common.property","property",3,"34,115,115",3,"35,15,0",0.07268373233472526,39,0,0,4,11,2,19,15,""
"org.axonframework.common.caching","caching",3,"57,92,115",3,"57,15,0",0.07268373233472526,40,0,0,1,12,2,22,43,""
"org.axonframework.common.tx","tx",6,"88,88,88",6,"88,5,8",0.07003745521301888,41,0,0,6,11,2,10,6,""
"org.axonframework.common.digest","digest",3,"57,92,115",3,"57,15,0",0.07268373233472526,42,0,0,1,19,2,0,1,""
"org.axonframework.common.infra","infra",3,"57,92,115",3,"57,15,0",0.07268373233472526,43,0,0,11,13,2,1363,27,""
"org.axonframework.common.lifecycle","lifecycle",0,"3,100,100",0,"100,12,4",0.037150156876973546,44,0,0,4,16,2,8,4,""
"org.axonframework.common.lock","lock",3,"57,92,115",3,"57,15,0",0.07268373233472526,45,0,0,1,0,2,17,21,""
"org.axonframework.common.jpa","jpa",2,"113,8,8",0,"113,25,4",0.037150156876973546,46,0,0,5,19,2,7,14,""
"org.axonframework.common.configuration","configuration",3,"57,92,115",3,"57,15,0",0.07268373233472526,43,0,0,11,2,2,3499,362,""
"org.axonframework.common.function","function",2,"42,8,8",0,"42,25,4",0.037150156876973546,47,0,0,5,3,2,6,0,""
"org.axonframework.extension.metrics.micrometer","micrometer",3,"62,92,115",3,"115,15,0",0.07268373233472526,48,0,0,9,0,2,18,232,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",3,"62,92,115",3,"115,15,0",0.07268373233472526,49,0,0,2,4,2,4,11,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",3,"62,92,115",3,"115,15,0",0.07268373233472526,50,0,0,1,14,2,2,0,""
"org.axonframework.messaging.monitoring","monitoring",3,"62,92,115",3,"115,15,0",0.07268373233472526,51,0,0,9,10,2,81,22,""
"org.axonframework.messaging.monitoring.interception","interception",3,"62,92,115",3,"115,15,0",0.07268373233472526,52,0,0,7,5,2,5,500,""
"org.axonframework.messaging.monitoring.configuration","configuration",3,"57,92,115",3,"57,15,0",0.07268373233472526,53,0,0,10,18,2,21,439,""
"org.axonframework.messaging.commandhandling","commandhandling",0,"100,100,100",2,"100,12,7",0.0835498984931863,54,0,0,11,4,2,1148,297,""
"org.axonframework.messaging.commandhandling.annotation","annotation",5,"101,101,101",2,"101,12,7",0.0835498984931863,54,0,0,11,11,2,13,437,""
"org.axonframework.messaging.commandhandling.interception","interception",0,"100,100,100",2,"100,12,7",0.0835498984931863,55,0,0,8,1,2,6,499,""
