"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception","interception",491,1561,26,16,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","annotation",478,1359,49,22,14,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",471,1197,42,20,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",464,1548,74,16,10,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","annotation",438,1054,44,23,13,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception","interception",436,1065,22,15,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","annotation",407,1067,32,17,11,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",397,1193,28,15,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.configuration","configuration",377,1576,27,15,9,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","configuration",367,1078,48,28,18,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","connector",344,2299,67,17,16,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",341,1199,80,17,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed","distributed",322,765,32,19,10,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation","annotation",309,735,38,20,14,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",297,873,35,19,6,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration","configuration",271,900,23,16,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration","configuration",271,900,23,16,8,1,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",270,930,52,21,5,0,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","child",242,555,31,15,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation","annotation",234,716,31,13,6,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","query",226,747,40,12,11,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.interception","interception",218,503,14,10,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway","gateway",205,1031,17,14,6,1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","micrometer",202,948,30,13,10,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","reflection",198,732,23,10,11,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",194,586,23,13,9,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway","gateway",191,643,22,13,8,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing","eventsourcing",185,954,18,14,9,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout","timeout",182,463,23,13,8,1,""
"axon-modelling-5.0.2","org.axonframework.modelling","modelling",182,575,30,17,10,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry","retry",179,396,19,11,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry","retry",168,492,14,12,6,1,""
"axon-test-5.0.2","org.axonframework.test.util","util",164,499,25,12,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",160,1574,24,8,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing","tracing",156,426,18,12,7,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing","tracing",135,441,18,11,6,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","command",128,371,29,7,11,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",114,196,20,9,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",108,601,21,9,6,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","repository",107,506,14,10,5,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",105,256,25,12,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway","gateway",102,267,16,9,7,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","annotation",95,176,23,10,12,3,""
"axon-update-5.0.2","org.axonframework.update","update",93,375,23,7,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",85,573,18,5,9,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation","correlation",82,150,11,9,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing","sequencing",78,123,12,5,8,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing","tracing",73,342,12,7,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",68,281,17,8,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing","processing",62,279,12,7,7,1,""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","avro",49,254,16,6,5,1,""
"axon-test-5.0.2","org.axonframework.test.matchers","matchers",47,91,24,4,6,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection","reflection",44,80,7,4,3,1,""
"axon-common-5.0.2","org.axonframework.common.caching","caching",43,129,13,3,2,0,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",37,152,13,5,4,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection","reflection",36,90,11,5,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.conversion","conversion",35,106,7,5,6,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",32,74,10,6,4,1,""
"axon-common-5.0.2","org.axonframework.common","common",31,68,17,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",31,202,11,3,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",30,68,7,5,5,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay","replay",29,100,10,3,4,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing.attributes","attributes",28,38,4,2,2,0,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",27,107,10,3,3,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot","springboot",26,144,19,1,5,4,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",24,48,9,4,8,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring","monitoring",22,52,8,4,4,1,""
"axon-common-5.0.2","org.axonframework.common.lock","lock",21,79,11,2,2,0,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",21,93,10,4,3,1,""
"axon-conversion-5.0.2","org.axonframework.conversion.json","json",21,68,10,3,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",21,63,5,4,5,2,""
"axon-common-5.0.2","org.axonframework.common.jdbc","jdbc",19,52,10,3,5,0,""
"axon-update-5.0.2","org.axonframework.update.configuration","configuration",19,36,8,2,2,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","util",17,62,12,0,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",17,29,5,3,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",16,44,4,4,4,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",16,198,8,2,3,1,""
"axon-common-5.0.2","org.axonframework.common.property","property",15,27,8,1,2,0,""
"axon-common-5.0.2","org.axonframework.common.jpa","jpa",14,20,5,3,5,0,""
"axon-test-5.0.2","org.axonframework.test","test",13,20,7,3,4,2,""
"axon-update-5.0.2","org.axonframework.update.api","api",11,37,5,0,2,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",10,63,4,2,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",8,18,5,3,4,0,""
"axon-conversion-5.0.2","org.axonframework.conversion.converter","converter",7,9,2,1,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util","util",7,9,6,0,1,0,""
"axon-common-5.0.2","org.axonframework.common.tx","tx",6,10,3,2,2,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service.connection","connection",6,16,3,1,2,1,""
"axon-update-5.0.2","org.axonframework.update.detection","detection",5,12,2,0,2,1,""
"axon-common-5.0.2","org.axonframework.common.lifecycle","lifecycle",4,15,4,0,2,0,""
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",3,4,3,0,2,0,""
"axon-common-5.0.2","org.axonframework.common.util","util",3,4,2,0,2,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-test-5.0.2","org.axonframework.test.server","server",2,4,2,0,2,1,""
"axon-common-5.0.2","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util.jpa","jpa",1,1,1,1,1,0,""
"axon-update-5.0.2","org.axonframework.update.common","common",1,1,1,0,1,0,""
"axon-test-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-update-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-conversion-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-modelling-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-server-connector-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-common-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.2","org","org",0,0,0,0,0,-1,""
"axon-test-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-update-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-conversion-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-modelling-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver","axonserver",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.function","function",0,0,0,0,0,-1,""
"axon-common-5.0.2","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics","metrics",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator","actuator",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service","service",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.0.2","org.axonframework.messaging","messaging",0,0,0,0,0,-1,""
