"internalModuleName","leidenCommunityId","internalModuleElementsCount","numberOfExternalModules","minNumberOfInternalModules","maxNumberOfInternalModules","medNumberOfInternalModules","avgNumberOfInternalModules","stdNumberOfInternalModules","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","top10ExternalPackageNamesByUsageDescending","internalModulesExamples","internalElementsExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_aggregated_for_Typescript.cypher"
"copy-template",,2,1,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"node:url","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/copy-template.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/copy-template.ts"".copyTemplate",""
"create-react-router",,2,2,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"@types/process,node:process","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router"".Context",""
"detectPackageManager",,1,1,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"@types/process","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/cli/detectPackageManager.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/cli/detectPackageManager.ts"".detectPackageManager",""
"flatRoutes",,13,5,1,1,1,1,0,1,3,1,1.8,1.0954451150103321,7.6923076923076925,23.076923076923077,7.6923076923076925,13.846153846153847,8.426500884694864,"@types/path,node:path,node:fs,fs,esm","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-fs-routes/flatRoutes.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-fs-routes/flatRoutes.ts"".isSegmentSeparator,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-fs-routes/flatRoutes.ts"".flatRoutes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-fs-routes/flatRoutes.ts"".flatRoutesUniversal",""
"generate",,5,2,1,1,1,1,0,1,4,2.5,2.5,2.1213203435596424,20,80,50,50,42.42640687119285,"dist,@types/babel__generator","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/typegen/generate.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/typegen/generate.ts"".generateRoutes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/typegen/generate.ts"".generateServerBuild,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/typegen/generate.ts"".typesDirectory,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/typegen/generate.ts"".generateFuture",""
"has-dependency",,1,1,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"@types/module","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/has-dependency.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/has-dependency.ts"".hasDependency",""
"has-rsc-plugin",,1,1,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"node","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/has-rsc-plugin.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/has-rsc-plugin.ts"".hasReactRouterRscPlugin",""
"is-react-router-repo",,1,2,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"dist,@types/module","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/is-react-router-repo.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/is-react-router-repo.ts"".isReactRouterRepo",""
"load-dotenv",,1,2,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"@types/process,node","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/load-dotenv.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/load-dotenv.ts"".loadDotenv",""
"loading-indicator",,1,1,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"@types/process","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/loading-indicator.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/loading-indicator.ts"".renderLoadingIndicator",""
"node-adapter",,2,2,1,1,1,1,0,2,2,2,2,0,100,100,100,100,0,"node,http","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/node-adapter.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/node-adapter.ts"".NodeRequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/node-adapter.ts"".fromNodeRequest",""
"optimize-deps-entries",,1,2,1,1,1,1,0,1,1,1,1,0,100,100,100,100,0,"node,dist","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/optimize-deps-entries.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/optimize-deps-entries.ts"".getOptimizeDepsEntries",""
"prerender",,6,6,1,1,1,1,0,1,1,1,1,0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,"node,@types/process,@types/path,promises,node:path,p-map","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/plugins/prerender.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/plugins/prerender.ts"".prerender",""
"profiler",,3,6,1,1,1,1,0,1,3,1,1.3333333333333333,0.816496580927726,33.333333333333336,100,33.333333333333336,44.44444444444445,27.216552697590867,"node:path,picocolors,node:fs,@types/path,inspector,node:inspector","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/profiler.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/profiler.ts"".stop",""
"prompts-confirm",,3,2,1,1,1,1,0,1,1,1,1,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,"sisteransi,readline","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-confirm.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-confirm.ts"".ConfirmPrompt",""
"prompts-multi-select",,2,2,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"sisteransi,readline","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-multi-select.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-multi-select.ts"".MultiSelectPrompt",""
"prompts-prompt-base",,2,6,1,1,1,1,0,1,2,1,1.3333333333333333,0.5163977794943223,50,100,50,66.66666666666667,25.819888974716115,"@types/events,node:process,sisteransi,node:readline,@types/process,readline","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-prompt-base.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-prompt-base.ts"".Prompt",""
"prompts-select",,3,3,1,1,1,1,0,1,1,1,1,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,"sisteransi,@types/timers,readline","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-select.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/create-react-router/prompts-select.ts"".SelectPrompt",""
