"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"node-adapter","no namespace",7,9,2,5,2,250,"Connect.IncomingMessage,IncomingMessage,ServerResponse,Connect.IncomingMessage.originalUrl,Connect.IncomingMessage.url",""
"prompts-multi-select","no namespace",5,25,2,5,2,250,"erase.line,erase,cursor.to,cursor.hide,Key",""
"react-router-architect","@types",7,7,4,10,4,250,"APIGatewayProxyEventV2,APIGatewayProxyResultV2,Callback,Context,APIGatewayEventRequestContextV2",""
"react-router-architect","@architect",5,7,4,10,4,250,"functions,ArcTable.get,tables,ArcTable.put,ArcTable.delete",""
"react-router-node","@types",14,16,7,17,8,242.85714285714286,"global.Buffer.toString,global.BufferConstructor.from,path.PlatformPath.dirname,Stream.Writable.end,Stream.Writable,Stream.Writable.destroy,Stream.Writable.write,global.BufferConstructor.concat,Stream.Readable",""
"react-router-node","no namespace",6,15,7,17,8,242.85714285714286,".mkdir,promises,.writeFile,.readFile,.unlink,RequestListener",""
"react-router-node","@mjackson",2,2,7,17,8,242.85714285714286,"ClientAddress,createRequestListener",""
"commands","no namespace",8,13,5,12,9,240,"picocolors,exit-hook,PackageJson.dependencies,existsSync,copyFile,writeFile,createLogger",""
"commands","@types",5,11,5,12,9,240,"global.NodeJS.Process.exit,path.PlatformPath.dirname,path.PlatformPath.relative,global.NodeJS.Require.resolve,path.PlatformPath.resolve",""
"config","no namespace",31,63,14,31,15,221.42857142857144,"ModuleCacheMap.clear,FSWatcher.unwatch,picocolors,dist,ViteDevServer.moduleGraph,createLogger,ViteDevServer.close,path.relative,ModuleGraph.getModuleById,FSWatcher.add,ModuleGraph.invalidateAll,esm,_default.watch,path.normalize,ViteNodeRunner.moduleCache,FSWatcher.on,path.resolve,path.join,path.dirname,Stats.isFile,Stats.isDirectory,.statSync,node:fs,execSync,PackageJson.dependencies",""
"config","@types",7,8,14,31,15,221.42857142857144,"isEqual,global.NodeJS.Process.env,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Require.resolve,pick",""
"loading-indicator","@types",2,2,1,2,1,200,"global.NodeJS.WriteStream,global.NodeJS.ReadStream",""
"prerender","no namespace",7,9,6,12,6,200,"node:path,PreviewServer.close,writeFile,Plugin,mkdir,ResolvedConfig.root,p-map",""
"prerender","@types",5,9,6,12,6,200,"path.PlatformPath.join,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.dirname,path.PlatformPath.relative,global.NodeJS.Process.env",""
"prompts-select","no namespace",5,25,3,6,3,200,"Key,cursor.to,erase,erase.line,cursor.hide",""
"prompts-select","@types",1,5,3,6,3,200,"global.NodeJS.Timeout",""
"virtual-route-config","no namespace",2,2,1,2,1,200,"path.resolve,dist",""
"stream","@types",11,12,4,7,3,175,"Stream.Writable.end,Stream.Writable,Stream.Writable.write,Stream.Writable.destroy,global.BufferConstructor.concat,global.Buffer.toString,Stream.Readable",""
"prompts-confirm","no namespace",5,25,3,5,2,166.66666666666669,"cursor.to,erase.line,erase,Key,cursor.hide",""
"react-router-express","@types",9,9,3,5,3,166.66666666666669,"e.Response,QueryString.ParsedQs,ParamsDictionary,e.Request,e.NextFunction",""
"typegen","no namespace",7,10,3,5,3,166.66666666666669,".rm,promises,green,red,node",""
"create-react-router","@types",2,10,2,3,2,150,"global.NodeJS.ReadStream,global.NodeJS.WriteStream",""
"create-react-router","no namespace",1,20,2,3,2,150,"node:process",""
"normalizeSlashes","@types",4,4,2,3,2,150,"path.PlatformPath.sep,path.PlatformPath.win32",""
"normalizeSlashes","no namespace",2,2,2,3,2,150,"node:path",""
"routes","no namespace",30,96,18,27,4,150,"resolve,custom,optional,StringSchema,pipe,OptionalSchema,ObjectSchema,CustomIssue,SchemaWithPipe,array,LazySchema,object,BaseSchema,BooleanSchema,lazy,NotValueAction,CustomSchema,ArraySchema,string,boolean,notValue,BaseIssue,relative,isAbsolute,flatten,safeParse",""
"routes","@types",3,3,18,27,4,150,"pick",""
"route-chunks","@babel",33,66,13,19,3,146.15384615384616,"File,isExportAllDeclaration,isFunctionDeclaration,isVariableDeclaration,isClassDeclaration,isExportDeclaration,VariableDeclaration.declarations,Program.body,ExportNamedDeclaration.declaration,isImportDeclaration,Identifier.name,ExportNamedDeclaration.specifiers,isNodesEquivalent,File.program,isExportNamedDeclaration,ImportDeclaration.specifiers,isExportDefaultDeclaration",""
"route-chunks","@types",5,5,13,19,3,146.15384615384616,"GeneratorResult,GeneratorOptions",""
