"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"@babel/lib",5,48,2,16,8,9.6,6.2289646009589745,6,1,2,1,1.2,0.4472135954999579,0.7299270072992701,1.4598540145985401,0.7299270072992701,0.8759124087591241,0.3264332813868306,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@types/react",5,33,1,12,6,6.6,4.8270073544588685,38,1,15,5,7.6,6.465291950097845,0.7299270072992701,10.94890510948905,3.6496350364963503,5.547445255474452,4.719191204450982,"react-router,context,server,fog-of-war",""
"http",5,9,1,2,2,1.8,0.4472135954999579,7,1,2,1,1.4,0.5477225575051661,0.7299270072992701,1.4598540145985401,0.7299270072992701,1.0218978102189782,0.39979748723004827,"@react-router/vite,@react-router/plugin,@react-router/node-adapter,@react-router/server",""
"node:path",5,5,1,1,1,1,0,10,1,3,2,2,1,0.7299270072992701,2.18978102189781,1.4598540145985401,1.4598540145985401,0.7299270072992701,"@react-router/profiler,@react-router/flatRoutes,@react-router/react-router-fs-routes,@react-router/normalizeSlashes",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.7299270072992701,2.18978102189781,0.7299270072992701,1.094890510948905,0.7299270072992701,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/config",""
"fs",4,11,2,3,3,2.75,0.5,5,1,2,1,1.25,0.5,0.7299270072992701,1.4598540145985401,0.7299270072992701,0.9124087591240876,0.36496350364963503,"@react-router/vite,@react-router/plugin,@react-router/flatRoutes,utils",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7299270072992701,3.6496350364963503,2.9197080291970803,2.4330900243309004,1.5194642331869583,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7299270072992701,1.4598540145985401,1.4598540145985401,1.2165450121654502,0.4214235541530115,"@react-router/vite,@react-router/plugin,@react-router/useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/remove-exports,@react-router/styles,@react-router/with-props",""
"lexer",3,3,1,1,1,1,0,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7299270072992701,1.4598540145985401,1.4598540145985401,1.2165450121654502,0.4214235541530115,"@react-router/vite,@react-router/plugin,@react-router/virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.7299270072992701,2.9197080291970803,1.4598540145985401,1.7031630170316303,1.1149819209138296,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896258,3,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin,copy-template",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/remove-exports,@react-router/with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4598540145985401,1.4598540145985401,1.4598540145985401,1.4598540145985401,0,"@react-router/react-router-node,@react-router/server",""
"@types/api-gateway-proxy",2,17,3,14,8.5,8.5,7.7781745930520225,7,2,5,3.5,3.5,2.1213203435596424,1.4598540145985401,3.6496350364963503,2.554744525547445,2.554744525547445,1.5484090098975496,"@react-router/react-router-architect,@react-router/server",""
"@types/express",2,18,3,15,9,9,8.48528137423857,6,2,4,3,3,1.4142135623730951,1.4598540145985401,2.9197080291970803,2.18978102189781,2.18978102189781,1.032272673265033,"@react-router/server,@react-router/react-router-express",""
"@types/express-serve-static-core",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4598540145985401,2.18978102189781,1.8248175182481752,1.8248175182481752,0.5161363366325165,"@react-router/server,@react-router/react-router-express",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/react-router-architect,@react-router/server",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4598540145985401,2.18978102189781,1.8248175182481752,1.8248175182481752,0.5161363366325165,"@react-router/server,@react-router/react-router-express",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,2.18978102189781,2.18978102189781,2.18978102189781,2.18978102189781,0,"@react-router/react-router-node,@react-router/stream",""
"async_hooks",2,2,1,1,1,1,0,6,3,3,3,3,0,2.18978102189781,2.18978102189781,2.18978102189781,2.18978102189781,0,"server,react-router",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/cloudflare,@react-router/cloudflare-dev-proxy",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/config,@react-router/flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin",""
"rollup",2,16,8,8,8,8,0,5,2,3,2.5,2.5,0.7071067811865476,1.4598540145985401,2.18978102189781,1.8248175182481752,1.8248175182481752,0.5161363366325165,"@react-router/vite,@react-router/plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/vite,@react-router/plugin",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"prompts-select",""
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/run",""
"chalk",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"utils",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/commands",""
"inspector",1,4,4,4,4,4,0,3,3,3,3,3,0,2.18978102189781,2.18978102189781,2.18978102189781,2.18978102189781,0,"@react-router/profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/config",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"prompts-prompt-base",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,1.4598540145985401,1.4598540145985401,1.4598540145985401,1.4598540145985401,0,"@react-router/vite-node",""
