"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"react-router-7.17.0/combine-urls","combine-urls","embeddingsFastRandomProjection","-0.45837066,-0.10577637,-0.2178402,-0.27419835,-0.045892358,-0.3429225,0.0947866,0.23755257,0.22029708,0.01733086,-0.11415304,0.07178675,0.27858186,0.08514762,0.30162668,0.23766613,-0.2451045,-0.08812086,-0.16098414,0.27714762,-0.2393711,0.15686023,0.13927233,0.24806574,-0.30265474,-0.063779205,0.21672165,0.3609004,-0.3457893,-0.32937622,0.1412652,-0.45641726",""
"react-router-7.17.0/dev","dev","embeddingsFastRandomProjection","-0.53573406,-0.3209994,-0.139859,-0.17421563,0.29349443,-0.6342894,0.12348224,0.11829866,-0.3196038,-0.066780776,-0.21312761,0.21379358,0.081510834,-0.39695218,0.24001294,0.0053140223,0.1012371,-0.510247,0.61721134,0.07822384,0.5129459,-0.30452418,0.376513,-0.041632507,-0.29802084,0.19557217,0.06365099,0.38160616,-0.19273913,-0.46323922,0.6656219,-0.3065088",""
"react-router-7.17.0/has-dependency","has-dependency","embeddingsFastRandomProjection","-0.49093223,-0.22281049,-0.15505323,-0.23760077,-0.07475194,-0.38148117,0.16890058,0.31648338,0.15304872,-0.035536163,-0.11091718,0.002695174,0.28126565,0.11246586,0.2667893,0.27337644,-0.27337843,-0.1451127,0.06299932,0.354819,-0.15220751,0.12020755,0.27196777,0.2868288,-0.19876127,-0.08356717,0.16522345,0.41236416,-0.34569865,-0.28202358,0.35947907,-0.433024",""
"react-router-7.17.0/has-rsc-plugin","has-rsc-plugin","embeddingsFastRandomProjection","-0.47301012,-0.39466697,0.20781887,-0.10287259,0.2730412,-0.46262333,0.1773234,0.2573103,-0.33824942,-0.04130725,-0.31551495,0.1698612,0.17180517,0.05607719,0.2524079,-0.1658929,0.09956341,-0.58064,0.5247946,0.017174145,0.36798143,-0.013336301,0.34653717,-0.20499259,-0.24402376,0.03255301,0.03130564,0.323907,-0.36069396,-0.4894568,0.40590394,-0.4986233",""
"react-router-7.17.0/load-dotenv","load-dotenv","embeddingsFastRandomProjection","-0.4716689,-0.15009473,-0.19449611,-0.2597775,-0.05164066,-0.36508527,0.12421067,0.27089965,0.19503683,-0.0022399146,-0.113184005,0.04696003,0.28578493,0.09611451,0.294312,0.2529664,-0.2542265,-0.109177224,-0.07458574,0.30736387,-0.20743082,0.14400506,0.19021842,0.26492608,-0.269313,-0.072778456,0.2040203,0.38824016,-0.35232812,-0.31597292,0.22120413,-0.45483792",""
"react-router-7.17.0/node-adapter","node-adapter","embeddingsFastRandomProjection","-0.47059685,-0.10719302,-0.20456111,-0.28614208,-0.048128724,-0.34972084,0.10728973,0.23635298,0.22062615,0.02841912,-0.11375863,0.058887005,0.26395166,0.10871546,0.29816473,0.23606926,-0.24713,-0.11340166,-0.14841974,0.26413593,-0.2505991,0.14398913,0.15244298,0.24552776,-0.28836745,-0.07552285,0.22358947,0.3565703,-0.37820226,-0.32657126,0.16897346,-0.45278016",""
"react-router-7.17.0/optimize-deps-entries","optimize-deps-entries","embeddingsFastRandomProjection","-0.24361461,-0.2602062,-0.056383576,-0.43713695,0.11303834,0.2187964,0.19207254,0.061113168,0.12794375,0.06918143,0.11128792,0.030922268,0.2553513,0.10241927,0.07689278,0.055815686,-0.48740673,-0.34699956,-0.023376498,-0.08643295,-0.2457986,-0.3770243,0.2274765,-0.08733128,-0.124028936,-0.39760673,0.10908486,0.08176065,-0.39649,0.01250352,0.46853024,-0.12120734",""
"react-router-7.17.0/plugin","plugin","embeddingsFastRandomProjection","-0.41898206,-0.12661228,-0.22567105,-0.28971234,-0.0041078925,-0.32341745,0.035030954,0.099730074,0.22130044,-0.018546687,-0.088120595,-0.0070419237,0.29414055,0.051452998,0.33657548,0.1967654,-0.33286017,-0.093609735,-0.1915271,0.27409363,-0.20854376,0.10550551,0.123323314,0.20575452,-0.28847733,-0.011958922,0.21096747,0.3174092,-0.33118588,-0.39684772,0.012926996,-0.40377143",""
"react-router-7.17.0/profiler","profiler","embeddingsFastRandomProjection","-0.4209469,-0.34490553,-0.17051932,-0.2676638,0.3438897,-0.56728554,0.076879725,0.009479893,-0.35227266,-0.15320274,-0.14420839,0.27661425,-0.039850593,-0.28374577,0.2540256,0.12826231,0.06705996,-0.5563935,0.5710783,0.13999249,0.47365794,-0.3203442,0.26473004,0.06621636,-0.1334197,0.102888435,0.025489835,0.17184597,-0.053176366,-0.23834652,0.7803561,-0.15822554",""
"react-router-7.17.0/remove-exports","remove-exports","embeddingsFastRandomProjection","-0.47901922,-0.13320614,-0.1993423,-0.38245043,-0.13156982,-0.34615052,0.3469774,0.3328512,0.19472495,0.23045895,-0.12532173,0.1431277,-0.044383276,-0.08366091,0.43488818,0.24968167,-0.17424603,-0.117190905,-0.23816419,0.23351191,-0.3058719,-0.003785327,0.2725651,0.40643018,-0.18119398,0.0070703514,0.044670455,0.20479584,-0.37015155,-0.23313898,0.3683354,-0.50655186",""
