"packageDirectory","packageName","dependencyName","dependencyVersion","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_by_package.cypher"
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules-spa","@playground/split-route-modules-spa","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/vite-plugin-cloudflare","@playground/vite-plugin-cloudflare","serialize-javascript",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-architect","@react-router/architect","@architect/functions",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-architect","@react-router/architect","@types/aws-lambda",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/core",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/generator",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/parser",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/plugin-syntax-jsx",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/preset-typescript",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/packages/react-router-dev","@react-router/dev","@babel/traverse",,""
