"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements_per_artifact.cypher"
"axon-eventsourcing-5.1.2","jakarta.persistence.Lob","Field",2,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.payload,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.metadata",""
"axon-eventsourcing-5.1.2","java.lang.Deprecated","Constructor",1,"org.axonframework.eventsourcing.EventSourcingRepository.<init>",""
"axon-eventsourcing-5.1.2","java.lang.annotation.Repeatable","Annotation",1,"org.axonframework.eventsourcing.annotation.EventTag",""
"axon-eventsourcing-5.1.2","org.axonframework.messaging.eventhandling.annotation.EventHandler","Annotation",1,"org.axonframework.eventsourcing.annotation.EventSourcingHandler",""
"axon-eventsourcing-5.1.2","jakarta.persistence.SequenceGenerator","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex",""
"axon-eventsourcing-5.1.2","jakarta.persistence.Id","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex",""
"axon-eventsourcing-5.1.2","jakarta.persistence.GeneratedValue","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.globalIndex",""
"axon-eventsourcing-5.1.2","jakarta.persistence.Column","Field",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.identifier",""
"axon-eventsourcing-5.1.2","java.lang.Deprecated","Method",1,"org.axonframework.eventsourcing.eventstore.SourcingCondition.start",""
"axon-eventsourcing-5.1.2","jakarta.persistence.Table","Class",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry",""
"axon-eventsourcing-5.1.2","jakarta.persistence.Entity","Class",1,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry",""
"axon-messaging-5.1.2","org.jspecify.annotations.NullMarked","Interface",57,"org.axonframework.messaging.monitoring.package-info,org.axonframework.messaging.monitoring.interception.package-info,org.axonframework.messaging.monitoring.configuration.package-info,org.axonframework.messaging.commandhandling.annotation.package-info,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.commandhandling.retry.package-info,org.axonframework.messaging.commandhandling.package-info,org.axonframework.messaging.commandhandling.interception.package-info,org.axonframework.messaging.commandhandling.tracing.package-info",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Class",38,"org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory,org.axonframework.messaging.commandhandling.gateway.ContextAwareCommandDispatcher,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition$MethodEventMessageHandlingMember,org.axonframework.messaging.eventhandling.InterceptingEventSink,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.interception.InterceptingEventHandlingComponent",""
"axon-messaging-5.1.2","java.lang.annotation.Retention","Annotation",28,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay",""
"axon-messaging-5.1.2","java.lang.annotation.Target","Annotation",28,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.annotation.Timestamp,org.axonframework.messaging.eventhandling.annotation.ConcludesBatch,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay",""
"axon-messaging-5.1.2","java.lang.FunctionalInterface","Interface",26,"org.axonframework.messaging.monitoring.configuration.MessageMonitorFactory,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandPriorityCalculator,org.axonframework.messaging.eventhandling.EventHandler,org.axonframework.messaging.eventhandling.replay.ResetHandler,org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule$Customization,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$EventFilter,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessor",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Interface",13,"org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry,org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember,org.axonframework.messaging.eventhandling.annotation.EventHandlingMember,org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandlerRegistry,org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.replay.ReplayStatusChanged,org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Constructor",13,"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration.<init>,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorsConfigurer.<init>,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequenceCachingEventHandlingComponent.<init>,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer.<init>,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment.<init>,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration.<init>,org.axonframework.messaging.eventhandling.InterceptingEventBus.<init>,org.axonframework.messaging.eventhandling.configuration.EventProcessorConfiguration.<init>,org.axonframework.messaging.eventhandling.configuration.EventProcessingConfigurer.<init>",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonProperty","Parameter",12,"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(0),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(1),org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>(2),org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>(0)",""
"axon-messaging-5.1.2","org.axonframework.common.Priority","Class",11,"org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory,org.axonframework.messaging.core.annotation.HierarchicalParameterResolverFactory,org.axonframework.messaging.core.annotation.MessageIdentifierParameterResolverFactory,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.core.annotation.SimpleResourceParameterResolverFactory,org.axonframework.messaging.core.annotation.InterceptorChainParameterResolverFactory,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory",""
"axon-messaging-5.1.2","java.lang.annotation.Documented","Annotation",10,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay,org.axonframework.messaging.queryhandling.annotation.QueryHandler,org.axonframework.messaging.core.annotation.MetadataValue,org.axonframework.messaging.core.annotation.MessageHandlerTimeout,org.axonframework.messaging.core.annotation.HasHandlerAttributes,org.axonframework.messaging.core.annotation.MessageHandler",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Method",10,"org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter.delegate,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore.converter,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore.converter,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorsConfigurer.build,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer.build,org.axonframework.messaging.core.annotation.MessageHandlingMember.handleSync,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain.handleSync,org.axonframework.messaging.core.Context.resources,org.axonframework.messaging.core.conversion.DelegatingMessageConverter.delegate",""
"axon-messaging-5.1.2","java.lang.Deprecated","Method",8,"org.axonframework.messaging.eventhandling.configuration.DefaultEventHandlingComponentsConfigurer.declarative,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase.declarative,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase.autodetected,org.axonframework.messaging.core.GenericResultMessage.asResultMessage,org.axonframework.messaging.core.annotation.MessageHandlingMember.handleSync,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain.handleSync,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors.handleSync",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation.MessageHandler","Annotation",6,"org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.eventhandling.annotation.EventHandler,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.queryhandling.annotation.QueryHandler,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonCreator","Constructor",6,"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>,org.axonframework.messaging.core.RemoteExceptionDescription.<init>",""
"axon-messaging-5.1.2","java.beans.ConstructorProperties","Constructor",6,"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.<init>,org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken.<init>,org.axonframework.messaging.core.RemoteExceptionDescription.<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation.HasHandlerAttributes","Annotation",5,"org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.core.annotation.MessageHandlerTimeout,org.axonframework.messaging.core.annotation.MessageHandler,org.axonframework.messaging.core.annotation.SequencingPolicy,org.axonframework.messaging.core.interception.annotation.ResultHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation.Message","Annotation",4,"org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.eventhandling.annotation.Event,org.axonframework.messaging.queryhandling.annotation.QueryResponse,org.axonframework.messaging.queryhandling.annotation.Query",""
"axon-messaging-5.1.2","jakarta.persistence.Basic","Field",4,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.tokenType,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.timestamp,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.owner,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.mask",""
"axon-messaging-5.1.2","java.lang.Deprecated","Constructor",3,"org.axonframework.messaging.commandhandling.GenericCommandResultMessage.<init>,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification.<init>",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonGetter","Method",3,"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.lowerSegmentToken,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.upperSegmentToken,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.resetContext",""
"axon-messaging-5.1.2","java.lang.SafeVarargs","Constructor",2,"org.axonframework.messaging.monitoring.MultiMessageMonitor.<init>,org.axonframework.messaging.core.retry.NonTransientExceptionClassesPredicate.<init>",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Annotation",2,"org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.core.annotation.Message",""
"axon-messaging-5.1.2","org.axonframework.common.annotation.Internal","Field",2,"org.axonframework.messaging.eventhandling.GenericEventMessage.clock,org.axonframework.messaging.core.sequencing.SequentialPolicy.FULL_SEQUENTIAL_POLICY",""
"axon-messaging-5.1.2","jakarta.persistence.Id","Field",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.processorName,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.segment",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonTypeInfo","Method",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.lowerSegmentToken,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.upperSegmentToken",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonIgnore","Method",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.isLowerSegmentAdvanced,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken.isUpperSegmentAdvanced",""
"axon-messaging-5.1.2","com.fasterxml.jackson.annotation.JsonTypeInfo","Field",2,"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.tokenAtReset,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken.currentToken",""
"axon-messaging-5.1.2","java.lang.Deprecated","Field",1,"org.axonframework.messaging.eventhandling.GenericEventMessage.clock",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay","Annotation",1,"org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay",""
"axon-messaging-5.1.2","jakarta.persistence.Entity","Class",1,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry",""
"axon-messaging-5.1.2","jakarta.persistence.IdClass","Class",1,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry",""
"axon-messaging-5.1.2","jakarta.persistence.Lob","Field",1,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.token",""
"axon-messaging-5.1.2","jakarta.persistence.Column","Field",1,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry.token",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation.Namespace","Annotation",1,"org.axonframework.messaging.core.annotation.Message",""
"axon-messaging-5.1.2","java.lang.annotation.Inherited","Annotation",1,"org.axonframework.messaging.core.annotation.SequencingPolicy",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor","Annotation",1,"org.axonframework.messaging.core.interception.annotation.ExceptionHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation.ResultHandler","Annotation",1,"org.axonframework.messaging.core.interception.annotation.ExceptionHandler",""
"axon-messaging-5.1.2","java.lang.SafeVarargs","Method",1,"org.axonframework.messaging.core.MessageStream.fromItems",""
"axon-messaging-5.1.2","java.lang.Deprecated","Class",1,"org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext",""
"axon-metrics-micrometer-5.1.2","org.jspecify.annotations.NullMarked","Interface",3,"org.axonframework.extension.metrics.micrometer.springboot.package-info,org.axonframework.extension.metrics.micrometer.reservoir.package-info,org.axonframework.extension.metrics.micrometer.package-info",""
"axon-metrics-micrometer-5.1.2","org.springframework.context.annotation.Bean","Method",2,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.disableMetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.meterRegistry",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Method",2,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.disableMetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.meterRegistry",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.context.properties.EnableConfigurationProperties","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.AutoConfigureAfter","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnClass","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.AutoConfiguration","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.AutoConfigureBefore","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.context.properties.ConfigurationProperties","Class",1,"org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties",""
"axon-metrics-micrometer-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",1,"org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration.meterRegistry",""
"axon-modelling-5.1.2","java.lang.FunctionalInterface","Interface",11,"org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.annotation.EntityIdResolverDefinition,org.axonframework.modelling.entity.child.EventTargetMatcher,org.axonframework.modelling.entity.child.CommandTargetResolver,org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodelFactory,org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.entity.EntityCommandHandler,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder",""
"axon-modelling-5.1.2","org.jspecify.annotations.NullMarked","Interface",7,"org.axonframework.modelling.annotation.package-info,org.axonframework.modelling.package-info,org.axonframework.modelling.entity.annotation.package-info,org.axonframework.modelling.entity.package-info,org.axonframework.modelling.entity.child.package-info,org.axonframework.modelling.configuration.package-info,org.axonframework.modelling.repository.package-info",""
"axon-modelling-5.1.2","java.lang.annotation.Retention","Annotation",3,"org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember",""
"axon-modelling-5.1.2","java.lang.annotation.Target","Annotation",3,"org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember",""
"axon-modelling-5.1.2","org.axonframework.common.annotation.Internal","Class",3,"org.axonframework.modelling.entity.annotation.AbstractEntityChildModelDefinition,org.axonframework.modelling.entity.annotation.RoutingKeyUtils,org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher",""
"axon-modelling-5.1.2","java.lang.annotation.Documented","Annotation",1,"org.axonframework.modelling.entity.annotation.EntityMember",""
"axon-modelling-5.1.2","org.axonframework.common.annotation.Internal","Interface",1,"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodelFactory",""
"axon-modelling-5.1.2","org.axonframework.common.annotation.Internal","Field",1,"org.axonframework.modelling.entity.EntityMetamodel.CREATE_WITHOUT_LOAD",""
