"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","GrpcExceptionParser",14,10,"parse",5,"parse",""
"axon-common-5.1.2","org.axonframework.common.caching","EhCacheAdapter$CacheEventListenerAdapter",14,11,"onEvent",8,"onEvent",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","InMemorySnapshotStore",14,7,"store",2,"load",""
"axon-conversion-5.1.2","org.axonframework.conversion","ChainedConverter$Route",14,5,"<init>",1,"<init>",""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","InputStreamToByteArrayConverter",14,5,"convert",4,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","MethodCommandHandlerDefinition$MethodCommandHandlingMember",14,9,"<init>",6,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","GenericTokenTableFactory",14,10,"createTable",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","AddedTrackerStatus",14,11,"toString",1,"toString",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","RemovedTrackerStatus",14,11,"toString",1,"toString",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","Metadata$MetadataCollector",14,3,"lambda$combiner$1",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","ChainedMessageHandlerInterceptorMember",14,6,"<init>",2,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","AsyncRetryScheduler",14,6,"scheduleRetry",2,"scheduleRetry",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","UnitOfWorkConfiguration",14,3,"registerProcessingLifecycleEnhancer",1,"toString",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","ProcessingLifecycle$DefaultPhases",14,7,"<clinit>",1,"valueOf",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","ParameterResolverFactoryUtils",14,7,"registerToComponentRegistry",2,"registerToComponentRegistry",""
"axon-modelling-5.1.2","org.axonframework.modelling","SimpleEntityEvolvingComponent",13,6,"evolve",2,"evolve",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","ListEntityChildMetamodel",13,5,"getChildEntities",2,"getChildEntities",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","GrpcMessageSizeInterceptor$1$1",13,12,"onMessage",4,"onMessage",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConfiguration$HeartbeatConfiguration",13,4,"<init>",1,"isEnabled",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","TopologyChange$HandlerSubscription",13,5,"equals",5,"equals",""
"axon-common-5.1.2","org.axonframework.common.util","MavenArtifactVersionResolver",13,8,"get",2,"get",""
"axon-common-5.1.2","org.axonframework.common.caching","NoCache",13,2,"<init>",1,"put",""
"axon-common-5.1.2","org.axonframework.common.configuration","DecoratorDefinition",13,3,"forTypeAndName",1,"onShutdown",""
"axon-test-5.1.2","org.axonframework.test","AxonAssertionError",13,5,"cleanStackTrace",3,"cleanStackTrace",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestFixture$Customization",13,3,"registerFieldFilter",1,"equals",""
"axon-test-5.1.2","org.axonframework.test.fixture","RecordingEventSink",13,4,"<init>",1,"lambda$publish$0",""
"axon-test-5.1.2","org.axonframework.test.matchers","ExactSequenceMatcher",13,9,"matchesList",4,"matchesList",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","SourcingStrategy$Snapshot",13,4,"<init>",3,"merge",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MessageTimerMonitor$1",13,4,"reportSuccess",1,"reportSuccess",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","GenericRecordToByteArrayConverter",13,9,"convert",3,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","MultiMessageMonitor",13,4,"onMessageIngested",1,"messageMonitors",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","ReplayBlockingEventHandlingComponent",13,4,"<init>",3,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion","DelegatingEventConverter",13,4,"<init>",2,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","Oracle11TokenTableFactory",13,10,"createTable",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","TokenEntry$PK",13,6,"equals",6,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","ErrorContext",13,6,"<init>",1,"toString",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","PropagatingErrorHandler",13,6,"handleError",6,"handleError",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","CompletionCallbackMessageStream",13,7,"<init>",2,"onCompleted",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","TruncateFirstMessageStream",13,6,"fetchNext",3,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","ConversionCache",13,6,"<init>",2,"wrapNull",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FailedMessageStream",13,3,"<init>",2,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultMessageDispatchInterceptorChain",13,9,"<init>",2,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","AnnotationMessageTypeResolver$AnnotationSpecification",13,2,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","DefaultCorrelationDataProviderRegistry",13,8,"correlationDataProviders",4,"correlationDataProviders",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","JpaTransactionalExecutorProvider$1",13,12,"apply",3,"apply",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection","AxonServerDockerComposeConnectionDetailsFactory",13,8,"getDockerComposeConnectionDetails",2,"getDockerComposeConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","DeadLetterQueueAutoConfiguration",13,5,"lambda$dlqCustomization$1",3,"unwrapProcessorName",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","ListEntityChildModelDefinition",12,6,"doCreate",1,"getChildTypeFromList",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","AxonServerQueryDispatchException",12,5,"<init>",1,"source",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","AxonServerCommandBusConnector$FutureResultCallback",12,3,"onError",1,"hashCode",""
"axon-common-5.1.2","org.axonframework.common","ExceptionUtils",12,6,"findException",4,"isExplicitlyNonTransient",""
"axon-common-5.1.2","org.axonframework.common.jdbc","Oracle11Utils",12,9,"simulateAutoIncrement",3,"simulateAutoIncrement",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","SnapshotPolicy",12,3,"afterEvents",3,"afterEvents",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","GenericTaggedEventMessage",12,4,"<init>",1,"hashCode",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","InterceptingEventStore$InterceptingEventStoreTransaction",12,4,"<init>",1,"overrideAppendCondition",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","AggregateBasedConsistencyMarker$AggregateSequencer",12,6,"toMarker",2,"lambda$incrementAndGetSequenceOf$0",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","SQLStateResolver",12,4,"<init>",2,"lambda$isDuplicateKeyViolation$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","CommandResultMessage",12,1,"withMetadata",1,"withMetadata",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","CommandMessageHandlerInterceptorChain",12,8,"<init>",2,"proceed",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","CommandHandlingModule$CommandHandlerPhase",12,7,"lambda$autodetectedCommandHandlingComponent$1",1,"autodetectedCommandHandlingComponent",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","DelegatingEventHandlingComponent",12,3,"<init>",1,"sequenceIdentifierFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","EventMessageHandlerInterceptorChain",12,8,"<init>",2,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","QueryResponseMessage",12,1,"withConvertedPayload",1,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","QueryUpdateEmitter",12,4,"lambda$forContext$0",1,"emit",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","QueryMessageHandlerInterceptorChain",12,8,"<init>",2,"proceed",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","QueryHandlingModule$QueryHandlerPhase",12,7,"lambda$autodetectedQueryHandlingComponent$1",1,"autodetectedQueryHandlingComponent",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","AbstractMessage",12,4,"<init>",2,"withMetadata",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","HandlerTimeoutConfiguration",12,6,"<init>",1,"getCommands",""
"axon-modelling-5.1.2","org.axonframework.modelling","HierarchicalStateManagerConfigurationEnhancer",11,6,"lambda$enhance$1",2,"lambda$enhance$1",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","AbstractEntityChildMetamodel$Builder",11,4,"<init>",1,"<init>",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","GrpcMessageSizeInterceptor",11,9,"<init>",2,"<init>",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","QueryResponseMessageStream",11,3,"<init>",1,"createAxonException",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","QueryUpdateMessageStream",11,3,"createAxonException",1,"createAxonException",""
"axon-update-5.1.2","org.axonframework.update.configuration","EnvironmentVariableUsagePropertyProvider",11,4,"getDisabled",2,"getDisabled",""
"axon-common-5.1.2","org.axonframework.common","IdentifierValidator",11,5,"isValidIdentifier",3,"isValidIdentifier",""
"axon-common-5.1.2","org.axonframework.common.io","IOUtils",11,5,"closeQuietly",3,"closeQuietly",""
"axon-common-5.1.2","org.axonframework.common.property","MethodAccessedProperty",11,7,"getValue",5,"getValue",""
"axon-common-5.1.2","org.axonframework.common.caching","AbstractCacheAdapter",11,6,"lambda$registerCacheEntryListener$0",3,"lambda$registerCacheEntryListener$0",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultAxonApplication$LifecycleState",11,5,"<clinit>",1,"<init>",""
"axon-test-5.1.2","org.axonframework.test.fixture","RecordingEventStore",11,3,"<init>",1,"latestToken",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","EventSourcedEntityFactory",11,3,"lambda$fromEventMessage$2",2,"lambda$fromEventMessage$2",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","MultiTagResolver",11,5,"resolve",2,"resolve",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","AbstractConsistencyMarker",11,5,"lowerBound",3,"lowerBound",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","JpaPollingEventCoordinator$1",11,7,"terminate",2,"terminate",""
"axon-conversion-5.1.2","org.axonframework.conversion","PassThroughConverter",11,7,"convert",4,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","ByteArrayToJsonNodeConverter",11,5,"convert",4,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","ByteArrayToJsonNodeConverter",11,5,"convert",4,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","DefaultSchemaIncompatibilityChecker",11,3,"getIncompatibilitiesCache",1,"clear",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","MonitoringCommandHandlerInterceptor",11,5,"interceptOnHandle",2,"interceptOnHandle",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","MonitoringQueryHandlerInterceptor",11,5,"interceptOnHandle",2,"interceptOnHandle",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","MonitoringEventDispatchInterceptor",11,5,"interceptOnDispatch",3,"interceptOnDispatch",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","MonitoringEventHandlerInterceptor",11,5,"interceptOnHandle",2,"interceptOnHandle",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","MonitoringSubscriptionQueryUpdateDispatchInterceptor",11,5,"interceptOnDispatch",3,"interceptOnDispatch",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","AnnotationRoutingStrategy$RoutingKeyResolver",11,5,"identify",3,"identify",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","InterceptingEventBus",11,5,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","MethodEventHandlerDefinition",11,6,"wrapHandler",1,"lambda$wrapHandler$2",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","SequenceCachingEventHandlingComponent",11,8,"sequenceIdentifierFor",2,"sequenceIdentifierFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","AnyEvent",11,2,"andBeingOneOfTypes",1,"matches",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","InterceptingQueryBus$InterceptingResponseUpdateDispatcher",11,6,"intercept",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","AbstractMessageStream$FetchResult",11,7,"of",3,"of",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","DelegatingMessageStream",11,3,"<init>",1,"error",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection","HierarchicalParameterResolverFactoryConfigurationEnhancer",11,7,"lambda$enhance$1",2,"lambda$enhance$1",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","SimpleCorrelationDataProvider",11,8,"correlationDataFor",4,"correlationDataFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","NonTransientExceptionClassesPredicate",11,4,"isNonTransientFailure",1,"lambda$isNonTransientFailure$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","TransactionalUnitOfWorkFactory",11,6,"<init>",2,"create",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","JdbcDeadLetterQueueAutoConfiguration",11,7,"lambda$jdbcDeadLetterQueueFactory$0",1,"deadLetterSchema",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","WrongPolymorphicEntityTypeException",10,9,"<init>",1,"lambda$new$0",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","RoutingKeyUtils",10,8,"getMessageRoutingKey",3,"getMessageRoutingKey",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","SingleEntityChildMetamodel$Builder",10,4,"<init>",1,"eventTargetMatcher",""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","SimpleRepository$SimpleEntity",10,4,"<init>",2,"mapToSimpleEntity",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","AxonServerQueryBusConnector$AxonServerUpdateCallback",10,3,"<init>",1,"<init>",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","AxonServerRemoteQueryHandlingException",10,4,"<init>",1,"getServer",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","AxonServerRemoteCommandHandlingException",10,4,"<init>",1,"<init>",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","TopologyChange$Type",10,6,"<clinit>",1,"valueOf",""
"axon-update-5.1.2","org.axonframework.update.api","DetectedVulnerabilitySeverity",10,6,"<clinit>",1,"$values",""
"axon-common-5.1.2","org.axonframework.common.util","ClasspathResolver",10,7,"<clinit>",2,"<clinit>",""
"axon-common-5.1.2","org.axonframework.common.caching","Cache",10,8,"computeIfAbsent",4,"computeIfAbsent",""
"axon-common-5.1.2","org.axonframework.common.lifecycle","ShutdownLatch$ActivityHandle",10,6,"end",4,"end",""
"axon-test-5.1.2","org.axonframework.test.util","RecordingMessageMonitor",10,3,"<init>",1,"onReportFailure",""
"axon-test-5.1.2","org.axonframework.test.util","RecordingMessageMonitor$1",10,3,"reportSuccess",1,"reportSuccess",""
"axon-test-5.1.2","org.axonframework.test.matchers","IgnoreField",10,6,"<init>",3,"<init>",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","EventSourcingRepository$EventSourcedEntity",10,4,"<init>",2,"mapToEventSourcedEntity",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","EvolutionResult",10,5,"<init>",3,"<init>",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","SourcingStrategy$Absolute",10,3,"<init>",5,"merge",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","InterceptingEventStore$InterceptingAppender",10,5,"interceptAndAppend",1,"lambda$new$0",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","JsonNodeToObjectNodeConverter",10,6,"convert",4,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","JsonNodeToObjectNodeConverter",10,6,"convert",4,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","CommandMessageHandlerInterceptorChain$InterceptingHandler",10,2,"handle",1,"interceptor",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","DefaultCommandBusSpanFactory$Builder",10,3,"spanFactory",1,"distributedInSameTrace",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","ReplayStatus",10,3,"<clinit>",1,"values",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember",10,4,"handle",3,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","EventMessageHandlerInterceptorChain$InterceptingHandler",10,2,"handle",1,"proceed",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","InterceptingEventHandlingComponent",10,4,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","LatestTrackingToken",10,2,"<init>",1,"upperBound",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","FirstTrackingToken",10,2,"<init>",1,"hashCode",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","DefaultEventBusSpanFactory",10,4,"<init>",1,"lambda$createCommitEventsSpan$1",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","DefaultStreamingCondition",10,4,"<init>",1,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","DefaultQueryBusSpanFactory$Builder",10,3,"spanFactory",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","DefaultQueryUpdateEmitterSpanFactory",10,4,"<init>",1,"createUpdateEmitSpan",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","Context$ResourceKey",10,7,"<init>",3,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","HandlerTypeResolver",10,5,"isHandlerOfType",3,"isHandlerOfType",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","MessageOriginProvider",10,4,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","FallbackSequencingPolicy",10,5,"sequenceIdentifierFor",4,"sequenceIdentifierFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","FilteringRetryPolicy",10,4,"<init>",2,"defineFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","MaxAttemptsPolicy",10,4,"<init>",2,"defineFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","JdbcTransactionalExecutorProvider",10,6,"getTransactionalExecutor",4,"getTransactionalExecutor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","JpaTransactionalExecutorProvider",10,6,"getTransactionalExecutor",4,"getTransactionalExecutor",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","RoutingKeyEventTargetMatcherDefinition",9,8,"createChildEntityMatcher",4,"createChildEntityMatcher",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","SingleEntityChildModelDefinition",9,6,"doCreate",2,"isMemberTypeSupported",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","RoutingKeyCommandTargetResolverDefinition",9,8,"createCommandTargetResolver",4,"createCommandTargetResolver",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","UpstreamAwareStreamObserver",9,5,"completeRequestStream",3,"completeRequestStream",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConfiguration$Eventhandling$ProcessorSettings",9,3,"<init>",1,"<init>",""
"axon-update-5.1.2","org.axonframework.update.detection","KotlinVersion",9,4,"detect",3,"get",""
"axon-update-5.1.2","org.axonframework.update.api","DetectedVulnerability",9,1,"groupId",1,"groupId",""
"axon-common-5.1.2","org.axonframework.common","StringUtils",9,3,"capitalize",3,"capitalize",""
"axon-common-5.1.2","org.axonframework.common.annotation","PriorityAnnotationComparator",9,3,"getPriority",1,"lambda$getPriority$0",""
"axon-common-5.1.2","org.axonframework.common.infra","FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext",9,3,"indented",3,"indented",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestPhase$Given",9,2,"lambda$execute$0",1,"execute",""
"axon-test-5.1.2","org.axonframework.test.matchers","MatchAllFieldFilter",9,5,"accept",3,"accept",""
"axon-test-5.1.2","org.axonframework.test.matchers","ExactClassMatcher",9,4,"<init>",1,"describeTo",""
"axon-test-5.1.2","org.axonframework.test.matchers","PayloadMatcher",9,4,"describeTo",3,"matches",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","MetadataContextGetter",9,3,"get",2,"get",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","EmptyAppendTransaction",9,1,"<clinit>",1,"<clinit>",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream",9,4,"lastEntry",3,"isCompleted",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MessageCountingMonitor$1",9,3,"reportSuccess",1,"reportSuccess",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot","MetricsProperties",9,3,"<init>",1,"<init>",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","JsonNodeToByteArrayConverter",9,3,"<init>",3,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","BlobToInputStreamConverter",9,5,"convert",4,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","JsonNodeToByteArrayConverter",9,3,"convert",3,"convert",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","SchemaIncompatibilityChecker",9,8,"assertSchemaCompatibility",3,"assertSchemaCompatibility",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","NoOpMessageMonitorCallback",9,2,"<clinit>",1,"valueOf",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","NoHandlerForCommandException",9,4,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","InterceptingCommandBus$InterceptingDispatcher",9,5,"interceptAndDispatch",2,"lambda$interceptAndDispatch$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","CommandGateway",9,1,"send",1,"send",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","ContextAwareCommandDispatcher",9,4,"<init>",1,"describeTo",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","InterceptingEventSink",9,5,"<init>",1,"describeTo",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","ReplayContextParameterResolverFactory$ReplayContextParameterResolver",9,5,"resolveParameterValue",2,"resolveParameterValue",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","EventAppender",9,2,"append",1,"append",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage$BatchProcessingEntry",9,3,"<init>",1,"lambda$addToBatch$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","SegmentMatcher",9,4,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","OrEventCriteriaBuilder",9,3,"<init>",1,"wrap",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","EventTypeRestrictableEventCriteria",9,4,"andBeingOneOfTypes",1,"andBeingOfAnyType",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","QueryMessageHandlerInterceptorChain$InterceptingHandler",9,1,"interceptor",1,"interceptor",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","QueryGateway",9,1,"subscriptionQuery",1,"subscriptionQuery",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageTypeResolver",9,3,"resolve",2,"resolve",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultMessageDispatchInterceptorChain$InterceptingDispatcher",9,4,"<init>",2,"apply",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","Message",9,1,"payloadAs",2,"payloadAs",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","NamespaceMessageTypeResolver",9,4,"<init>",1,"resolve",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","HierarchicalMessageTypeResolver",9,6,"<init>",1,"resolve",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","PayloadParameterResolver",9,4,"matches",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","HierarchicalParameterResolverFactory",9,4,"<init>",2,"createInstance",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","MessageHandlerInterceptorDefinition",9,8,"wrapHandler",3,"wrapHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","ExtractionSequencingPolicy",9,5,"sequenceIdentifierFor",2,"sequenceIdentifierFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","DelegatingMessageConverter",9,3,"<init>",1,"delegate",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","ExponentialBackOffRetryPolicy",9,4,"defineFor",2,"defineFor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","NoTransactionManager",9,3,"<clinit>",1,"instance",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","EntityManagerTransactionManager$2",9,5,"commit",3,"commit",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","NoOpSpanFactory",9,1,"createRootTrace",1,"createRootTrace",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","DeadLetterQueueProcessorProperties$Dlq",9,3,"<init>",1,"setEnabled",""
