"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-conversion-5.1.2","org.axonframework.conversion","ChainingContentTypeConverter",65,16,"convert",7,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","DefaultMessageMonitorRegistry",65,11,"resolveMonitor",6,"resolveMonitor",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessor",65,11,"process",6,"process",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","Metadata",64,7,"mergedWith",4,"from",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","FieldChildEntityFieldDefinition",62,13,"evolveParentBasedOnChildInput",8,"evolveParentBasedOnChildInput",""
"axon-common-5.1.2","org.axonframework.common.infra","FilesystemStyleComponentDescriptor$TreeRenderer",62,11,"renderMap",7,"renderProperty",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","AxonServerQueryBusConnector",61,11,"<init>",3,"disconnect",""
"axon-update-5.1.2","org.axonframework.update","UpdateChecker",61,18,"run",6,"start",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","DefaultHandlerInterceptorRegistry",61,7,"resolveInterceptors",3,"resolveInterceptors",""
"axon-test-5.1.2","org.axonframework.test.matchers","DeepEqualsMatcher",60,21,"matchingFields",8,"matchingFields",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","AvroUtil",60,15,"fingerprint",8,"fingerprint",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","PolymorphicEntityMetamodel",59,17,"<init>",6,"handleCreate",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","AxonServerSnapshotStore",59,25,"store",10,"store",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","DefaultQueryGateway",59,8,"query",3,"asQueryMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","Span",58,9,"runSupplierAsync",4,"run",""
