"sourceLabels","targetLabels","numberOfNodes","percentageOfTotalNodes","Source Cypher File: Overview/Dependency_node_labels.cypher"
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,ExternalType,PrimitiveType",3,0,""
"Type,File,Java,Class,ByteCode,Record,Interface,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",3,0,""
"File,Artifact,Jar,Archive,Zip,Java","File,Artifact,Jar,Archive,Zip,Java",2,0,""
"Type,File,Java,ByteCode,Interface,Class,Record,GenericDeclaration","Type,File,Java,ByteCode,ExternalType",2,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",2,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface","Type,File,Java,ByteCode,Void",2,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Throwable,Enum,Interface","Type,File,Java,ByteCode,JavaType",2,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Throwable,Record,Enum,Interface","Type,File,Java,ByteCode,Throwable,JavaType",2,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration,Interface,Throwable","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",2,0,""
"Type,File,Java,Class,ByteCode,Record,Interface,GenericDeclaration","Type,File,Java,ByteCode,PrimitiveType",2,0,""
"Type,File,Java,Class,ByteCode,Record,Interface,GenericDeclaration,Annotation,Throwable","Type,File,Java,ByteCode,ResolvedDuplicateType",2,0,""
"File,Artifact,Jar,Archive,Zip,Java","File,Artifact,Jar,Archive,Zip,Java",1,0,""
"Package,File,Directory,Java","Package,File,Directory,Java",1,0,""
"Type,File,Java,ByteCode,Annotation","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,ByteCode,Annotation,Class","Type,File,Java,ByteCode,Annotation,Interface",1,0,""
"Type,File,Java,ByteCode,Annotation,Class,GenericDeclaration","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,ByteCode,Annotation,Class,Interface,GenericDeclaration,Enum,Record","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Annotation,Record","Type,File,Java,ByteCode,Annotation",1,0,""
"Type,File,Java,ByteCode,Enum","Type,File,Java,Class,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Enum,Class","Type,File,Java,Class,ByteCode,Enum,Throwable,Interface",1,0,""
"Type,File,Java,ByteCode,Interface","Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Record,Enum",1,0,""
"Type,File,Java,ByteCode,Interface,Class","Type,File,Java,ByteCode,Interface,Record,Class,Enum",1,0,""
"Type,File,Java,ByteCode,Interface,Class,Enum","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,Class,GenericDeclaration","Type,File,Java,ByteCode,Interface,GenericDeclaration,Class",1,0,""
"Type,File,Java,ByteCode,Interface,Class,GenericDeclaration,Annotation,Enum,Record","Type,File,Java,ByteCode,Annotation",1,0,""
"Type,File,Java,ByteCode,Interface,Class,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,ByteCode,Interface,Class,Record","Type,File,Java,Class,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,Class,Record,GenericDeclaration","Type,File,Java,Class,ByteCode,GenericDeclaration,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,Class,Record,GenericDeclaration,Throwable","Type,File,Java,ByteCode,Record",1,0,""
"Type,File,Java,ByteCode,Interface,Class,Throwable,Record,GenericDeclaration,Annotation,Enum","Type,File,Java,ByteCode,ResolvedDuplicateType",1,0,""
"Type,File,Java,ByteCode,Interface,Enum","Type,File,Java,Class,ByteCode,Throwable",1,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration","Type,File,Java,Class,ByteCode,GenericDeclaration,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration,Class","Type,File,Java,ByteCode,Enum,Interface,GenericDeclaration,Class,Throwable",1,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration,Class,Enum","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration,Class,Enum,Record,Annotation","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration,Class,Throwable","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,Record","Type,File,Java,ByteCode,Record",1,0,""
"Type,File,Java,ByteCode,Interface,Record,Class","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,ByteCode,Record","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,ByteCode,Record,Class","Type,File,Java,Class,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Record,Class,GenericDeclaration","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,ByteCode,Record,Class,Interface","Type,File,Java,Class,ByteCode,Record",1,0,""
"Type,File,Java,ByteCode,Record,Interface,Class","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,Class,ByteCode,Throwable,Interface,GenericDeclaration,Record,Enum,Annotation",1,0,""
"Type,File,Java,Class,ByteCode,Annotation","Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Annotation",1,0,""
"Type,File,Java,Class,ByteCode,Enum","Type,File,Java,ByteCode,Interface,Class,Throwable",1,0,""
"Type,File,Java,Class,ByteCode,Enum,GenericDeclaration","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,Enum,GenericDeclaration,Interface","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Enum,GenericDeclaration,Record,Interface,Throwable,Annotation","Type,File,Java,ByteCode,Throwable,JavaType",1,0,""
"Type,File,Java,Class,ByteCode,Enum,Interface","Type,File,Java,ByteCode,Record,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Enum,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Enum,Interface,GenericDeclaration,Throwable,Annotation","Type,File,Java,ByteCode,PrimitiveType",1,0,""
"Type,File,Java,Class,ByteCode,Enum,Interface,GenericDeclaration,Throwable,Record","Type,File,Java,ByteCode,Void",1,0,""
"Type,File,Java,Class,ByteCode,Enum,Record","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,Interface,GenericDeclaration,Class,Throwable,Record,ExternalType,Annotation",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Annotation","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Enum","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface","Type,File,Java,Class,ByteCode,Throwable,Interface,GenericDeclaration,Record",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Annotation","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Record","Type,File,Java,ByteCode,Interface,GenericDeclaration,Class",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Throwable","Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType,GenericDeclaration,Record",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface,Class",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Record,Interface","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Record,Interface,Throwable,Annotation,Enum","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",1,0,""
"Type,File,Java,Class,ByteCode,Interface","Type,File,Java,Class,ByteCode,Interface,Record,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Annotation,GenericDeclaration,Record,Throwable","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Enum,GenericDeclaration","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Enum,GenericDeclaration,Record","Type,File,Java,ByteCode,ExternalType",1,0,""
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration","Type,File,Java,ByteCode,Interface,Class,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface,Class,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Throwable,Record","Type,File,Java,ByteCode,Record",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Record","Type,File,Java,ByteCode,Interface,Enum,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Record,Annotation,GenericDeclaration,Throwable","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Record,GenericDeclaration","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Record,GenericDeclaration,Annotation","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Record,GenericDeclaration,Throwable","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Interface,Throwable,GenericDeclaration","Type,File,Java,ByteCode,JavaType",1,0,""
"Type,File,Java,Class,ByteCode,Record","Type,File,Java,Class,ByteCode,Interface,Record,Enum,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Record,Enum","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration,Interface","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration,Interface,Throwable","Type,File,Java,ByteCode,Interface",1,0,""
"Type,File,Java,Class,ByteCode,Record,Interface","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,Throwable","Type,File,Java,Class,ByteCode,Throwable",1,0,""
"Type,File,Java,Class,ByteCode,Throwable,Enum","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,Throwable,Enum,Interface,GenericDeclaration","Type,File,Java,Class,ByteCode",1,0,""
"Type,File,Java,Class,ByteCode,Throwable,GenericDeclaration","Type,File,Java,Class,ByteCode,Throwable",1,0,""
"Type,File,Java,Class,ByteCode,Throwable,GenericDeclaration,Interface","Type,File,Java,ByteCode,Interface,GenericDeclaration",1,0,""
