"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command",186,63,50,20,"CommandConverter","convertResultMessage",5,"CommandConverter","convertResultMessage","command",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.configuration",183,82,77,11,"AnnotatedEventSourcedEntityModule","buildMetaModel",2,"EventSourcingConfigurationDefaults","lambda$enhance$0","configuration",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.child",183,95,61,13,"FieldChildEntityFieldDefinition","evolveParentBasedOnChildInput",8,"FieldChildEntityFieldDefinition","evolveParentBasedOnChildInput","child",""
"axon-conversion-5.0.1","org.axonframework.conversion",178,89,48,16,"ChainedConverter$RouteCalculator","calculateRoute",7,"ChainedConverter$RouteCalculator","calculateRoute","conversion",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util",174,83,60,17,"GrpcMessageSizeInterceptor$1","sendMessage",6,"GrpcMessageSizeInterceptor$1","sendMessage","util",""
"axon-update-5.0.1","org.axonframework.update",169,57,33,21,"UpdateCheckerHttpClient","sendRequest",6,"UpdateChecker","start","update",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.annotation",168,143,59,15,"MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember","parseParameters",58,"MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember","parseParameter","annotation",""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing",164,93,75,9,"Span","runConsumer",4,"Span","runConsumer","tracing",""
"axon-update-5.0.1","org.axonframework.update.detection",163,97,24,41,"TestEnvironmentDetector","isTestClass",41,"TestEnvironmentDetector","isTestClass","detection",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventstreaming",160,119,92,8,"OrEventCriteria","<init>",4,"TagFilteredEventCriteria","or","eventstreaming",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.inmemory",155,75,42,14,"InMemoryEventStorageEngine$MapBackedMessageStream","next",5,"InMemoryEventStorageEngine$MapBackedMessageStream","next","inmemory",""
"axon-modelling-5.0.1","org.axonframework.modelling",155,78,54,9,"SimpleStateManager","loadManagedEntity",5,"EntityIdResolutionException","createMessage","modelling",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.configuration",144,52,50,16,"EventProcessorConfiguration","<init>",2,"EventBusConfigurationDefaults","lambda$registerDecorators$0","configuration",""
"axon-update-5.0.1","org.axonframework.update.api",143,93,61,21,"UpdateCheckResponse","fromRequest",17,"UpdateCheckResponse","fromRequest","api",""
"axon-modelling-5.0.1","org.axonframework.modelling.repository",142,58,50,17,"AccessSerializingRepository","awaitTurn",3,"AccessSerializingRepository","awaitTurn","repository",""
"axon-tracing-opentelemetry-5.0.1","org.axonframework.extension.tracing.opentelemetry",140,56,41,12,"OpenTelemetrySpan","end",4,"OpenTelemetrySpan","end","opentelemetry",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.distributed",136,72,65,9,"DistributedQueryBus","<init>",2,"DistributedQueryBus$DistributedHandler","query","distributed",""
"axon-common-5.0.1","org.axonframework.common.jdbc",133,81,33,16,"ConnectionWrapperFactory","lambda$wrap$0",12,"ConnectionWrapperFactory","lambda$wrap$0","jdbc",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation",133,70,48,11,"AnnotationRoutingStrategy","createLegacyResolver",7,"MethodCommandHandlerDefinition$MethodCommandHandlingMember","<init>","annotation",""
"axon-common-5.0.1","org.axonframework.common.lock",120,70,47,17,"PessimisticLockFactory$DisposableLock","lock",10,"PessimisticLockFactory$DisposableLock","lock","lock",""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation",120,45,26,21,"AnnotationBasedEntityEvolvingComponent","evolve",5,"InjectEntityParameterResolverFactory","getEntityIdResolver","annotation",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.distributed",119,54,47,9,"DistributedCommandBus$DistributedHandler","handle",3,"PayloadConvertingCommandBusConnector$ConvertingResultMessageCallback","onSuccess","distributed",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.gateway",118,69,49,8,"DefaultCommandGateway","asCommandMessage",6,"CommandResult","rethrowUnwrappedExecutionException","gateway",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing",112,51,40,10,"EventSourcingRepository","<init>",4,"EventSourcingRepository","createEntityIfNullFromLoad","eventsourcing",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.retry",110,45,37,10,"AsyncRetryScheduler$RetryTask","lambda$run$1",3,"AsyncRetryScheduler$RetryTask","lambda$run$1","retry",""
"axon-test-5.0.1","org.axonframework.test.util",110,65,57,13,"DescriptionUtils","describe",5,"DescriptionUtils","describe","util",""
"axon-modelling-5.0.1","org.axonframework.modelling.configuration",108,53,49,6,"SimpleStateBasedEntityModule","registerCommandHandlingComponentIfModelIsPresent",3,"SimpleStateBasedEntityModule","validate","configuration",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation",97,37,18,30,"AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod","<init>",11,"AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod","<init>","annotation",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.interception",97,44,37,13,"InterceptingQueryBus","<init>",3,"InterceptingQueryBus","dispatchQuery","interception",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation",96,55,34,9,"MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember","<init>",4,"MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember","<init>","annotation",""
"axon-update-5.0.1","org.axonframework.update.configuration",93,43,28,17,"PropertyFileUsagePropertyProvider","load",7,"PropertyFileUsagePropertyProvider","load","configuration",""
"axon-conversion-5.0.1","org.axonframework.conversion.json",86,56,27,29,"JacksonConverter","convert",17,"JacksonConverter","convert","json",""
"axon-common-5.0.1","org.axonframework.common.property",79,46,28,7,"MethodAccessedProperty","getValue",5,"MethodAccessedProperty","getValue","property",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.annotation",78,38,23,11,"MethodQueryHandlerDefinition$MethodQueryHandlingMember","<init>",4,"MethodQueryHandlerDefinition$MethodQueryHandlingMember","canHandle","annotation",""
"axon-common-5.0.1","org.axonframework.common.annotation",77,47,23,12,"AnnotationUtils","findAnnotationAttributes",8,"AnnotationUtils","collectAttributes","annotation",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.tracing",74,38,28,11,"TracingEventHandlingComponent","handle",5,"DefaultEventProcessorSpanFactory","createProcessEventSpan","tracing",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.gateway",71,37,32,8,"DefaultQueryGateway","query",3,"DefaultQueryGateway","asQueryMessage","gateway",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",66,43,30,8,"InMemoryTokenStore","lambda$initializeTokenSegments$0",4,"InMemoryTokenStore","fetchToken","inmemory",""
"axon-common-5.0.1","org.axonframework.common.util",61,36,21,8,"MavenArtifactVersionResolver","get",7,"PriorityCallable","equals","util",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.tracing",59,40,36,5,"DefaultQueryBusSpanFactory","<init>",2,"DefaultQueryBusSpanFactory","createStreamingQuerySpan","tracing",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.interception",56,28,23,8,"InterceptingCommandBus","<init>",3,"InterceptingCommandBus","dispatchCommand","interception",""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring.interception",55,32,25,5,"MonitoringEventDispatchInterceptor","interceptOnDispatch",3,"MonitoringEventDispatchInterceptor","interceptOnDispatch","interception",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.tracing",51,27,24,5,"DefaultCommandBusSpanFactory","<init>",3,"DefaultCommandBusSpanFactory","createHandleCommandSpan","tracing",""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring.configuration",51,23,19,7,"DefaultMessageMonitorRegistry","resolveMonitor",5,"DefaultMessageMonitorRegistry","resolveMonitor","configuration",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.sequencing",50,24,21,5,"ExtractionSequencingPolicy","getSequenceIdentifierFor",4,"FallbackSequencingPolicy","getSequenceIdentifierFor","sequencing",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay.annotation",49,29,19,6,"ReplayAwareMessageHandlerWrapper","wrapHandler",4,"ReplayParameterResolverFactory$ReplayParameterResolver","resolveParameterValue","annotation",""
"axon-common-5.0.1","org.axonframework.common.lifecycle",48,30,17,7,"ShutdownLatch","initiateShutdown",4,"ShutdownLatch$ActivityHandle","end","lifecycle",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.gateway",47,19,17,8,"ProcessingContextEventAppender","append",3,"EventPublishingUtils","asEventMessage","gateway",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util",46,19,12,23,"AbstractQualifiedBeanCondition","getMatchOutcome",4,"AbstractQualifiedBeanCondition","getMatchOutcome","util",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.configuration",45,19,19,5,"SimpleCommandHandlingModule","<init>",1,"CommandHandlingModule","named","configuration",""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring",45,31,30,4,"MessageMonitor$MonitorCallback","lambda$complete$0",2,"MessageMonitor$MonitorCallback","lambda$complete$0","monitoring",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.configuration",45,19,19,5,"SimpleQueryHandlingModule","<init>",1,"SimpleQueryHandlingModule","<init>","configuration",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork.transaction",44,21,21,8,"TransactionManager","executeInTransaction",1,"TransactionManager","lambda$registerHandlers$5","transaction",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.correlation",42,17,10,8,"SimpleCorrelationDataProvider","correlationDataFor",4,"SimpleCorrelationDataProvider","correlationDataFor","correlation",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.replay",40,26,25,7,"GenericResetContext","withConvertedPayload",2,"GenericResetContext","withConvertedPayload","replay",""
"axon-conversion-5.0.1","org.axonframework.conversion.converter",38,36,26,5,"BlobToInputStreamConverter","convert",4,"BlobToInputStreamConverter","convert","converter",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing",35,15,11,7,"ProcessorEventHandlingComponents","handle",3,"ProcessorEventHandlingComponents","handle","processing",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store",29,23,17,6,"ConfigToken","equals",4,"ConfigToken","equals","store",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.interception",28,16,14,8,"EventMessageHandlerInterceptorChain","<init>",2,"EventMessageHandlerInterceptorChain","<init>","interception",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.errorhandling",26,20,15,6,"ErrorContext","<init>",6,"PropagatingErrorHandler","handleError","errorhandling",""
"axon-update-5.0.1","org.axonframework.update.common",26,11,8,10,"DelayedTask","<init>",3,"DelayedTask","<init>","common",""
"axon-test-5.0.1","org.axonframework.test",25,13,10,5,"AxonAssertionError","cleanStackTrace",3,"AxonAssertionError","cleanStackTrace","test",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration.reflection",24,9,8,7,"ParameterResolverFactoryUtils","registerToComponentRegistry",2,"ParameterResolverFactoryUtils","registerToComponentRegistry","reflection",""
"axon-common-5.0.1","org.axonframework.common.digest",21,14,8,7,"Digester","pad",3,"Digester","newInstance","digest",""
"axon-metrics-micrometer-5.0.1","org.axonframework.extension.metrics.micrometer.reservoir",21,8,5,7,"SlidingTimeWindowReservoir","<init>",3,"SlidingTimeWindowReservoir","getTick","reservoir",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.service.connection",20,11,10,8,"AxonServerDockerComposeConnectionDetailsFactory","getDockerComposeConnectionDetails",2,"AxonServerDockerComposeConnectionDetailsFactory","getDockerComposeConnectionDetails","connection",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.retry",19,9,9,4,"RetryingCommandBus","<init>",1,"RetryingCommandBus","dispatch","retry",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.actuator.axonserver",19,7,4,7,"AxonServerHealthIndicator","doHealthCheck",3,"AxonServerHealthIndicator","doHealthCheck","axonserver",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion",16,11,10,4,"DelegatingEventConverter","<init>",2,"DelegatingEventConverter","<init>","conversion",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.reflection",15,8,7,7,"HierarchicalParameterResolverFactoryConfigurationEnhancer","lambda$enhance$1",2,"HierarchicalParameterResolverFactoryConfigurationEnhancer","lambda$enhance$1","reflection",""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing.attributes",15,13,13,3,"MetadataSpanAttributesProvider","provideForMessage",1,"MetadataSpanAttributesProvider","<init>","attributes",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion",12,9,9,3,"DelegatingMessageConverter","<init>",1,"MessageConverter","convertPayload","conversion",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation",12,8,7,4,"TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver","resolveParameterValue",2,"TrackingTokenParameterResolverFactory","createInstance","annotation",""
"axon-common-5.0.1","org.axonframework.common.io",11,7,4,5,"IOUtils","closeQuietly",3,"IOUtils","closeQuietly","io",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork.annotation",9,7,6,4,"ProcessingContextParameterResolverFactory","createInstance",2,"ProcessingContextParameterResolverFactory","createInstance","annotation",""
"axon-common-5.0.1","org.axonframework.common.jpa",6,3,3,4,"SimpleEntityManagerProvider","<init>",1,"SimpleEntityManagerProvider","getEntityManager","jpa",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming",5,6,4,2,"StreamingEventProcessor","isReplaying",3,"StreamingEventProcessor","lambda$isReplaying$0","streaming",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util.jpa",4,3,3,2,"ContainerManagedEntityManagerProvider","setEntityManager",1,"ContainerManagedEntityManagerProvider","getEntityManager","jpa",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.actuator",3,2,2,2,"HealthStatus","<init>",1,"HealthStatus","<init>","actuator",""
