"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.13.2","config",4,0,5,0,""
"react-router-7.13.2","invariant",1,0,0,0,""
"react-router-7.13.2","manifest",2,0,2,0,""
"react-router-7.13.2","routes",8,0,9,0,""
"react-router-7.13.2","vite",2,0,0,0,""
"react-router-7.13.2","commands",5,0,5,15,""
"react-router-7.13.2","detectPackageManager",1,0,1,1,""
"react-router-7.13.2","run",1,0,0,9,""
"react-router-7.13.2","useJavascript",1,0,1,6,""
"react-router-7.13.2","config",13,0,16,40,""
"react-router-7.13.2","format",4,0,1,0,""
"react-router-7.13.2","is-react-router-repo",1,0,2,5,""
"react-router-7.13.2","routes",15,0,25,28,""
"react-router-7.13.2","context",2,0,3,0,""
"react-router-7.13.2","generate",5,0,5,24,""
"react-router-7.13.2","typegen",3,0,4,10,""
"react-router-7.13.2","params",1,0,1,0,""
"react-router-7.13.2","route",2,0,2,0,""
"react-router-7.13.2","babel",2,0,8,1,""
"react-router-7.13.2","build",2,0,1,8,""
"react-router-7.13.2","cache",2,0,3,0,""
"react-router-7.13.2","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.13.2","cloudflare",1,0,0,0,""
"react-router-7.13.2","combine-urls",1,0,1,0,""
"react-router-7.13.2","dev",2,0,1,11,""
"react-router-7.13.2","has-dependency",1,0,2,1,""
"react-router-7.13.2","has-rsc-plugin",1,0,2,3,""
"react-router-7.13.2","load-dotenv",1,0,2,4,""
"react-router-7.13.2","node-adapter",2,0,2,5,""
"react-router-7.13.2","optimize-deps-entries",1,0,2,3,""
"react-router-7.13.2","plugin",17,0,9,150,""
"react-router-7.13.2","profiler",3,0,5,9,""
"react-router-7.13.2","remove-exports",1,0,2,30,""
"react-router-7.13.2","resolve-file-url",1,0,2,5,""
"react-router-7.13.2","resolve-relative-route-file-path",1,0,2,3,""
"react-router-7.13.2","route-chunks",12,0,8,310,""
"react-router-7.13.2","ssr-externals",1,0,2,0,""
"react-router-7.13.2","styles",4,0,3,22,""
"react-router-7.13.2","virtual-module",1,0,2,0,""
"react-router-7.13.2","vite-node",2,0,2,13,""
"react-router-7.13.2","vite",2,0,15,5,""
"react-router-7.13.2","with-props",1,0,1,29,""
"react-router-7.13.2","prerender",6,0,2,16,""
"react-router-7.13.2","validate-plugin-order",1,0,2,3,""
"react-router-7.13.2","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.13.2","plugin",1,0,1,54,""
"react-router-7.13.2","virtual-route-config",1,0,1,4,""
"react-router-7.13.2","virtual-route-modules",4,0,4,6,""
"react-router-7.13.2","react-router-node",7,0,2,0,""
"react-router-7.13.2","server",2,0,2,3,""
"react-router-7.13.2","stream",4,0,4,11,""
"react-router-7.13.2","fileStorage",2,0,1,9,""
"react-router-7.13.2","flatRoutes",13,0,1,15,""
"react-router-7.13.2","react-router-fs-routes",1,0,0,5,""
"react-router-7.13.2","manifest",3,0,3,0,""
"react-router-7.13.2","normalizeSlashes",1,0,2,3,""
"react-router-7.13.2","react-router-express",3,0,3,0,""
"react-router-7.13.2","server",6,0,3,18,""
"react-router-7.13.2","react-router-cloudflare",6,0,0,0,""
"react-router-7.13.2","worker",5,0,5,18,""
"react-router-7.13.2","workersKVStorage",1,0,1,5,""
