"moduleName","modulePath","fullQualifiedModuleName","numberOfModuleElements","languageElement","numberOfElements","Source Cypher File: domains/overview/queries/overview/Number_of_elements_per_module_for_Typescript.cypher"
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"Function",22,""
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"Class",3,""
"react-router","index-react-server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server.ts",40,"Interface",4,""
"react-router","index-react-server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server.ts",40,"Function",10,""
"react-router","index-react-server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server.ts",40,"TypeAlias",15,""
"react-router","index-react-server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server.ts",40,"Variable",6,""
"react-router","index-react-server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server.ts",40,"Class",1,""
"router","lib/router/router.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts",35,"TypeAlias",11,""
"router","lib/router/router.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts",35,"Variable",5,""
"router","lib/router/router.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts",35,"Interface",10,""
"router","lib/router/router.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts",35,"Function",9,""
"utils","utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/create-react-router/utils.ts",28,"Function",24,""
"utils","utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/create-react-router/utils.ts",28,"Variable",4,""
"history","lib/router/history.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts",25,"TypeAlias",6,""
"history","lib/router/history.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts",25,"Interface",9,""
"history","lib/router/history.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts",25,"Function",9,""
"history","lib/router/history.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts",25,"Enum",1,""
"utils","vendor/turbo-stream-v2/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/vendor/turbo-stream-v2/utils.ts",24,"TypeAlias",2,""
"utils","vendor/turbo-stream-v2/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/vendor/turbo-stream-v2/utils.ts",24,"Variable",18,""
"utils","vendor/turbo-stream-v2/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/vendor/turbo-stream-v2/utils.ts",24,"Function",1,""
"utils","vendor/turbo-stream-v2/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/vendor/turbo-stream-v2/utils.ts",24,"Class",1,""
"utils","vendor/turbo-stream-v2/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/vendor/turbo-stream-v2/utils.ts",24,"Interface",2,""
"server","lib/rsc/server.rsc.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/rsc/server.rsc.ts",23,"TypeAlias",15,""
"server","lib/rsc/server.rsc.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/rsc/server.rsc.ts",23,"Variable",4,""
"server","lib/rsc/server.rsc.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/rsc/server.rsc.ts",23,"Function",4,""
"routeModules","lib/dom/ssr/routeModules.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/routeModules.ts",21,"Interface",8,""
"routeModules","lib/dom/ssr/routeModules.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/routeModules.ts",21,"TypeAlias",12,""
"routeModules","lib/dom/ssr/routeModules.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/routeModules.ts",21,"Function",1,""
"context","lib/context.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/context.ts",19,"Interface",4,""
"context","lib/context.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/context.ts",19,"Variable",12,""
"context","lib/context.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/context.ts",19,"TypeAlias",2,""
"context","lib/context.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/context.ts",19,"Function",1,""
"plugin","vite/plugin.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugin.ts",17,"TypeAlias",4,""
"plugin","vite/plugin.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugin.ts",17,"Function",10,""
"plugin","vite/plugin.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugin.ts",17,"Variable",2,""
"plugin","vite/plugin.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugin.ts",17,"Interface",1,""
"routes","config/routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts",15,"Function",9,""
"routes","config/routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts",15,"TypeAlias",1,""
"routes","config/routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts",15,"Interface",3,""
"routes","config/routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts",15,"Variable",2,""
"config","config/config.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/config.ts",14,"Function",6,""
"config","config/config.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/config.ts",14,"TypeAlias",7,""
"config","config/config.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/config.ts",14,"Variable",1,""
"dom","lib/dom/dom.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/dom.ts",14,"Function",8,""
"dom","lib/dom/dom.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/dom.ts",14,"TypeAlias",3,""
"dom","lib/dom/dom.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/dom.ts",14,"Interface",2,""
"dom","lib/dom/dom.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/dom.ts",14,"Variable",1,""
"flatRoutes","flatRoutes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-fs-routes/flatRoutes.ts",13,"Function",7,""
"flatRoutes","flatRoutes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-fs-routes/flatRoutes.ts",13,"Variable",6,""
"route-chunks","vite/route-chunks.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/route-chunks.ts",13,"Function",9,""
"route-chunks","vite/route-chunks.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/route-chunks.ts",13,"TypeAlias",2,""
"route-chunks","vite/route-chunks.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/route-chunks.ts",13,"Variable",2,""
"sessions","lib/server-runtime/sessions.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/sessions.ts",11,"Function",2,""
"sessions","lib/server-runtime/sessions.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/sessions.ts",11,"TypeAlias",3,""
"sessions","lib/server-runtime/sessions.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/sessions.ts",11,"Interface",4,""
"sessions","lib/server-runtime/sessions.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/sessions.ts",11,"Variable",2,""
"instrumentation","lib/router/instrumentation.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/instrumentation.ts",9,"TypeAlias",6,""
"instrumentation","lib/router/instrumentation.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/instrumentation.ts",9,"Function",3,""
"fog-of-war","lib/dom/ssr/fog-of-war.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/fog-of-war.ts",8,"Function",7,""
"fog-of-war","lib/dom/ssr/fog-of-war.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/fog-of-war.ts",8,"Variable",1,""
"links","lib/dom/ssr/links.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/links.ts",8,"Function",7,""
"links","lib/dom/ssr/links.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/links.ts",8,"TypeAlias",1,""
"routes","routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/routes.ts",8,"Function",6,""
"routes","routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/routes.ts",8,"Interface",1,""
"routes","routes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/routes.ts",8,"TypeAlias",1,""
"single-fetch","lib/server-runtime/single-fetch.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/single-fetch.ts",8,"TypeAlias",1,""
"single-fetch","lib/server-runtime/single-fetch.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/single-fetch.ts",8,"Function",6,""
"single-fetch","lib/server-runtime/single-fetch.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/single-fetch.ts",8,"Variable",1,""
"dom-export","dom-export.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/dom-export.ts",7,"TypeAlias",6,""
"dom-export","dom-export.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/dom-export.ts",7,"Function",1,""
"react-router-node","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-node/index.ts",7,"Interface",1,""
"react-router-node","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-node/index.ts",7,"Function",5,""
"react-router-node","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-node/index.ts",7,"Variable",1,""
"route-data","lib/types/route-data.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/types/route-data.ts",7,"TypeAlias",7,""
"cookies","lib/server-runtime/cookies.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/cookies.ts",6,"Interface",2,""
"cookies","lib/server-runtime/cookies.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/cookies.ts",6,"TypeAlias",2,""
"cookies","lib/server-runtime/cookies.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/cookies.ts",6,"Variable",2,""
"prerender","vite/plugins/prerender.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugins/prerender.ts",6,"TypeAlias",2,""
"prerender","vite/plugins/prerender.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugins/prerender.ts",6,"Interface",3,""
"prerender","vite/plugins/prerender.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/plugins/prerender.ts",6,"Function",1,""
"react-router-cloudflare","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/index.ts",6,"TypeAlias",2,""
"react-router-cloudflare","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/index.ts",6,"Function",3,""
"react-router-cloudflare","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/index.ts",6,"Interface",1,""
"server","server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-express/server.ts",6,"TypeAlias",2,""
"server","server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-express/server.ts",6,"Function",4,""
"server","server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-architect/server.ts",6,"TypeAlias",2,""
"server","server.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-architect/server.ts",6,"Function",4,""
"utils","lib/types/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/types/utils.ts",6,"TypeAlias",6,""
"build","lib/server-runtime/build.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/build.ts",5,"Interface",5,""
"commands","cli/commands.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/cli/commands.ts",5,"Function",5,""
"entry","lib/dom/ssr/entry.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/entry.ts",5,"TypeAlias",1,""
"entry","lib/dom/ssr/entry.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/entry.ts",5,"Interface",4,""
"errors","lib/server-runtime/errors.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/errors.ts",5,"Function",4,""
"errors","lib/server-runtime/errors.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/errors.ts",5,"TypeAlias",1,""
"generate","typegen/generate.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/typegen/generate.ts",5,"TypeAlias",1,""
"generate","typegen/generate.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/typegen/generate.ts",5,"Function",4,""
"react-router","index-react-server-client.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index-react-server-client.ts",5,"Variable",1,""
"worker","worker.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/worker.ts",5,"Function",2,""
"worker","worker.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/worker.ts",5,"Interface",1,""
"worker","worker.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-cloudflare/worker.ts",5,"TypeAlias",2,""
"config","config.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config.ts",4,"TypeAlias",4,""
"errors","lib/errors.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/errors.ts",4,"Function",4,""
"format","config/format.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/format.ts",4,"Function",3,""
"format","config/format.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/format.ts",4,"TypeAlias",1,""
"react-router-architect","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-architect/index.ts",4,"TypeAlias",2,""
"react-router-architect","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-architect/index.ts",4,"Function",2,""
"register","lib/types/register.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/types/register.ts",4,"TypeAlias",3,""
"register","lib/types/register.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/types/register.ts",4,"Interface",1,""
"stream","stream.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-node/stream.ts",4,"Function",3,""
"stream","stream.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-node/stream.ts",4,"Variable",1,""
"styles","vite/styles.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/styles.ts",4,"Variable",4,""
"virtual-route-modules","vite/rsc/virtual-route-modules.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/rsc/virtual-route-modules.ts",4,"Function",3,""
"virtual-route-modules","vite/rsc/virtual-route-modules.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/rsc/virtual-route-modules.ts",4,"Variable",1,""
"vite","vite/vite.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/vite.ts",4,"Function",4,""
"defineRoutes","defineRoutes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-remix-routes-option-adapter/defineRoutes.ts",3,"TypeAlias",1,""
"defineRoutes","defineRoutes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-remix-routes-option-adapter/defineRoutes.ts",3,"Variable",1,""
"defineRoutes","defineRoutes.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-remix-routes-option-adapter/defineRoutes.ts",3,"Interface",1,""
"dev","lib/server-runtime/dev.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/dev.ts",3,"Function",3,""
"links","lib/router/links.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/links.ts",3,"TypeAlias",2,""
"links","lib/router/links.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/links.ts",3,"Interface",1,""
"manifest","manifest.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-fs-routes/manifest.ts",3,"Function",1,""
"manifest","manifest.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-fs-routes/manifest.ts",3,"Interface",2,""
"manifest","manifest.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-remix-routes-option-adapter/manifest.ts",3,"Interface",2,""
