"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.18.1","cache",2,0,4,0,""
"react-router-7.18.1","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.18.1","cloudflare",1,0,0,0,""
"react-router-7.18.1","combine-urls",1,0,1,0,""
"react-router-7.18.1","dev",2,0,1,11,""
"react-router-7.18.1","has-dependency",1,0,2,1,""
"react-router-7.18.1","has-rsc-plugin",1,0,2,3,""
"react-router-7.18.1","load-dotenv",1,0,2,4,""
"react-router-7.18.1","node-adapter",2,0,2,5,""
"react-router-7.18.1","optimize-deps-entries",1,0,2,3,""
"react-router-7.18.1","plugin",17,0,10,151,""
"react-router-7.18.1","profiler",3,0,5,9,""
"react-router-7.18.1","remove-exports",1,0,2,30,""
"react-router-7.18.1","resolve-file-url",1,0,2,5,""
"react-router-7.18.1","resolve-relative-route-file-path",1,0,3,3,""
"react-router-7.18.1","route-chunks",13,0,10,310,""
"react-router-7.18.1","ssr-externals",1,0,2,0,""
"react-router-7.18.1","styles",4,0,3,22,""
"react-router-7.18.1","virtual-module",1,0,2,0,""
"react-router-7.18.1","vite-node",2,0,2,13,""
"react-router-7.18.1","vite",4,0,21,7,""
"react-router-7.18.1","with-props",1,0,1,29,""
"react-router-7.18.1","prerender",6,0,3,17,""
"react-router-7.18.1","validate-plugin-order",1,0,2,3,""
"react-router-7.18.1","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.18.1","plugin",1,0,1,42,""
"react-router-7.18.1","virtual-route-config",1,0,1,4,""
"react-router-7.18.1","virtual-route-modules",4,0,2,4,""
"react-router-7.18.1","binaryTypes",1,0,1,0,""
"react-router-7.18.1","react-router-architect",4,0,3,0,""
"react-router-7.18.1","server",6,0,3,23,""
"react-router-7.18.1","arcTableSessionStorage",1,0,1,6,""
"react-router-7.18.1","flatRoutes",13,0,1,15,""
"react-router-7.18.1","react-router-fs-routes",1,0,0,5,""
"react-router-7.18.1","manifest",3,0,3,0,""
"react-router-7.18.1","normalizeSlashes",1,0,2,3,""
"react-router-7.18.1","dom-export",7,0,19,0,""
"react-router-7.18.1","react-router",5,0,9,4,""
"react-router-7.18.1","react-router",40,0,109,4,""
"react-router-7.18.1","react-router",170,0,376,13,""
"react-router-7.18.1","actions",1,0,3,0,""
"react-router-7.18.1","context",19,0,11,10,""
"react-router-7.18.1","errors",4,0,2,0,""
"react-router-7.18.1","href",1,0,2,0,""
"react-router-7.18.1","dom",14,0,6,0,""
"react-router-7.18.1","global",2,0,0,0,""
"react-router-7.18.1","data",1,0,0,0,""
"react-router-7.18.1","entry",5,0,13,0,""
"react-router-7.18.1","fog-of-war",8,0,6,5,""
"react-router-7.18.1","invariant",1,0,0,0,""
"react-router-7.18.1","links",8,0,0,9,""
"react-router-7.18.1","markup",1,0,1,0,""
"react-router-7.18.1","routeModules",21,0,27,6,""
"react-router-7.18.1","history",25,0,40,0,""
"react-router-7.18.1","instrumentation",9,0,14,0,""
"react-router-7.18.1","links",3,0,6,0,""
"react-router-7.18.1","router",35,0,53,1,""
"react-router-7.18.1","url",3,0,6,0,""
"react-router-7.18.1","utils",91,0,182,3,""
"react-router-7.18.1","route-modules",2,0,0,0,""
"react-router-7.18.1","server",23,0,40,17,""
"react-router-7.18.1","browser",1,0,1,0,""
"react-router-7.18.1","server",1,0,0,0,""
"react-router-7.18.1","build",5,0,11,0,""
"react-router-7.18.1","cookies",6,0,19,6,""
"react-router-7.18.1","crypto",2,0,2,0,""
"react-router-7.18.1","data",2,0,7,0,""
"react-router-7.18.1","dev",3,0,4,3,""
"react-router-7.18.1","entry",1,0,1,0,""
"react-router-7.18.1","errors",5,0,4,0,""
"react-router-7.18.1","headers",2,0,3,1,""
"react-router-7.18.1","invariant",1,0,0,0,""
"react-router-7.18.1","mode",2,0,5,0,""
"react-router-7.18.1","routeMatching",2,0,2,0,""
"react-router-7.18.1","routes",3,0,4,9,""
"react-router-7.18.1","server",3,0,4,0,""
"react-router-7.18.1","serverHandoff",2,0,2,0,""
"react-router-7.18.1","sessions",11,0,3,11,""
"react-router-7.18.1","single-fetch",8,0,5,4,""
"react-router-7.18.1","urls",1,0,3,0,""
"react-router-7.18.1","warnings",1,0,2,0,""
"react-router-7.18.1","cookieStorage",1,0,2,2,""
"react-router-7.18.1","memoryStorage",1,0,2,1,""
"react-router-7.18.1","future",2,0,3,0,""
"react-router-7.18.1","internal",2,0,0,0,""
"react-router-7.18.1","params",1,0,0,0,""
"react-router-7.18.1","register",4,0,1,0,""
"react-router-7.18.1","route-data",7,0,6,0,""
"react-router-7.18.1","route-module-annotations",1,0,1,0,""
"react-router-7.18.1","route-module",1,0,3,0,""
"react-router-7.18.1","serializes-to",1,0,1,0,""
"react-router-7.18.1","utils",6,0,1,0,""
"react-router-7.18.1","flatten",1,0,1,0,""
"react-router-7.18.1","turbo-stream",2,0,1,0,""
"react-router-7.18.1","unflatten",1,0,1,0,""
"react-router-7.18.1","utils",24,0,46,0,""
"react-router-7.18.1","react-router-cloudflare",6,0,5,0,""
"react-router-7.18.1","worker",5,0,5,18,""
"react-router-7.18.1","workersKVStorage",1,0,1,5,""
"react-router-7.18.1","defineRoutes",3,0,2,0,""
"react-router-7.18.1","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.18.1","manifest",3,0,4,0,""
"react-router-7.18.1","normalizeSlashes",1,0,1,3,""
