"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-messaging-5.1.0",57,634,8,57,100,"com.fasterxml",3,6,5.263157894736842,0.946372239747634,"org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.core","org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken,org.axonframework.messaging.core.RemoteExceptionDescription",""
"axon-messaging-5.1.0",57,634,8,57,100,"org.reactivestreams",3,6,5.263157894736842,0.946372239747634,"org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.core","org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.FluxMessageStream$1,org.axonframework.messaging.core.FluxUtils",""
"axon-messaging-5.1.0",57,634,8,57,100,"jakarta.persistence",2,7,3.508771929824561,1.1041009463722398,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.core.unitofwork.transaction.jpa","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider$1,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager$2",""
"axon-messaging-5.1.0",57,634,8,57,100,"jakarta.validation",1,2,1.7543859649122806,0.31545741324921134,"org.axonframework.messaging.core.interception","org.axonframework.messaging.core.interception.BeanValidationInterceptor,org.axonframework.messaging.core.interception.JSR303ViolationException",""
"axon-messaging-5.1.0",57,634,8,57,100,"reactor.util",1,2,1.7543859649122806,0.31545741324921134,"org.axonframework.messaging.queryhandling.gateway","org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway",""
"axon-metrics-micrometer-5.1.0",3,19,4,3,100,"io.micrometer",3,13,100,68.42105263157896,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.springboot,org.axonframework.extension.metrics.micrometer.reservoir","org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.CapacityMonitor",""
"axon-metrics-micrometer-5.1.0",3,19,4,3,100,"org.jspecify",3,3,100,15.789473684210527,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.springboot,org.axonframework.extension.metrics.micrometer.reservoir","org.axonframework.extension.metrics.micrometer.package-info,org.axonframework.extension.metrics.micrometer.springboot.package-info,org.axonframework.extension.metrics.micrometer.reservoir.package-info",""
"axon-metrics-micrometer-5.1.0",3,19,4,3,100,"org.axonframework",1,1,33.333333333333336,5.2631578947368425,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.0",3,19,4,3,100,"org.springframework",1,2,33.333333333333336,10.526315789473685,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-modelling-5.1.0",7,99,2,7,100,"org.jspecify",7,7,100,7.070707070707071,"org.axonframework.modelling,org.axonframework.modelling.annotation,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.entity.child,org.axonframework.modelling.configuration,org.axonframework.modelling.repository","org.axonframework.modelling.package-info,org.axonframework.modelling.annotation.package-info,org.axonframework.modelling.entity.package-info,org.axonframework.modelling.entity.annotation.package-info,org.axonframework.modelling.entity.child.package-info,org.axonframework.modelling.configuration.package-info,org.axonframework.modelling.repository.package-info",""
