"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact.cypher"
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc.event.dcb",36,132,79,"Snapshot$Builder,AddSnapshotRequest,Snapshot,AddSnapshotRequest$Builder,GetLastSnapshotRequest$Builder,GetLastSnapshotResponse,GetLastSnapshotRequest,AddSnapshotResponse,SequencedEvent,StreamEventsResponse,SourceEventsResponse,AppendEventsResponse,Tag$Builder,StreamEventsRequest,ConsistencyCondition$Builder,Criterion$Builder,TagsAndNamesCriterion$Builder,ConsistencyCondition,Criterion,Tag,SourceEventsRequest$Builder,StreamEventsRequest$Builder,SourceEventsRequest,TagsAndNamesCriterion,Event$Builder,TaggedEvent,Event,TaggedEvent$Builder,GetHeadResponse,GetSequenceAtResponse,GetTailResponse",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc",34,220,79,"ErrorMessage,ProcessingInstruction$Builder,SerializedObject$Builder,ProcessingKey,SerializedObject,MetaDataValue$Builder,MetaDataValue,ErrorMessage$Builder,MetaDataValue$DataCase,ProcessingInstruction",""
"axon-server-connector-5.1.0","io.grpc",26,60,79,"Status$Code,Status,StatusRuntimeException,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,ManagedChannelBuilder,ClientInterceptor,ClientCall,CallOptions,MethodDescriptor,Channel,Metadata$Key,Metadata$AsciiMarshaller,Metadata,ForwardingClientCall$SimpleForwardingClientCall",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector",23,128,79,"FlowControl,ReplyChannel,Registration,AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,AxonServerConnection,ResultStream",""
"axon-server-connector-5.1.0","org.slf4j",19,70,79,"Logger,LoggerFactory",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc.query",14,98,79,"SubscriptionQuery,QueryResponse,QueryRequest,QueryResponse$Builder,QueryUpdate,QueryRequest$Builder,QueryUpdate$Builder",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc.control",13,86,79,"NodeInfo,NodeInfo$Builder,UpdateType,TopologyChange,QuerySubscription,CommandSubscription,EventProcessorInfo,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder",""
"axon-server-connector-5.1.0","org.jspecify.annotations",10,10,79,"NullMarked",""
"axon-server-connector-5.1.0","com.google.protobuf",9,39,79,"MessageLite,ByteString",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.event",9,40,79,"AppendEventsTransaction,EventStream,SnapshotChannel,DcbEventChannel$AppendEventsTransaction,EventChannel,AggregateEventStream,DcbEventChannel",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc.command",8,64,79,"Command,CommandResponse,Command$Builder,CommandResponse$Builder",""
"axon-server-connector-5.1.0","io.axoniq.framework.messaging.queryhandling.distributed",7,24,79,"QueryBusConnector$UpdateCallback,QueryBusConnector$Handler,PayloadConvertingQueryBusConnector,QueryBusConnector",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.query",6,19,79,"QueryHandler$UpdateHandler,QueryHandler,SubscriptionQueryResult,QueryDefinition,QueryChannel",""
"axon-server-connector-5.1.0","io.axoniq.framework.messaging.commandhandling.distributed",6,22,79,"PayloadConvertingCommandBusConnector,CommandBusConnector,CommandBusConnector$ResultCallback,CommandBusConnector$Handler",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.grpc.event",5,31,79,"ConfirmationWithConsistencyMarker,Event,EventWithToken,Event$Builder",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.control",4,5,79,"ControlChannel,ProcessorInstructionHandler",""
"axon-server-connector-5.1.0","io.grpc.stub",2,5,79,"ClientCallStreamObserver,ClientResponseObserver",""
"axon-server-connector-5.1.0","reactor.core.scheduler",2,2,79,"Schedulers,Scheduler",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.admin",1,3,79,"AdminChannel",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.command",1,3,79,"CommandChannel",""
"axon-server-connector-5.1.0","io.axoniq.axonserver.connector.impl",1,3,79,"ServerAddress",""
"axon-server-connector-5.1.0","io.grpc.netty.shaded.io.grpc.netty",1,1,79,"GrpcSslContexts",""
"axon-server-connector-5.1.0","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,79,"SslContextBuilder",""
"axon-server-connector-5.1.0","org.springframework.boot.context.properties",1,1,79,"ConfigurationProperties",""
"axon-test-5.1.0","org.hamcrest",44,196,79,"Matcher,CoreMatchers,StringDescription,Description,BaseMatcher,TypeSafeMatcher",""
"axon-test-5.1.0","org.junit.jupiter.api.extension",8,28,79,"AfterEachCallback,ExtensionContext$Store,ParameterResolutionException,ExtensionContext$Namespace,ParameterResolver,BeforeEachCallback,ParameterContext,ExtensionContext",""
"axon-test-5.1.0","org.jspecify.annotations",5,5,79,"NullMarked",""
"axon-test-5.1.0","org.slf4j",2,3,79,"LoggerFactory,Logger",""
"axon-test-5.1.0","org.awaitility",1,1,79,"Awaitility",""
"axon-test-5.1.0","org.awaitility.core",1,2,79,"ConditionFactory",""
"axon-tracing-opentelemetry-5.1.0","io.opentelemetry.api.trace",9,47,6,"Span,StatusCode,SpanContext,SpanBuilder,SpanKind,Tracer",""
"axon-tracing-opentelemetry-5.1.0","io.opentelemetry.context.propagation",9,16,6,"TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators",""
"axon-tracing-opentelemetry-5.1.0","io.opentelemetry.context",2,7,6,"Scope,Context",""
"axon-tracing-opentelemetry-5.1.0","org.slf4j",2,7,6,"LoggerFactory,Logger",""
"axon-tracing-opentelemetry-5.1.0","io.opentelemetry.api",1,2,6,"GlobalOpenTelemetry",""
"axon-tracing-opentelemetry-5.1.0","org.jspecify.annotations",1,1,6,"NullMarked",""
"axon-update-5.1.0","org.slf4j",14,45,28,"Logger,LoggerFactory",""
"axon-update-5.1.0","org.jspecify.annotations",5,5,28,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.autoconfigure.condition",15,23,26,"ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnProperty",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.actuate.health",7,24,26,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.autoconfigure",7,7,26,"AutoConfiguration,AutoConfigureBefore",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.context.properties",6,6,26,"ConfigurationProperties,EnableConfigurationProperties",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.context.annotation",6,12,26,"Bean",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.jspecify.annotations",5,5,26,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.eventhandling.deadletter",4,15,26,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.testcontainers.service.connection",4,9,26,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",3,12,26,"JdbcSequencedDeadLetterQueue,DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.autoconfigure.service.connection",3,3,26,"ConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.deadletter",2,2,26,"SequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.eventhandling.deadletter.jpa",2,7,26,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.postgresql",2,2,26,"PostgresqlEventStorageEngine,PostgresqlConfigurationEnhancer",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.testcontainer",2,6,26,"AxonServerContainer",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.slf4j",2,3,26,"Logger,LoggerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.docker.compose.core",2,5,26,"RunningService,ConnectionPorts",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.boot.docker.compose.service.connection",2,5,26,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.context",2,4,26,"ApplicationContext,ApplicationContextAware",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.axonserver.connector",1,1,26,"AxonServerConnection",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.axonserver.connector.control",1,1,26,"ControlChannel",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.commandhandling.distributed",1,4,26,"DistributedCommandBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.messaging.queryhandling.distributed",1,4,26,"DistributedQueryBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.0","jakarta.persistence",1,3,26,"EntityManagerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.axonframework.extension.springboot.util",1,1,26,"RegisterDefaultEntities",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.beans",1,1,26,"BeansException",""
"axoniq-spring-boot-autoconfigure-5.1.0","org.springframework.lang",1,1,26,"Nullable",""
