"sourceLabels","targetLabels","numberOfNodes","percentageOfTotalNodes","Source Cypher File: domains/overview/queries/overview/Dependency_node_labels.cypher"
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface","Type,File,Java,ByteCode,ResolvedDuplicateType",5,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration","Type,File,Java,ByteCode,Throwable,JavaType",5,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,ByteCode,Throwable,JavaType,ExternalType,ExternalAnnotation",4,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","Type,File,Java,ByteCode,PrimitiveType",4,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record","Type,File,Java,ByteCode,ExternalType",4,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record,Interface","Type,File,Java,ByteCode,ResolvedDuplicateType",4,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record,Interface,Throwable","Type,File,Java,ByteCode,JavaType",4,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Class,Interface,GenericDeclaration","Type,File,Java,ByteCode,PrimitiveType",3,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","Type,File,Java,ByteCode,Throwable,JavaType",3,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record","Type,File,Java,ByteCode,ExternalType",3,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,ResolvedDuplicateType",3,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Throwable","Type,File,Java,ByteCode,JavaType",3,0,""
"File,Artifact,Jar,Archive,Zip,Java","File,Artifact,Jar,Archive,Zip,Java",2,0,""
"Package,File,Directory,Java","Package,File,Directory,Java",2,0,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface,Class,Throwable,Record","Type,File,Java,ByteCode,ResolvedDuplicateType",2,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",2,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,ExternalAnnotation,ExternalType,Annotation",2,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","Type,File,Java,ByteCode,Void",2,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record,Throwable,Enum,Interface","Type,File,Java,ByteCode,Throwable,JavaType",2,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration,Throwable,Enum","Type,File,Java,ByteCode,JavaType",2,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface,GenericDeclaration","Type,File,Java,ByteCode,PrimitiveType",2,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",2,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Record","Type,File,Java,ByteCode,ExternalType",2,0,""
"File,Artifact,Jar,Archive,Zip,Java","File,Artifact,Jar,Archive,Zip,Java",1,0,""
"Package,File,Directory,Java","Package,File,Directory,Java",1,0,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType,Interface,Enum",1,0,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType,Record","Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Enum,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Enum,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,ByteCode,Enum,InternalJavaType,ConnectedInternalJavaType,Class,Throwable,Interface",1,0,""
"Type,File,Java,ByteCode,Enum,InternalJavaType,ConnectedInternalJavaType,Interface,Class","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,GenericDeclaration,Interface,Enum",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration,Throwable,Enum,Record",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Annotation,GenericDeclaration,Enum,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Annotation,GenericDeclaration,Record,Throwable","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Enum","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Enum,GenericDeclaration","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration,Annotation,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration,Enum,Record,Annotation","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration,Throwable","Type,File,Java,ByteCode,JavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Record","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Record,GenericDeclaration","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Record,GenericDeclaration,Throwable","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Record","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Record,Class","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class",1,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Record,Enum,Class",1,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Class,GenericDeclaration","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class",1,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Class,Interface","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Interface,Class","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Throwable,Record,ExternalAnnotation,ExternalType,Annotation,Enum",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Annotation","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Annotation",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Enum","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Throwable",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Enum,Interface","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Enum,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Enum,Record","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Class,Throwable,ExternalType,Record",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Annotation","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Interface,Class,Throwable,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface,Annotation","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface,Record","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface,Record,Throwable","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Interface,Throwable","Type,File,Java,GenericDeclaration,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration,Record,Interface","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Interface,Class,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration,Annotation","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration,Enum,Record,Annotation","Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,GenericDeclaration,Record","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Record","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Record,GenericDeclaration","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Record",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,GenericDeclaration","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,GenericDeclaration,Interface","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface,GenericDeclaration","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Throwable","Type,File,Java,Class,ByteCode,Throwable,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Throwable,GenericDeclaration","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType,Throwable,GenericDeclaration,Interface","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Throwable",1,0,""
"Type,File,Java,Class,ByteCode,Throwable,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Annotation,Throwable,Record",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Annotation","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Throwable,Record",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Record","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Record,Throwable","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Throwable","Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Throwable,Annotation,Enum","Type,File,Java,ByteCode,PrimitiveType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Throwable,Record","Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface","Type,File,Java,ByteCode,ExternalType,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface,Throwable,Enum","Type,File,Java,ByteCode,Void",1,0,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Record,Interface,Throwable,Enum,Annotation","Type,File,Java,ByteCode,Throwable,JavaType",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType,Interface,Throwable,Record",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Annotation,Record,Throwable,Enum","Type,File,Java,ByteCode,ResolvedDuplicateType",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Enum","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType,Class,Throwable","Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
"Type,File,Java,GenericDeclaration,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType,Class","Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",1,0,""
