"artifactName","effectiveLineCount","methods","Source Cypher File: domains/overview/queries/overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-eventsourcing-5.1.0.jar",16,1,""
"axon-eventsourcing-5.1.0.jar",17,2,""
"axon-eventsourcing-5.1.0.jar",19,1,""
"axon-eventsourcing-5.1.0.jar",20,1,""
"axon-eventsourcing-5.1.0.jar",21,1,""
"axon-eventsourcing-5.1.0.jar",27,1,""
"axon-eventsourcing-5.1.0.jar",30,1,""
"axon-eventsourcing-5.1.0.jar",40,1,""
"axon-messaging-5.1.0.jar",1,1964,""
"axon-messaging-5.1.0.jar",2,517,""
"axon-messaging-5.1.0.jar",3,416,""
"axon-messaging-5.1.0.jar",4,185,""
"axon-messaging-5.1.0.jar",5,162,""
"axon-messaging-5.1.0.jar",6,93,""
"axon-messaging-5.1.0.jar",7,83,""
"axon-messaging-5.1.0.jar",8,71,""
"axon-messaging-5.1.0.jar",9,37,""
"axon-messaging-5.1.0.jar",10,28,""
"axon-messaging-5.1.0.jar",11,22,""
"axon-messaging-5.1.0.jar",12,9,""
"axon-messaging-5.1.0.jar",13,10,""
"axon-messaging-5.1.0.jar",14,6,""
"axon-messaging-5.1.0.jar",15,6,""
"axon-messaging-5.1.0.jar",16,7,""
"axon-messaging-5.1.0.jar",17,4,""
"axon-messaging-5.1.0.jar",18,2,""
"axon-messaging-5.1.0.jar",19,4,""
"axon-messaging-5.1.0.jar",20,4,""
"axon-messaging-5.1.0.jar",21,1,""
"axon-messaging-5.1.0.jar",22,2,""
"axon-messaging-5.1.0.jar",23,1,""
"axon-messaging-5.1.0.jar",25,2,""
"axon-messaging-5.1.0.jar",27,1,""
"axon-messaging-5.1.0.jar",31,2,""
"axon-messaging-5.1.0.jar",37,1,""
"axon-messaging-5.1.0.jar",111,1,""
"axon-metrics-micrometer-5.1.0.jar",1,46,""
"axon-metrics-micrometer-5.1.0.jar",2,18,""
"axon-metrics-micrometer-5.1.0.jar",3,20,""
"axon-metrics-micrometer-5.1.0.jar",4,8,""
"axon-metrics-micrometer-5.1.0.jar",5,2,""
"axon-metrics-micrometer-5.1.0.jar",6,4,""
"axon-metrics-micrometer-5.1.0.jar",7,3,""
"axon-metrics-micrometer-5.1.0.jar",8,4,""
"axon-metrics-micrometer-5.1.0.jar",9,1,""
"axon-metrics-micrometer-5.1.0.jar",10,1,""
"axon-metrics-micrometer-5.1.0.jar",15,1,""
"axon-modelling-5.1.0.jar",1,162,""
"axon-modelling-5.1.0.jar",2,53,""
"axon-modelling-5.1.0.jar",3,28,""
"axon-modelling-5.1.0.jar",4,36,""
"axon-modelling-5.1.0.jar",5,22,""
"axon-modelling-5.1.0.jar",6,17,""
"axon-modelling-5.1.0.jar",7,8,""
"axon-modelling-5.1.0.jar",8,12,""
"axon-modelling-5.1.0.jar",9,10,""
"axon-modelling-5.1.0.jar",10,2,""
"axon-modelling-5.1.0.jar",11,1,""
"axon-modelling-5.1.0.jar",12,5,""
"axon-modelling-5.1.0.jar",13,4,""
"axon-modelling-5.1.0.jar",14,1,""
"axon-modelling-5.1.0.jar",15,1,""
"axon-modelling-5.1.0.jar",16,1,""
"axon-modelling-5.1.0.jar",17,1,""
"axon-modelling-5.1.0.jar",18,2,""
"axon-modelling-5.1.0.jar",21,1,""
"axon-server-connector-5.1.0.jar",1,233,""
"axon-server-connector-5.1.0.jar",2,136,""
"axon-server-connector-5.1.0.jar",3,73,""
"axon-server-connector-5.1.0.jar",4,45,""
"axon-server-connector-5.1.0.jar",5,32,""
"axon-server-connector-5.1.0.jar",6,16,""
"axon-server-connector-5.1.0.jar",7,5,""
"axon-server-connector-5.1.0.jar",8,19,""
"axon-server-connector-5.1.0.jar",9,5,""
"axon-server-connector-5.1.0.jar",10,10,""
"axon-server-connector-5.1.0.jar",11,3,""
"axon-server-connector-5.1.0.jar",12,2,""
"axon-server-connector-5.1.0.jar",13,3,""
"axon-server-connector-5.1.0.jar",14,2,""
"axon-server-connector-5.1.0.jar",15,2,""
"axon-server-connector-5.1.0.jar",16,1,""
"axon-server-connector-5.1.0.jar",17,2,""
"axon-server-connector-5.1.0.jar",18,1,""
"axon-server-connector-5.1.0.jar",20,1,""
"axon-server-connector-5.1.0.jar",21,2,""
"axon-server-connector-5.1.0.jar",25,1,""
"axon-server-connector-5.1.0.jar",28,1,""
"axon-server-connector-5.1.0.jar",29,1,""
"axon-server-connector-5.1.0.jar",35,1,""
"axon-server-connector-5.1.0.jar",42,1,""
"axon-test-5.1.0.jar",1,198,""
"axon-test-5.1.0.jar",2,62,""
"axon-test-5.1.0.jar",3,33,""
"axon-test-5.1.0.jar",4,38,""
"axon-test-5.1.0.jar",5,6,""
"axon-test-5.1.0.jar",6,14,""
"axon-test-5.1.0.jar",7,7,""
"axon-test-5.1.0.jar",8,6,""
"axon-test-5.1.0.jar",9,8,""
"axon-test-5.1.0.jar",10,5,""
"axon-test-5.1.0.jar",11,3,""
"axon-test-5.1.0.jar",12,6,""
"axon-test-5.1.0.jar",13,1,""
"axon-test-5.1.0.jar",14,1,""
"axon-test-5.1.0.jar",15,1,""
"axon-test-5.1.0.jar",16,3,""
"axon-test-5.1.0.jar",18,2,""
"axon-test-5.1.0.jar",20,1,""
"axon-test-5.1.0.jar",21,1,""
"axon-test-5.1.0.jar",23,1,""
"axon-test-5.1.0.jar",26,1,""
"axon-test-5.1.0.jar",31,1,""
"axon-test-5.1.0.jar",45,1,""
"axon-tracing-opentelemetry-5.1.0.jar",1,11,""
"axon-tracing-opentelemetry-5.1.0.jar",2,4,""
"axon-tracing-opentelemetry-5.1.0.jar",3,9,""
"axon-tracing-opentelemetry-5.1.0.jar",4,7,""
"axon-tracing-opentelemetry-5.1.0.jar",5,2,""
"axon-tracing-opentelemetry-5.1.0.jar",6,4,""
"axon-tracing-opentelemetry-5.1.0.jar",7,2,""
"axon-tracing-opentelemetry-5.1.0.jar",9,1,""
"axon-tracing-opentelemetry-5.1.0.jar",12,1,""
"axon-update-5.1.0.jar",1,89,""
"axon-update-5.1.0.jar",2,9,""
"axon-update-5.1.0.jar",3,6,""
"axon-update-5.1.0.jar",4,10,""
"axon-update-5.1.0.jar",5,8,""
"axon-update-5.1.0.jar",6,8,""
"axon-update-5.1.0.jar",7,2,""
"axon-update-5.1.0.jar",8,2,""
"axon-update-5.1.0.jar",9,3,""
"axon-update-5.1.0.jar",10,2,""
"axon-update-5.1.0.jar",12,1,""
"axon-update-5.1.0.jar",13,4,""
"axon-update-5.1.0.jar",14,1,""
"axon-update-5.1.0.jar",15,1,""
"axon-update-5.1.0.jar",16,1,""
"axon-update-5.1.0.jar",17,2,""
"axon-update-5.1.0.jar",18,1,""
"axon-update-5.1.0.jar",21,1,""
"axon-update-5.1.0.jar",24,1,""
"axon-update-5.1.0.jar",25,1,""
"axon-update-5.1.0.jar",41,1,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",1,39,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",2,23,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",3,5,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",4,2,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",5,2,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",6,1,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",7,5,""
"axoniq-spring-boot-autoconfigure-5.1.0.jar",8,1,""
