"artifactName","dependentArtifactName","fullPackageName","fullDependentPackageName","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-test-5.0.3","axon-messaging-5.0.3","org.axonframework.test","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-spring-boot-autoconfigure-5.0.3","axon-eventsourcing-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.eventsourcing.eventstore",3,45,0.0667,"org.axonframework.eventsourcing.eventstore.EventStorageEngine,org.axonframework.eventsourcing.eventstore.EventStore,org.axonframework.eventsourcing.eventstore.EventCoordinator",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.eventhandling.configuration",1,14,0.0714,"org.axonframework.messaging.eventhandling.configuration.EventBusConfigurationDefaults",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.annotation","org.axonframework.messaging.core",6,80,0.075,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.Message,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.MessageStream",""
"axon-test-5.0.3","axon-messaging-5.0.3","org.axonframework.test.fixture","org.axonframework.messaging.core",6,80,0.075,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.Metadata,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.Message,org.axonframework.messaging.core.MessageStream$Empty,org.axonframework.messaging.core.MessageStream",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","org.axonframework.messaging.core",6,80,0.075,"org.axonframework.messaging.core.Context$ResourceKey,org.axonframework.messaging.core.Context,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.core.SimpleEntry,org.axonframework.messaging.core.MessageStream$Entry",""
"axon-server-connector-5.0.3","axon-messaging-5.0.3","org.axonframework.axonserver.connector.command","org.axonframework.messaging.core",6,80,0.075,"org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.RemoteNonTransientHandlingException,org.axonframework.messaging.core.RemoteHandlingException,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.RemoteExceptionDescription",""
"axon-spring-boot-autoconfigure-5.0.3","axon-messaging-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.messaging.queryhandling",2,24,0.0833,"org.axonframework.messaging.queryhandling.QueryBus,org.axonframework.messaging.queryhandling.QueryMessage",""
"axon-server-connector-5.0.3","axon-messaging-5.0.3","org.axonframework.axonserver.connector","org.axonframework.messaging.queryhandling",2,24,0.0833,"org.axonframework.messaging.queryhandling.QueryExecutionException,org.axonframework.messaging.queryhandling.NoHandlerForQueryException",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jdbc","org.axonframework.common.jdbc",1,12,0.0833,"org.axonframework.common.jdbc.ConnectionExecutor",""
"axon-eventsourcing-5.0.3","axon-common-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.common.jdbc",1,12,0.0833,"org.axonframework.common.jdbc.PersistenceExceptionResolver",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.configuration.reflection","org.axonframework.common.configuration",4,46,0.087,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.SearchScope,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.annotation","org.axonframework.messaging.core",7,80,0.0875,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.Message,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.core.MessageStream$Entry",""
