"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/errorhandling","errorhandling","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing","processing","Simon Zambrovski","Jan Galinski","Allard Buijze",4,2,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/errorhandling/LoggingErrorHandler.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming","streaming","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing","processing","Simon Zambrovski","Jan Galinski","Allard Buijze",4,2,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming/token/MultiSourceTrackingToken.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming/token","token","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming","streaming","Simon Zambrovski","Jan Galinski","Allard Buijze",4,1,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming/token/MultiSourceTrackingToken.java",13,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling","scheduling","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling","eventhandling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,17,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/quartz/QuartzScheduleToken.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/dbscheduler","dbscheduler","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling","scheduling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,6,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/dbscheduler/EventSchedulerNotSuppliedException.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/jobrunr","jobrunr","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling","scheduling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,2,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/jobrunr/JobRunrScheduleToken.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/quartz","quartz","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling","scheduling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,4,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/quartz/QuartzScheduleToken.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing","eventsourcing","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging","messaging","Simon Zambrovski","Jan Galinski","Allard Buijze",4,45,17,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/snapshotting/SnapshotterSpanFactory.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore","eventstore","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing","eventsourcing","Simon Zambrovski","Jan Galinski","Allard Buijze",4,31,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jpa/SnapshotEventEntry.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jdbc","jdbc","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore","eventstore","Simon Zambrovski","Jan Galinski","Allard Buijze",4,25,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jdbc/statements/TimestampWriter.java",12,1,""
