"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-messaging-4.12.1","org.axonframework.updates","org.slf4j",6,27,4,"LoggerFactory,Logger","updates",""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository.jpa","jakarta.persistence",6,57,7,"Query,TypedQuery,EntityManagerFactory,EntityManager,EntityNotFoundException,Index","jpa",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.util","io.grpc",6,14,3,"Status$Code,Metadata$AsciiMarshaller,Metadata$Key,Status,StatusRuntimeException,Metadata","util",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.processor","io.axoniq.axonserver.grpc.control",6,41,3,"EventProcessorInfo,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder","processor",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query","org.slf4j",6,14,21,"LoggerFactory,Logger","query",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.beans.factory",6,26,41,"InitializingBean,BeanClassLoaderAware,NoSuchBeanDefinitionException,BeanFactoryUtils,BeanFactory","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.axonframework.spring.config",6,18,41,"SpringConfigurer,SpringAxonConfiguration,SpringSagaLookup,SpringAggregateLookup,MessageHandlerLookup","autoconfig",""
"axon-test-4.12.1","org.axonframework.test.aggregate","org.hamcrest",6,97,19,"StringDescription,Description,Matcher,CoreMatchers","aggregate",""
"axon-disruptor-4.12.1","org.axonframework.disruptor.commandhandling","com.lmax.disruptor.dsl",5,21,22,"Disruptor,ProducerType,EventHandlerGroup","commandhandling",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",5,40,7,"Index,EntityExistsException,EntityManager,TypedQuery,Query","jpa",""
"axon-messaging-4.12.1","org.axonframework.common","org.slf4j",5,15,28,"Logger,LoggerFactory","common",""
"axon-messaging-4.12.1","org.axonframework.common.caching","net.sf.ehcache",5,47,15,"CacheException,Ehcache,Element","caching",""
"axon-messaging-4.12.1","org.axonframework.deadline.dbscheduler","com.github.kagkarlsson.scheduler.task",5,21,7,"TaskInstanceId,ExecutionContext,Task,TaskInstance,TaskWithDataDescriptor","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.async","org.slf4j",5,16,18,"LoggerFactory,Logger","async",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.jpa","jakarta.persistence",5,51,9,"NoResultException,EntityManager,TypedQuery,Query,Index","jpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.dbscheduler","com.github.kagkarlsson.scheduler.task",5,19,7,"TaskInstance,Task,TaskWithDataDescriptor,ExecutionContext,TaskInstanceId","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.jpa","jakarta.persistence",5,49,4,"LockModeType,TypedQuery,EntityManager,Query","jpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.tokenstore.legacyjpa","javax.persistence",5,49,2,"Query,EntityManager,TypedQuery,LockModeType","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors","jakarta.validation",5,15,8,"ConstraintViolation,ValidatorFactory,Validator,Validation","interceptors",""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors.legacyvalidation","javax.validation",5,15,2,"ConstraintViolation,Validator,ValidatorFactory,Validation","legacyvalidation",""
"axon-messaging-4.12.1","org.axonframework.serialization","com.thoughtworks.xstream.mapper",5,6,34,"Mapper,CannotResolveClassException","serialization",""
