"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",4,52,55,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",6,21,157,18,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",9,85,149,18,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",9,52,149,19,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",3,51,138,19,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",14,25,67,19,""
"axon-test-5.1.2","org.axonframework.test.matchers",18,23,58,21,""
"axon-test-5.1.2","org.axonframework.test.fixture",18,32,58,27,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",5,51,97,29,""
"axon-common-5.1.2","org.axonframework.common.configuration",6,50,157,43,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",12,85,73,44,""
