"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.queryhandling.QueryHandler","QueryHandler",8,"537,537,170",8,"537,98,34,3",,386,0,26,9,1,-1,12,5,""
"org.axonframework.messaging.queryhandling.NoHandlerForQueryException","NoHandlerForQueryException",8,"537,537,170",8,"537,98,34,3",,387,0,26,5,51,-1,3,2,""
"org.axonframework.messaging.queryhandling.QueryUpdateEmitter","QueryUpdateEmitter",4,"512,175,175",3,"601,59,3,8",,388,0,7,9,65,137,3,8,""
"org.axonframework.messaging.queryhandling.GenericQueryResponseMessage","GenericQueryResponseMessage",8,"170,170,170",8,"559,13,0,0",,389,0,28,10,10,136,2,9,""
"org.axonframework.messaging.queryhandling.QueryExecutionException","QueryExecutionException",3,"245,821,821",2,"537,98,34,3",,390,0,26,3,81,-1,3,1,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus","InterceptingQueryBus",8,"502,537,170",8,"537,98,34,3",,391,0,26,10,32,-1,1,18,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$QueryInterceptingDispatcher","InterceptingQueryBus$QueryInterceptingDispatcher",9,"177,429,429",8,"537,98,34,3",,392,0,26,7,67,160,1,6,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$SubscriptionQueryInterceptingDispatcher","InterceptingQueryBus$SubscriptionQueryInterceptingDispatcher",8,"502,537,170",8,"537,98,34,3",,393,0,26,8,52,143,1,7,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$SubscribeToUpdatesInterceptingDispatcher","InterceptingQueryBus$SubscribeToUpdatesInterceptingDispatcher",8,"502,537,170",8,"537,98,34,3",,394,0,26,8,70,-1,1,7,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$InterceptingResponseUpdateDispatcher","InterceptingQueryBus$InterceptingResponseUpdateDispatcher",9,"177,429,429",9,"177,0,23,1",,395,0,9,8,49,160,1,7,""
"org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$InterceptingHandler","InterceptingQueryBus$InterceptingHandler",8,"537,537,170",8,"537,98,34,3",,396,0,26,8,95,156,1,7,""
