"internalModuleName","leidenCommunityId","internalModuleElementsCount","numberOfExternalModules","minNumberOfInternalModules","maxNumberOfInternalModules","medNumberOfInternalModules","avgNumberOfInternalModules","stdNumberOfInternalModules","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","top10ExternalPackageNamesByUsageDescending","internalModulesExamples","internalElementsExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_aggregated_for_Typescript.cypher"
"dev",,5,3,1,2,1,1.3333333333333333,0.5773502691896257,1,2,1,1.3333333333333333,0.5773502691896257,20,40,20,26.666666666666668,11.547005383792516,"@types/process,node,picocolors","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/dev.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/server-runtime/dev.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/dev.ts"".dev,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/server-runtime/dev.ts"".getBuildTimeHeader",""
"fileStorage",,2,4,2,2,2,2,0,1,2,1,1.25,0.5,50,100,50,62.5,25.000000000000004,"@types/path,promises,node:fs,@types/buffer","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/sessions/fileStorage.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/sessions/fileStorage.ts"".getFile,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/sessions/fileStorage.ts"".createFileSessionStorage",""
"fog-of-war",,7,1,2,2,2,2,0,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,"@types/react","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/dom/ssr/fog-of-war.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/dom/ssr/fog-of-war.ts"".useFogOFWarDiscovery",""
"normalizeSlashes",,2,2,2,2,2,2,0,2,2,2,2,0,100,100,100,100,0,"node:path,@types/path","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-remix-routes-option-adapter/normalizeSlashes.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-fs-routes/normalizeSlashes.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-remix-routes-option-adapter/normalizeSlashes.ts"".normalizeSlashes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-fs-routes/normalizeSlashes.ts"".normalizeSlashes",""
"react-router-architect",,4,4,2,2,2,2,0,1,2,1,1.25,0.5,25,50,25,31.25,12.500000000000002,"@types/api-gateway-proxy,@types/handler,@architect/functions,@architect/tables","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/index.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/server.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/server.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-architect/server.ts"".RequestHandler",""
"react-router-express",,3,3,2,2,2,2,0,2,2,2,2,0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,"@types/qs,@types/express,@types/express-serve-static-core","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-express/server.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-express/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-express/server.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-express/server.ts"".GetLoadContextFunction",""
"routes",,18,2,2,2,2,2,0,3,5,4,4,1.4142135623730951,16.666666666666664,27.77777777777778,22.22222222222222,22.22222222222222,7.8567420131838634,"@types/pick,dist","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/routes.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/routes.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/routes.ts"".layout,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/routes.ts"".index,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/routes.ts"".route",""
"stream",,4,2,2,2,2,2,0,1,3,2,2,1.4142135623730951,25,75,50,50,35.35533905932738,"@types/stream,@types/buffer","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/stream.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/stream.ts"".createReadableStreamFromReadable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/stream.ts"".writeReadableStreamToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-node/stream.ts"".writeAsyncIterableToWritable",""
"utils",,149,12,1,2,1,1.0833333333333335,0.28867513459481287,1,4,2,2.3333333333333335,1.2309149097933274,0.6711409395973155,2.684563758389262,1.342281879194631,1.5659955257270692,0.8261173891230384,"@types/react,node:process,@types/process,node:fs,promises,fs,sisteransi,node:path,@types/path","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/router/utils.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/router/utils.ts"".RouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router/lib/router/utils.ts"".BaseRouteObject",""
"worker",,5,1,2,2,2,2,0,4,4,4,4,0,80,80,80,80,0,"@cloudflare/workers-types","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/worker.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/worker.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/worker.ts"".createRequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/worker.ts"".createPagesFunctionHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/worker.ts"".GetLoadContextFunction",""
"workersKVStorage",,1,1,2,2,2,2,0,1,1,1,1,0,100,100,100,100,0,"@cloudflare/workers-types","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/index.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/sessions/workersKVStorage.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-cloudflare/sessions/workersKVStorage.ts"".createWorkersKVSessionStorage",""
"babel",,2,1,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"@types/babel__generator","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/babel.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/babel.ts"".generate",""
"build",,7,1,1,1,1,1,0,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,"node","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/build.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/vite/build.ts"".build",""
"commands",,5,9,1,1,1,1,0,1,2,1,1.1111111111111112,0.3333333333333333,20,40,20,22.22222222222222,6.666666666666667,"node,dist,@types/path,promises,picocolors,node:fs,@types/module,@types/process,exit-hook","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/cli/commands.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/cli/commands.ts"".typegen",""
"config",,14,11,1,1,1,1,0,1,4,1,1.3636363636363635,0.9244162777371753,7.142857142857143,28.571428571428573,7.142857142857143,9.74025974025974,6.602973412408395,"@types/pick,@types/module,dist,node:child_process,node:fs,fs,esm,node,@types/process","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/config.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/react-router-dev/config/config.ts"".configRouteToBranchRoute",""
"copy-template",,2,1,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"node:url","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/create-react-router/copy-template.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/source/react-router-7.16.0/packages/create-react-router/copy-template.ts"".copyTemplate",""
