"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
0.5,"axon-common-5.0.2","org.axonframework.common.tx",8,6,"axon-update-5.0.2","org.axonframework.update.common",1,1,""
0.5,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,""
0.5,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.5,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token",425,16,""
0.5,"axon-update-5.0.2","org.axonframework.update.common",1,1,"axon-common-5.0.2","org.axonframework.common.tx",8,6,""
0.4915254237288136,"axon-conversion-5.0.2","org.axonframework.conversion.avro",22,49,"axon-conversion-5.0.2","org.axonframework.conversion.json",7,21,""
0.4915254237288136,"axon-conversion-5.0.2","org.axonframework.conversion.json",7,21,"axon-conversion-5.0.2","org.axonframework.conversion.avro",22,49,""
0.4782608695652174,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,"axon-messaging-5.0.2","org.axonframework.messaging.tracing",136,68,""
0.4782608695652174,"axon-messaging-5.0.2","org.axonframework.messaging.tracing",136,68,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.4583333333333333,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",9,102,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing",18,78,""
0.4583333333333333,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing",18,78,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",9,102,""
0.4577114427860697,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception",38,1084,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,""
0.45652173913043476,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration",11,271,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed",31,322,""
0.45652173913043476,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed",31,322,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration",11,271,""
0.45614035087719296,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception",38,1084,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,""
0.45454545454545453,"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation",15,82,"axon-messaging-5.0.2","org.axonframework.messaging.tracing.attributes",0,28,""
0.45454545454545453,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing",6,135,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing",6,73,""
0.45454545454545453,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing",6,73,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing",6,135,""
0.45454545454545453,"axon-messaging-5.0.2","org.axonframework.messaging.tracing.attributes",0,28,"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation",15,82,""
0.453416149068323,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc",13,160,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa",6,85,""
0.453416149068323,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa",6,85,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc",13,160,""
0.45054945054945056,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling",698,533,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,""
0.45,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,""
0.45,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,""
0.44680851063829785,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed",31,322,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception",5,436,""
0.44680851063829785,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception",5,436,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed",31,322,""
0.4444444444444444,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,"axon-messaging-5.0.2","org.axonframework.messaging.tracing",136,68,""
0.4444444444444444,"axon-messaging-5.0.2","org.axonframework.messaging.tracing",136,68,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,""
0.4430379746835443,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",8,128,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway",20,191,""
0.4430379746835443,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway",20,191,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",8,128,""
0.4418604651162791,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration",11,271,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration",11,271,""
0.4418604651162791,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration",11,271,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration",11,271,""
0.43478260869565216,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,"axon-messaging-5.0.2","org.axonframework.messaging.tracing",136,68,""
0.43478260869565216,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing",18,78,""
0.43478260869565216,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing",18,78,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,""
0.43356643356643354,"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork",11526,108,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,""
0.43333333333333335,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing",6,135,""
0.43333333333333335,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing",6,135,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,""
0.4305555555555556,"axon-modelling-5.0.2","org.axonframework.modelling.entity",115,800,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation",16,438,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed",31,322,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway",20,191,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation",16,438,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store",28,10,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",3,31,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",3,31,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store",28,10,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,""
0.42857142857142855,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,""
0.42424242424242425,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation",21,478,""
0.42424242424242425,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation",21,478,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,""
0.4230769230769231,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing",6,73,""
0.4230769230769231,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,""
0.4230769230769231,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing",6,73,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,""
0.42084942084942084,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event",18,1282,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa",20,1263,""
