"artifactName","effectiveLineCount","methods","Source Cypher File: domains/java/queries/method-metrics/Effective_Method_Line_Count_Distribution.cypher"
"axon-server-connector-5.1.2.jar",1,233,""
"axon-server-connector-5.1.2.jar",2,136,""
"axon-server-connector-5.1.2.jar",3,73,""
"axon-server-connector-5.1.2.jar",4,45,""
"axon-server-connector-5.1.2.jar",5,32,""
"axon-server-connector-5.1.2.jar",6,16,""
"axon-server-connector-5.1.2.jar",7,5,""
"axon-server-connector-5.1.2.jar",8,19,""
"axon-server-connector-5.1.2.jar",9,5,""
"axon-server-connector-5.1.2.jar",10,10,""
"axon-server-connector-5.1.2.jar",11,3,""
"axon-server-connector-5.1.2.jar",12,2,""
"axon-server-connector-5.1.2.jar",13,3,""
"axon-server-connector-5.1.2.jar",14,2,""
"axon-server-connector-5.1.2.jar",15,2,""
"axon-server-connector-5.1.2.jar",16,1,""
"axon-server-connector-5.1.2.jar",17,2,""
"axon-server-connector-5.1.2.jar",18,1,""
"axon-server-connector-5.1.2.jar",20,1,""
"axon-server-connector-5.1.2.jar",21,1,""
"axon-server-connector-5.1.2.jar",22,1,""
"axon-server-connector-5.1.2.jar",25,1,""
"axon-server-connector-5.1.2.jar",28,1,""
"axon-server-connector-5.1.2.jar",29,1,""
"axon-server-connector-5.1.2.jar",35,1,""
"axon-server-connector-5.1.2.jar",42,1,""
"axon-test-5.1.2.jar",1,198,""
"axon-test-5.1.2.jar",2,62,""
"axon-test-5.1.2.jar",3,33,""
"axon-test-5.1.2.jar",4,38,""
"axon-test-5.1.2.jar",5,6,""
"axon-test-5.1.2.jar",6,14,""
"axon-test-5.1.2.jar",7,7,""
"axon-test-5.1.2.jar",8,6,""
"axon-test-5.1.2.jar",9,8,""
"axon-test-5.1.2.jar",10,5,""
"axon-test-5.1.2.jar",11,3,""
"axon-test-5.1.2.jar",12,6,""
"axon-test-5.1.2.jar",13,1,""
"axon-test-5.1.2.jar",14,1,""
"axon-test-5.1.2.jar",15,1,""
"axon-test-5.1.2.jar",16,3,""
"axon-test-5.1.2.jar",18,2,""
"axon-test-5.1.2.jar",20,1,""
"axon-test-5.1.2.jar",21,1,""
"axon-test-5.1.2.jar",23,1,""
"axon-test-5.1.2.jar",26,1,""
"axon-test-5.1.2.jar",31,1,""
"axon-test-5.1.2.jar",45,1,""
"axon-tracing-opentelemetry-5.1.2.jar",1,11,""
"axon-tracing-opentelemetry-5.1.2.jar",2,4,""
"axon-tracing-opentelemetry-5.1.2.jar",3,9,""
"axon-tracing-opentelemetry-5.1.2.jar",4,7,""
"axon-tracing-opentelemetry-5.1.2.jar",5,2,""
"axon-tracing-opentelemetry-5.1.2.jar",6,4,""
"axon-tracing-opentelemetry-5.1.2.jar",7,2,""
"axon-tracing-opentelemetry-5.1.2.jar",9,1,""
"axon-tracing-opentelemetry-5.1.2.jar",12,1,""
"axon-update-5.1.2.jar",1,89,""
"axon-update-5.1.2.jar",2,9,""
"axon-update-5.1.2.jar",3,6,""
"axon-update-5.1.2.jar",4,10,""
"axon-update-5.1.2.jar",5,8,""
"axon-update-5.1.2.jar",6,8,""
"axon-update-5.1.2.jar",7,2,""
"axon-update-5.1.2.jar",8,2,""
"axon-update-5.1.2.jar",9,3,""
"axon-update-5.1.2.jar",10,2,""
"axon-update-5.1.2.jar",12,1,""
"axon-update-5.1.2.jar",13,4,""
"axon-update-5.1.2.jar",14,1,""
"axon-update-5.1.2.jar",15,1,""
"axon-update-5.1.2.jar",16,1,""
"axon-update-5.1.2.jar",17,2,""
"axon-update-5.1.2.jar",18,1,""
"axon-update-5.1.2.jar",21,1,""
"axon-update-5.1.2.jar",24,1,""
"axon-update-5.1.2.jar",25,1,""
"axon-update-5.1.2.jar",41,1,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",1,39,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",2,23,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",3,5,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",4,2,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",5,2,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",6,1,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",7,5,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",8,1,""
