"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.messaging.eventhandling.EventHandlerRegistry","EventHandlerRegistry","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8379","axon-messaging-5.1.1",1,3,8,0.8333333333333334,0.15418633787561828,0.15445870056026154,0.00027236268464325697,18.166666666666664,42,0.9310180458647168,0,0,11,21.361510992515832,10.338942320128394,0.4070669201876158,0,-0.04663403218376799,"","","",0,0,0,5.693824291229248,1.9756619930267334,""
"org.axonframework.messaging.eventhandling.annotation.EventHandlingMember","EventHandlingMember","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8380","axon-messaging-5.1.1",2,2,8,0.6666666666666666,0.16039274879253074,0.16428251134032024,0.0038897625477894993,37,39,1,0,0,31,22.720616376493126,10.49854275420864,0.28056639105485937,0,-0.03815195341177491,"","","",0,0,0,4.491860866546631,7.9360222816467285,""
"org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition$MethodEventMessageHandlingMember","MethodEventHandlerDefinition$MethodEventMessageHandlingMember","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8381","axon-messaging-5.1.1",1,8,8,0.3055555555555556,0.17145353824160117,0.17942307692307696,0.00796953868147579,18.5,39,1,0,0,31,22.720616376493126,10.49854275420864,0.3154187504893401,0,-0.05442675881543391,"","","",0,0,0,4.854556083679199,8.283507347106934,""
"org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember","MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8382","axon-messaging-5.1.1",2,6,8,0.25,0.17008301116713173,0.17507650369687092,0.004993492529739185,40,39,1,0,0,31,22.720616376493126,10.49854275420864,0.4975067532961356,0,-0.062384061144071634,"","","",0,0,0,4.9589457511901855,8.1669282913208,""
"org.axonframework.messaging.eventhandling.annotation.AnnotatedEventHandlingComponent","AnnotatedEventHandlingComponent","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8383","axon-messaging-5.1.1",1,26,8,0.23076923076923078,0.16553322646994334,0.18307197157390379,0.017538745103960446,498.9666666666667,39,0.9948957131773811,0,0,31,22.720616376493126,10.49854275420864,0.32160632430505437,0,-0.03814184764188566,"","","",0,0,0,4.419676780700684,7.74989128112793,""
"org.axonframework.messaging.core.configuration.MessagingConfigurer","MessagingConfigurer","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8466","axon-messaging-5.1.1",3,34,4,0.15555555555555556,0.21863380975508898,0.2293521031693732,0.010718293414284236,1199.8126984126984,76,1,0,1,10,12.91706058755517,5.6748520548339005,0,0,-0.037941283805321746,"","","",0,0,0,3.7205567359924316,3.8966197967529297,""
"org.axonframework.messaging.core.unitofwork.SimpleUnitOfWorkFactory","SimpleUnitOfWorkFactory","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8469","axon-messaging-5.1.1",2,4,5,0.3333333333333333,0.17220683907168072,0.1807159042459902,0.008509065174309494,1,-1,0,1,0,298,0,0,0,0,-0.0801523059563693,"","","",0,0,0,9.772883415222168,4.399327278137207,""
"org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry","MessageMonitorRegistry","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8470","axon-messaging-5.1.1",5,11,4,0.35,0.2413097112032535,0.2611601979015353,0.019850486698281766,80.25,76,0.9142574809391901,0,0,10,12.91706058755517,5.6748520548339005,0.4216591911637749,0,-0.058559453847729426,"","","",0,0,0,3.4238903522491455,3.747117519378662,""
"org.axonframework.messaging.core.interception.HandlerInterceptorRegistry","HandlerInterceptorRegistry","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8471","axon-messaging-5.1.1",4,10,4,0.38461538461538464,0.195924838866705,0.2068297001947248,0.010904861328019794,54.5,76,1,0,0,10,12.91706058755517,5.6748520548339005,0.43006438552517784,0,-0.07715360425449175,"","","",0,0,0,3.8076424598693848,3.882115364074707,""
"org.axonframework.messaging.monitoring.NoOpMessageMonitor","NoOpMessageMonitor","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8472","axon-messaging-5.1.1",4,4,4,0.32142857142857145,0.16966333782617227,0.1744303540848519,0.004767016258679646,78.58333333333333,-1,0,1,0,298,0,0,0,0,-0.07394492687099896,"","","",0,0,0,3.2616240978240967,3.461214780807495,""
"org.axonframework.messaging.core.interception.DispatchInterceptorRegistry","DispatchInterceptorRegistry","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8473","axon-messaging-5.1.1",5,11,4,0.30833333333333335,0.20273858268891312,0.21194384557450244,0.009205262885589316,26.249999999999996,-1,0,1,0,298,0,0,0,0,-0.05319858425213886,"","","",0,0,0,3.890827178955078,3.930569648742676,""
"org.axonframework.messaging.core.unitofwork.transaction.TransactionManager","TransactionManager","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8476","axon-messaging-5.1.1",4,5,5,0.3611111111111111,0.21086081095697154,0.2634123058012635,0.052551494844291974,27.976190476190478,37,0.685572434663707,0,0,7,13.387281136587262,8.420695637934841,0.8967447923530862,0,-0.054278550195322184,"","","",0,0,0,9.703770637512207,4.82497501373291,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext$CauseAndPhase","UnitOfWork$UnitOfWorkProcessingContext$CauseAndPhase","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8477","axon-messaging-5.1.1",2,2,5,1,0.19171350232104514,0.22649731898719544,0.0347838166661503,28,51,1,0,1,6,7.325571581022814,4.075401746978362,0,0,-0.05312882075956399,"","","",0,0,0,9.63044548034668,4.123711109161377,""
"org.axonframework.messaging.core.unitofwork.ResourceOverridingProcessingContext","ResourceOverridingProcessingContext","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8480","axon-messaging-5.1.1",3,5,5,0.47619047619047616,0.7994453006340005,2.1158111968215993,1.3163658961875988,2.3333333333333335,50,1,0,1,11,17.730257513583638,9.350759638042126,0,0,-0.04419425993099435,"","","",0,0,0,9.010185241699219,4.266557216644287,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager$1","EntityManagerTransactionManager$1","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8486","axon-messaging-5.1.1",1,2,5,1,0.16388494718675162,0.17500102049502403,0.011116073308272412,0.5,37,1,0,0,7,13.387281136587262,8.420695637934841,0.5743846344219707,0,-0.04042247409274019,"","","",0,0,0,9.883831024169922,5.158229351043701,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager$2","EntityManagerTransactionManager$2","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8487","axon-messaging-5.1.1",1,2,5,1,0.16388494718675162,0.17500102049502403,0.011116073308272412,0.5,37,1,0,0,7,13.387281136587262,8.420695637934841,0.5503235377567682,0,-0.041086559648525256,"","","",0,0,0,9.810320854187012,5.130853652954102,""
"org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase","EventHandlingComponentsConfigurer$ComponentsPhase","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9323","axon-messaging-5.1.1",3,10,8,0.15151515151515152,0.25506118360898705,0.49607963733009447,0.24101845372110742,721.5,-1,0,1,0,298,0,0,0,0,-0.062359572368759886,"","","",0,0,0,4.169099807739258,3.3698840141296387,""
"org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer","EventHandlingComponentsConfigurer","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9325","axon-messaging-5.1.1",0,4,7,0.5,0.15000000000000002,0.15000000000000002,0,0,-1,0,1,0,298,0,0,0,0,-0.058477356873630926,"","","",0,0,0,4.21026611328125,2.8281850814819336,""
"org.axonframework.messaging.eventhandling.configuration.SubscribableEventSourceDefinition","SubscribableEventSourceDefinition","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9326","axon-messaging-5.1.1",0,2,4,0,0.15000000000000002,0.15000000000000002,0,0,73,0.9174038928613585,0,0,11,11.60835292050615,7.085167854378762,0.9266242671673656,0,-0.08093826087295486,"","","",0,0,0,3.6761796474456787,4.583714962005615,""
"org.axonframework.messaging.core.unitofwork.transaction.Transaction","Transaction","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9328","axon-messaging-5.1.1",6,0,5,0.3333333333333333,0.32732385199612046,0.5862013977781264,0.25887754578200595,0,37,1,0,1,7,13.387281136587262,8.420695637934841,0,0,-0.029993203689893055,"","","",0,0,0,9.876792907714844,5.016178131103516,""
"org.axonframework.messaging.eventhandling.configuration.EventBusConfigurationDefaults","EventBusConfigurationDefaults","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9418","axon-messaging-5.1.1",2,7,12,0.3333333333333333,0.1536052053549992,0.1539082169900371,0.00030301163503790307,51.5,-1,0,1,0,298,0,0,0,0,-0.07208439747500606,"","","",0,0,0,3.970397710800171,4.139686584472656,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext","UnitOfWork$UnitOfWorkProcessingContext","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9419","axon-messaging-5.1.1",3,10,5,0.37777777777777777,0.2955148616273071,0.539398786702098,0.24388392507479084,29,51,1,0,0,6,7.325571581022814,4.075401746978362,0.3440744576395015,0,-0.05566536666001737,"","","",0,0,0,9.77785873413086,4.045650482177734,""
"org.axonframework.messaging.core.unitofwork.TransactionalUnitOfWorkFactory","TransactionalUnitOfWorkFactory","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9420","axon-messaging-5.1.1",1,4,5,0.4,0.15079941227464116,0.15081207546654016,1.2663191898992787e-05,7.333333333333332,-1,0,1,0,298,0,0,0,0,-0.0632444503493168,"","","",0,0,0,9.817285537719727,4.495977878570557,""
"org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext","LegacyMessageSupportingContext","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9421","axon-messaging-5.1.1",1,7,5,0.35714285714285715,0.16415127698471038,0.1686721917700432,0.0045209147853328135,49.66666666666667,50,1,0,0,11,17.730257513583638,9.350759638042126,0.3375369949316137,0,-0.06526997898853976,"","","",0,0,0,9.103310585021973,4.496731281280518,""
"org.axonframework.messaging.core.unitofwork.transaction.NoTransactionManager$1","NoTransactionManager$1","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9422","axon-messaging-5.1.1",1,2,5,1,0.1874507348686086,0.24230470584009153,0.054853970971482924,0,37,1,0,0,7,13.387281136587262,8.420695637934841,0.7668136188047341,0,-0.0613210047787508,"","","",0,0,0,9.782305717468262,5.16322660446167,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc.JdbcTransactionalExecutorProvider$1","JdbcTransactionalExecutorProvider$1","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9423","axon-messaging-5.1.1",1,3,14,0.6666666666666666,0.18027769457388787,0.19975127159383602,0.019473577019948146,0,43,1,0,0,6,10.915776090230793,7.716789551467325,0.7447798526196151,0,-0.09207899152789312,"","","",0,0,0,9.289463996887207,5.724677085876465,""
"org.axonframework.messaging.core.unitofwork.transaction.jdbc.JdbcTransactionalExecutorProvider","JdbcTransactionalExecutorProvider","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9424","axon-messaging-5.1.1",2,7,14,0.2857142857142857,0.22357081551518543,0.27314423620145284,0.04957342068626741,35,43,1,0,0,6,10.915776090230793,7.716789551467325,0.641681979362692,0,-0.09857834550079198,"","","",0,0,0,9.198951721191406,5.580389022827148,""
"org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager","EntityManagerTransactionManager","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:9425","axon-messaging-5.1.1",2,13,5,0.21794871794871795,0.2059831076216255,0.32354261817089924,0.11755951054927374,48,37,0.685572434663707,0,0,7,13.387281136587262,8.420695637934841,1,0,-0.04968278259502429,"","","",0,0,0,9.905168533325195,4.926272392272949,""
