"artifactName","effectiveLineCount","methods","Source Cypher File: domains/overview/queries/overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-update-5.0.3.jar",1,88,""
"axon-update-5.0.3.jar",2,10,""
"axon-update-5.0.3.jar",3,6,""
"axon-update-5.0.3.jar",4,10,""
"axon-update-5.0.3.jar",5,8,""
"axon-update-5.0.3.jar",6,8,""
"axon-update-5.0.3.jar",7,2,""
"axon-update-5.0.3.jar",8,2,""
"axon-update-5.0.3.jar",9,4,""
"axon-update-5.0.3.jar",10,2,""
"axon-update-5.0.3.jar",12,1,""
"axon-update-5.0.3.jar",13,3,""
"axon-update-5.0.3.jar",14,2,""
"axon-update-5.0.3.jar",16,1,""
"axon-update-5.0.3.jar",17,2,""
"axon-update-5.0.3.jar",18,1,""
"axon-update-5.0.3.jar",21,2,""
"axon-update-5.0.3.jar",24,1,""
"axon-update-5.0.3.jar",41,1,""
