"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"io.axoniq.axonserver.connector.event",2,15,22,100,116,1485,"PersistentStreamProperties,PersistentStreamSegment,EventQueryResultEntry,PersistentStream,PersistentStreamCallbacks,EventChannel,AggregateEventStream,EventStream,AppendEventsTransaction",""
"io.axoniq.axonserver.connector.query",2,3,5,36,116,1485,"QueryHandler$UpdateHandler,QueryHandler,QueryDefinition,QueryChannel,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,4,10,66,116,1485,"NodeInfo,NodeInfo$Builder,EventProcessorInfo$Builder,EventProcessorInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,116,1485,"EventWithToken,EventWithToken$Builder,Event$Builder,Event,Confirmation",""
"io.axoniq.axonserver.grpc.query",2,18,46,237,116,1485,"QueryResponse,QueryRequest,QueryProviderOutbound,QueryProviderInbound,SubscriptionQuery,QueryUpdate$Builder,QueryUpdate,QueryResponse$Builder,QueryRequest$Builder",""
"org.apache.avro.message",2,8,11,33,116,1485,"SchemaStore,SchemaStore$Cache,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"org.quartz",2,9,35,185,116,1485,"JobDataMap,Scheduler,JobExecutionException,JobDetail,SchedulerContext,JobExecutionContext,Job,JobKey,Trigger",""
"org.springframework.beans.factory.annotation",2,10,11,28,116,1485,"Qualifier,Autowired",""
"org.springframework.beans.factory.config",2,3,4,7,116,1485,"RuntimeBeanReference,ConfigurableListableBeanFactory",""
"org.springframework.beans.factory.support",2,2,4,21,116,1485,"BeanDefinitionRegistryPostProcessor,BeanDefinitionBuilder,BeanDefinitionRegistry",""
"org.springframework.context",2,5,6,24,116,1485,"ApplicationContext,ApplicationContextAware",""
"reactor.core.scheduler",2,2,3,4,116,1485,"Schedulers,Scheduler",""
"com.fasterxml.jackson.core",1,3,4,7,116,1485,"JsonProcessingException,JsonParser,JacksonException",""
"com.fasterxml.jackson.databind.node",1,2,3,12,116,1485,"JsonNodeType,ObjectNode",""
"com.google.gson",1,1,4,7,116,1485,"JsonParser,JsonObject,JsonElement,JsonArray",""
"com.lmax.disruptor",1,7,9,25,116,1485,"RingBuffer,EventHandler,WaitStrategy,BlockingWaitStrategy,ExceptionHandler,LifecycleAware",""
"com.lmax.disruptor.dsl",1,4,5,21,116,1485,"Disruptor,EventHandlerGroup,ProducerType",""
"com.thoughtworks.xstream.converters",1,3,6,6,116,1485,"MarshallingContext,UnmarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,116,1485,"XppDriver,CompactWriter,XomReader,Dom4JReader",""
"com.thoughtworks.xstream.mapper",1,4,5,6,116,1485,"Mapper,CannotResolveClassException",""
"io.axoniq.axonserver.grpc.command",1,4,9,52,116,1485,"Command,CommandResponse,CommandResponse$Builder,Command$Builder",""
"io.opentelemetry.api.trace",1,3,9,47,116,1485,"SpanContext,Span,SpanBuilder,StatusCode,Tracer,SpanKind",""
