"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.commandhandling","commandhandling",1,"22,88",2,"24,1,1",,0,0,11,7,1945,691,""
"org.axonframework.commandhandling.callbacks","callbacks",1,"22,88",2,"24,1,1",,0,0,6,1,9,39,""
"org.axonframework.commandhandling.distributed","distributed",1,"22,88",2,"24,1,1",,0,0,10,3,58,738,""
"org.axonframework.commandhandling.gateway","gateway",1,"22,88",2,"24,1,1",,0,0,9,0,101,443,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",1,"22,88",2,"24,1,1",,0,0,3,0,12,34,""
"org.axonframework.common","common",1,"12,88",2,"13,1,1",,0,0,11,17,1062,23,""
"org.axonframework.common.caching","caching",1,"88,88",2,"107,1,1",,0,0,5,7,37,49,""
"org.axonframework.common.annotation","annotation",1,"12,88",2,"13,1,1",,0,0,9,12,22,3,""
"org.axonframework.common.digest","digest",1,"12,88",2,"13,1,1",,0,0,3,0,2,1,""
"org.axonframework.common.io","io",4,"44,44",5,"44,2,2",,0,0,8,16,10,0,""
"org.axonframework.common.jdbc","jdbc",5,"47,62",6,"47,11,8",,0,0,10,8,73,56,""
"org.axonframework.common.jpa","jpa",5,"49,62",6,"49,9,8",,0,0,8,1,19,6,""
"org.axonframework.common.legacyjpa","legacyjpa",5,"49,62",6,"49,9,8",,0,0,7,8,17,6,""
"org.axonframework.common.lock","lock",1,"12,88",2,"13,1,1",,0,0,7,3,46,25,""
"org.axonframework.common.property","property",1,"12,88",2,"13,1,1",,0,0,5,12,24,15,""
"org.axonframework.common.stream","stream",4,"44,44",5,"44,2,2",,0,0,7,0,33,5,""
"org.axonframework.deadline.annotation","annotation",1,"12,88",2,"13,1,1",,0,0,3,19,6,29,""
"org.axonframework.deadline.dbscheduler","dbscheduler",6,"41,78",1,"43,19,0",,0,0,9,14,10,488,""
"org.axonframework.common.transaction","transaction",4,"44,44",5,"44,2,2",,0,0,10,4,368,6,""
"org.axonframework.deadline","deadline",6,"41,78",1,"43,19,0",,0,0,11,1,256,338,""
"org.axonframework.deadline.jobrunr","jobrunr",6,"41,78",1,"43,19,0",,0,0,9,14,7,419,""
"org.axonframework.deadline.quartz","quartz",6,"41,78",1,"43,19,0",,0,0,8,13,5,453,""
"org.axonframework.eventhandling","eventhandling",4,"44,44",5,"44,2,2",,0,0,11,19,6120,1563,""
"org.axonframework.eventhandling.async","async",4,"44,44",5,"44,2,2",,0,0,8,8,52,87,""
"org.axonframework.eventhandling.deadletter","deadletter",4,"44,44",5,"44,2,2",,0,0,8,12,11,391,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",5,"47,62",6,"47,11,8",,0,0,8,15,37,560,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",5,"49,62",6,"49,9,8",,0,0,8,7,27,317,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",5,"49,62",6,"49,9,8",,0,0,8,9,11,330,""
"org.axonframework.eventhandling.gateway","gateway",4,"44,44",5,"44,2,2",,0,0,5,0,15,52,""
"org.axonframework.eventhandling.interceptors","interceptors",1,"88,88",1,"107,1,1",,0,0,3,13,0,28,""
"org.axonframework.eventhandling.pooled","pooled",4,"44,44",5,"44,2,2",,0,0,10,13,62,962,""
"org.axonframework.eventhandling.replay","replay",1,"12,88",1,"75,3,9",,0,0,5,0,12,72,""
"org.axonframework.eventhandling.scheduling","scheduling",6,"78,78",7,"79,19,0",,0,0,8,6,25,2,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",6,"78,78",7,"79,19,0",,0,0,8,8,10,214,""
"org.axonframework.eventhandling.scheduling.java","java",0,"65,41",0,"75,3,9",,0,0,8,8,6,76,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",6,"78,78",7,"79,19,0",,0,0,9,1,5,209,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",5,"62,62",6,"62,11,8",,0,0,6,3,3,25,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",5,"62,62",6,"62,11,8",,0,0,6,1,19,195,""
