"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.eventhandling.TrackingEventProcessorConfiguration","TrackingEventProcessorConfiguration",8,"644,594,594",3,"849,55,0,3",,0,2,10,6,5,8,""
"org.axonframework.eventhandling.async.SequencingPolicy","SequencingPolicy",8,"644,594,594",2,"849,55,0,3",,0,2,6,48,15,,""
"org.axonframework.eventhandling.async.SequentialPerAggregatePolicy","SequentialPerAggregatePolicy",12,"644,594,594",2,"1161,113,37,3",,0,2,6,25,3,3,""
"org.axonframework.eventhandling.tokenstore.UnableToClaimTokenException","UnableToClaimTokenException",1,"712,285,801",1,"1249,54,60,0",,0,43,8,34,9,1,""
"org.axonframework.eventhandling.TrackingEventProcessor$State","TrackingEventProcessor$State",9,"506,506,506",9,"506,248,27,30",,0,45,3,30,3,,""
"org.axonframework.eventhandling.TrackingEventProcessor$Worker","TrackingEventProcessor$Worker",9,"506,506,506",9,"506,248,27,30",,0,45,3,50,3,,""
"org.axonframework.eventhandling.TrackingEventStream","TrackingEventStream",9,"1123,506,506",9,"1123,30,27,30",,0,57,8,4,8,2,""
"org.axonframework.eventhandling.async.EventProcessorTask$ShutdownCallback","EventProcessorTask$ShutdownCallback",1,"1145,1149,594",2,"1151,279,37,3",,0,130,4,71,4,1,""
"org.axonframework.eventhandling.TrackingTokenParameterResolverFactory$1","TrackingTokenParameterResolverFactory$1",9,"343,506,506",9,"895,248,27,30",,0,106,3,54,2,1,""
"org.axonframework.eventhandling.TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver","TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver",9,"343,506,506",9,"895,248,27,30",,0,106,5,49,1,6,""
