"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.13.0","params",1,0,0,0,""
"react-router-7.13.0","register",4,0,1,0,""
"react-router-7.13.0","route-data",7,0,6,0,""
"react-router-7.13.0","route-module-annotations",1,0,1,0,""
"react-router-7.13.0","route-module",1,0,3,0,""
"react-router-7.13.0","serializes-to",1,0,1,0,""
"react-router-7.13.0","utils",6,0,1,0,""
"react-router-7.13.0","flatten",1,0,1,0,""
"react-router-7.13.0","turbo-stream",2,0,1,0,""
"react-router-7.13.0","unflatten",1,0,1,0,""
"react-router-7.13.0","utils",24,0,46,0,""
"react-router-7.13.0","defineRoutes",3,0,2,0,""
"react-router-7.13.0","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.13.0","manifest",3,0,4,0,""
"react-router-7.13.0","normalizeSlashes",1,0,1,3,""
"react-router-7.13.0","copy-template",2,0,2,33,""
"react-router-7.13.0","create-react-router",2,0,0,28,""
"react-router-7.13.0","loading-indicator",1,0,1,12,""
"react-router-7.13.0","prompt",1,0,1,2,""
"react-router-7.13.0","prompts-confirm",3,0,1,5,""
"react-router-7.13.0","prompts-multi-select",2,0,1,5,""
"react-router-7.13.0","prompts-prompt-base",2,0,8,14,""
"react-router-7.13.0","prompts-select",3,0,3,6,""
"react-router-7.13.0","prompts-text",2,0,1,8,""
"react-router-7.13.0","utils",28,0,36,29,""
