"artifactName","externalTypePackage","numberOfCaller","numberOfCalls","numberOfAllTypes","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_types_per_artifact_using_requires.cypher"
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.event",9,40,79,"SnapshotChannel,DcbEventChannel$AppendEventsTransaction,DcbEventChannel,AppendEventsTransaction,EventStream,EventChannel,AggregateEventStream",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc.command",8,64,79,"Command$Builder,CommandResponse$Builder,Command,CommandResponse",""
"axon-server-connector-5.1.1","io.axoniq.framework.messaging.queryhandling.distributed",7,24,79,"QueryBusConnector$Handler,QueryBusConnector$UpdateCallback,QueryBusConnector,PayloadConvertingQueryBusConnector",""
"axon-server-connector-5.1.1","io.axoniq.framework.messaging.commandhandling.distributed",6,22,79,"CommandBusConnector$ResultCallback,CommandBusConnector,CommandBusConnector$Handler,PayloadConvertingCommandBusConnector",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.query",6,19,79,"QueryHandler,QueryHandler$UpdateHandler,QueryDefinition,QueryChannel,SubscriptionQueryResult",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc.event",5,31,79,"ConfirmationWithConsistencyMarker,Event,EventWithToken,Event$Builder",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.control",4,5,79,"ProcessorInstructionHandler,ControlChannel",""
"axon-server-connector-5.1.1","io.grpc.stub",2,5,79,"ClientResponseObserver,ClientCallStreamObserver",""
"axon-server-connector-5.1.1","reactor.core.scheduler",2,2,79,"Scheduler,Schedulers",""
"axon-server-connector-5.1.1","org.springframework.boot.context.properties",1,1,79,"ConfigurationProperties",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.impl",1,3,79,"ServerAddress",""
"axon-server-connector-5.1.1","io.grpc.netty.shaded.io.grpc.netty",1,1,79,"GrpcSslContexts",""
"axon-server-connector-5.1.1","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,79,"SslContextBuilder",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.admin",1,3,79,"AdminChannel",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector.command",1,3,79,"CommandChannel",""
"axon-test-5.1.1","org.hamcrest",44,196,79,"TypeSafeMatcher,Matcher,Description,BaseMatcher,StringDescription,CoreMatchers",""
"axon-test-5.1.1","org.junit.jupiter.api.extension",8,28,79,"BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Namespace,ExtensionContext$Store,ExtensionContext,ParameterContext,ParameterResolutionException",""
"axon-test-5.1.1","org.jspecify.annotations",5,5,79,"NullMarked",""
"axon-test-5.1.1","org.slf4j",2,3,79,"Logger,LoggerFactory",""
"axon-test-5.1.1","org.awaitility",1,1,79,"Awaitility",""
"axon-test-5.1.1","org.awaitility.core",1,2,79,"ConditionFactory",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.context.propagation",9,16,6,"TextMapGetter,TextMapPropagator,TextMapSetter,ContextPropagators",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.api.trace",9,47,6,"Tracer,SpanKind,Span,SpanBuilder,SpanContext,StatusCode",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.context",2,7,6,"Context,Scope",""
"axon-tracing-opentelemetry-5.1.1","org.slf4j",2,7,6,"Logger,LoggerFactory",""
"axon-tracing-opentelemetry-5.1.1","org.jspecify.annotations",1,1,6,"NullMarked",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.api",1,2,6,"GlobalOpenTelemetry",""
"axon-update-5.1.1","org.slf4j",14,45,28,"Logger,LoggerFactory",""
"axon-update-5.1.1","org.jspecify.annotations",5,5,28,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure.condition",15,23,26,"ConditionalOnClass,ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnBean",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.actuate.health",7,24,26,"SimpleStatusAggregator,Status,AbstractHealthIndicator,Health$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure",7,7,26,"AutoConfiguration,AutoConfigureBefore",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.context.properties",6,6,26,"ConfigurationProperties,EnableConfigurationProperties",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.context.annotation",6,12,26,"Bean",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.jspecify.annotations",5,5,26,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter",4,15,26,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.testcontainers.service.connection",4,9,26,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",3,12,26,"JdbcSequencedDeadLetterQueue$Builder,DeadLetterSchema,JdbcSequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure.service.connection",3,3,26,"ConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.postgresql",2,2,26,"PostgresqlConfigurationEnhancer,PostgresqlEventStorageEngine",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter.jpa",2,7,26,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.deadletter",2,2,26,"SequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.context",2,4,26,"ApplicationContextAware,ApplicationContext",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.testcontainer",2,6,26,"AxonServerContainer",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.docker.compose.service.connection",2,5,26,"DockerComposeConnectionDetailsFactory,DockerComposeConnectionSource",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.slf4j",2,3,26,"Logger,LoggerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.docker.compose.core",2,5,26,"RunningService,ConnectionPorts",""
"axoniq-spring-boot-autoconfigure-5.1.1","jakarta.persistence",1,3,26,"EntityManagerFactory",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.axonframework.extension.springboot.util",1,1,26,"RegisterDefaultEntities",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.lang",1,1,26,"Nullable",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.axonserver.connector",1,1,26,"AxonServerConnection",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.axonserver.connector.control",1,1,26,"ControlChannel",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.commandhandling.distributed",1,4,26,"DistributedCommandBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.queryhandling.distributed",1,4,26,"DistributedQueryBusConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.beans",1,1,26,"BeansException",""
