"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.springframework.boot.docker.compose.core",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.docker.compose.service.connection",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.testcontainers.service.connection",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.context",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,3,3,3,3,3,0,4.545454545454545,4.545454545454545,4.545454545454545,4.545454545454545,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.context.annotation",1,2,2,2,2,2,0,28.571428571428573,28.571428571428573,28.571428571428573,28.571428571428573,0,5,5,5,5,5,0,7.575757575757576,7.575757575757576,7.575757575757576,7.575757575757576,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.core.io",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.core.type",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.transaction",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.util",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.testcontainers.containers",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"org.testcontainers.containers.wait.strategy",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"org.testcontainers.utility",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"reactor.core.publisher",1,5,5,5,5,5,0,8.771929824561402,8.771929824561402,8.771929824561402,8.771929824561402,0,8,8,8,8,8,0,1.4035087719298245,1.4035087719298245,1.4035087719298245,1.4035087719298245,0,"axon-messaging-5.0.0",""
"reactor.core.scheduler",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"reactor.util.concurrent",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0,"axon-messaging-5.0.0",""
