"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","configuration",84,303,18,6,5,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","monitoring",81,264,34,3,9,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","conversion",72,237,24,3,17,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",65,578,19,2,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","replay",57,110,19,6,7,0,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","annotation",48,90,21,4,4,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","eventsourcing",40,94,16,4,5,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","interception",39,202,21,0,4,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","api",36,243,16,0,9,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","configuration",36,89,14,4,2,1,""
"axon-test-5.1.2","org.axonframework.test.matchers","matchers",35,85,16,0,2,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","configuration",31,71,13,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",27,125,16,0,5,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","sequencing",24,71,18,0,7,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","retry",23,62,12,1,2,0,""
"axon-test-5.1.2","org.axonframework.test.util","util",23,74,10,0,2,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","shared",22,107,13,0,4,0,""
"axon-common-5.1.2","org.axonframework.common.caching","caching",22,92,11,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","annotation",21,47,13,0,6,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","configuration",21,139,12,1,4,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","gateway",20,59,10,1,3,0,""
"axon-common-5.1.2","org.axonframework.common.property","property",19,43,10,0,4,2,""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","avro",19,88,8,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","event",18,71,10,0,2,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","annotation",18,42,9,0,4,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","api",18,82,12,3,7,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","micrometer",18,83,11,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",18,45,13,1,8,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion","conversion",18,54,17,1,12,4,""
"axon-update-5.1.2","org.axonframework.update.api","api",18,98,8,1,3,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","query",17,51,7,0,2,0,""
"axon-common-5.1.2","org.axonframework.common.jdbc","jdbc",17,75,12,0,4,2,""
"axon-common-5.1.2","org.axonframework.common.lock","lock",17,71,7,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","annotation",16,36,12,1,4,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",15,106,8,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",15,92,9,2,3,1,""
"axon-update-5.1.2","org.axonframework.update.configuration","configuration",15,45,9,0,2,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","util",14,55,8,0,4,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing","processing",14,50,11,1,7,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","annotation",13,46,12,1,5,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","correlation",13,41,8,1,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",13,26,8,1,4,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",13,166,8,0,1,0,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","annotation",13,31,10,0,5,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",12,47,6,0,2,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","handler",12,35,5,0,3,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","springboot",11,38,6,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","configuration",11,22,7,1,4,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","configuration",11,22,7,1,4,2,""
"axon-common-5.1.2","org.axonframework.common.tx","tx",10,41,10,1,8,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","configuration",9,32,6,0,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","timeout",9,60,5,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","gateway",9,18,6,0,3,0,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",8,43,5,0,4,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","reflection",8,36,5,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","reflection",8,8,7,0,6,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",8,20,6,0,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","interception",8,32,4,0,2,0,""
"axon-test-5.1.2","org.axonframework.test","test",8,80,8,0,4,0,""
"axon-common-5.1.2","org.axonframework.common.jpa","jpa",7,19,6,0,3,2,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",7,18,7,0,6,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","tracing",7,24,4,0,1,0,""
"axon-update-5.1.2","org.axonframework.update","update",7,27,3,0,1,0,""
"axon-common-5.1.2","org.axonframework.common.function","function",6,13,5,1,5,1,""
"axon-common-5.1.2","org.axonframework.common.util","util",6,14,5,0,4,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","interception",6,19,4,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",6,12,4,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","tracing",6,25,4,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","tracing",6,23,4,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","command",5,17,3,0,2,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","autoconfig",5,11,5,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection","connection",5,13,4,0,2,0,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","jackson",5,10,2,0,2,1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",5,25,2,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",5,28,5,0,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","interception",5,10,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","annotation",5,16,5,1,3,0,""
"axon-test-5.1.2","org.axonframework.test.extension","extension",5,25,3,0,1,0,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","jackson2",4,8,1,0,1,0,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot","springboot",4,12,3,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","configuration",4,20,4,0,4,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","interception",4,11,4,0,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",4,49,2,0,1,0,""
"axon-update-5.1.2","org.axonframework.update.detection","detection",4,7,2,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","command",3,8,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","query",3,6,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",3,10,3,0,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",3,39,2,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","gateway",3,5,2,0,2,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator","actuator",2,2,2,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","axonserver",2,7,1,0,1,0,""
"axon-common-5.1.2","org.axonframework.common.io","io",2,4,2,0,2,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",2,12,2,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","snapshot",1,2,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",1,4,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",1,4,1,0,1,0,""
"axon-update-5.1.2","org.axonframework.update.common","common",1,5,1,0,1,0,""
"axon-server-connector-5.1.2","io","io",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io","io",0,0,0,0,0,-1,""
"axon-server-connector-5.1.2","io.axoniq","axoniq",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq","axoniq",0,0,0,0,0,-1,""
"axon-server-connector-5.1.2","io.axoniq.framework","framework",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework","framework",0,0,0,0,0,-1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver","axonserver",0,0,0,0,0,-1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector","connector",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service","service",0,0,0,0,0,-1,""
"axon-modelling-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-test-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-common-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-update-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org","org",0,0,0,0,0,-1,""
"axon-modelling-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-test-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-update-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.1.2","org.axonframework.common.digest","digest",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","converter",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot","snapshot",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics","metrics",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging","messaging",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry","retry",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection","reflection",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing.attributes","attributes",0,0,0,0,0,-1,""
