"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabel","numberOfUsingPackages","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment","Segment","Class InternalJavaType",6,""
"org.axonframework.messaging.core.sequencing.SequencingPolicy","SequencingPolicy","Interface GenericDeclaration",6,""
"org.axonframework.eventsourcing.snapshot.store.SnapshotStore","SnapshotStore","Interface InternalJavaType",6,""
"org.axonframework.messaging.eventstreaming.StreamingCondition","StreamingCondition","Interface InternalJavaType",6,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork","UnitOfWork","Class InternalJavaType",6,""
"org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector","AnnotatedHandlerInspector","Class GenericDeclaration",5,""
"org.axonframework.messaging.core.annotation.ClasspathHandlerDefinition","ClasspathHandlerDefinition","Class InternalJavaType",5,""
"org.axonframework.messaging.commandhandling.CommandHandlerRegistry","CommandHandlerRegistry","Interface GenericDeclaration",5,""
"org.axonframework.messaging.commandhandling.CommandHandlingComponent","CommandHandlingComponent","Interface InternalJavaType",5,""
"org.axonframework.common.configuration.Component","Component","Interface GenericDeclaration",5,""
"org.axonframework.messaging.core.DelayedMessageStream","DelayedMessageStream","Class GenericDeclaration",5,""
"org.axonframework.modelling.EntityEvolver","EntityEvolver","Interface GenericDeclaration",5,""
"org.axonframework.modelling.EntityIdResolver","EntityIdResolver","Interface GenericDeclaration",5,""
"org.axonframework.modelling.entity.EntityMetamodel","EntityMetamodel","Interface GenericDeclaration",5,""
"org.axonframework.messaging.eventhandling.processing.EventProcessor","EventProcessor","Interface InternalJavaType",5,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine","EventStorageEngine","Interface InternalJavaType",5,""
"org.axonframework.messaging.core.LegacyResources","LegacyResources","Class InternalJavaType",5,""
"org.axonframework.modelling.repository.ManagedEntity","ManagedEntity","Interface GenericDeclaration",5,""
"org.axonframework.messaging.core.MessageHandler","MessageHandler","Interface InternalJavaType",5,""
"org.axonframework.messaging.core.annotation.MessageHandler","MessageHandler","Annotation InternalJavaType",5,""
"org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain","MessageHandlerInterceptorMemberChain","Interface GenericDeclaration",5,""
"org.axonframework.messaging.monitoring.MessageMonitor$MonitorCallback","MessageMonitor$MonitorCallback","Interface InternalJavaType",5,""
"org.axonframework.messaging.core.configuration.reflection.ParameterResolverFactoryUtils","ParameterResolverFactoryUtils","Class InternalJavaType",5,""
"org.axonframework.messaging.queryhandling.QueryBus","QueryBus","Interface InternalJavaType",5,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken","ReplayToken","Class InternalJavaType",5,""
"org.axonframework.messaging.core.SimpleEntry","SimpleEntry","GenericDeclaration Record",5,""
"org.axonframework.eventsourcing.snapshot.api.Snapshot","Snapshot","Record InternalJavaType",5,""
"org.axonframework.common.function.ThrowingFunction","ThrowingFunction","Interface GenericDeclaration",5,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore","TokenStore","Interface InternalJavaType",5,""
"org.axonframework.messaging.core.unitofwork.transaction.TransactionalExecutorProvider","TransactionalExecutorProvider","Interface GenericDeclaration",5,""
"org.axonframework.common.configuration.ApplicationConfigurer","ApplicationConfigurer","Interface InternalJavaType",4,""
"org.axonframework.common.configuration.AxonConfiguration","AxonConfiguration","Interface InternalJavaType",4,""
"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration","AxonServerConfiguration","Class InternalJavaType",4,""
"io.axoniq.framework.axonserver.connector.api.AxonServerConnectionManager","AxonServerConnectionManager","Class InternalJavaType",4,""
"org.axonframework.common.configuration.Component$Identifier","Component$Identifier","GenericDeclaration Record",4,""
"org.axonframework.conversion.ContentTypeConverter","ContentTypeConverter","Interface GenericDeclaration",4,""
"org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain","DefaultMessageDispatchInterceptorChain","Class GenericDeclaration",4,""
"org.axonframework.messaging.eventhandling.DelegatingEventHandlingComponent","DelegatingEventHandlingComponent","Class InternalJavaType",4,""
"org.axonframework.messaging.eventhandling.EventSink","EventSink","Interface InternalJavaType",4,""
"org.axonframework.eventsourcing.EventSourcedEntityFactory","EventSourcedEntityFactory","Interface GenericDeclaration",4,""
"org.axonframework.eventsourcing.eventstore.EventStore","EventStore","Interface InternalJavaType",4,""
"org.axonframework.conversion.GeneralConverter","GeneralConverter","Interface InternalJavaType",4,""
"org.axonframework.messaging.commandhandling.GenericCommandResultMessage","GenericCommandResultMessage","Class InternalJavaType",4,""
"org.axonframework.common.configuration.LifecycleRegistry","LifecycleRegistry","Interface InternalJavaType",4,""
"org.axonframework.messaging.core.MessageDecorator","MessageDecorator","Class InternalJavaType",4,""
"org.axonframework.messaging.monitoring.NoOpMessageMonitor","NoOpMessageMonitor","Enum InternalJavaType",4,""
"org.axonframework.messaging.queryhandling.QueryResponseMessage","QueryResponseMessage","Interface InternalJavaType",4,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatusChanged","ReplayStatusChanged","Interface InternalJavaType",4,""
"org.axonframework.modelling.repository.Repository","Repository","Interface GenericDeclaration",4,""
"org.axonframework.eventsourcing.eventstore.SourcingCondition","SourcingCondition","Interface InternalJavaType",4,""
"org.axonframework.messaging.tracing.Span","Span","Interface InternalJavaType",4,""
"org.axonframework.messaging.tracing.SpanFactory","SpanFactory","Interface InternalJavaType",4,""
"org.axonframework.messaging.eventstreaming.Tag","Tag","Record InternalJavaType",4,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToClaimTokenException","UnableToClaimTokenException","Class Throwable",4,""
"org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition","AggregateSequenceNumberPosition","Class InternalJavaType",3,""
"org.axonframework.eventsourcing.eventstore.AppendCondition","AppendCondition","Interface InternalJavaType",3,""
"org.axonframework.conversion.ChainingContentTypeConverter","ChainingContentTypeConverter","Class InternalJavaType",3,""
"org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule","CommandHandlingModule","Interface InternalJavaType",3,""
"org.axonframework.common.configuration.ComponentDefinition$ComponentCreator","ComponentDefinition$ComponentCreator","Interface GenericDeclaration",3,""
"org.axonframework.common.configuration.ConfigurationExtension","ConfigurationExtension","Interface GenericDeclaration",3,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarker","ConsistencyMarker","Interface InternalJavaType",3,""
"org.axonframework.common.ConstructorUtils","ConstructorUtils","Class InternalJavaType",3,""
"org.axonframework.eventsourcing.CriteriaResolver","CriteriaResolver","Interface GenericDeclaration",3,""
"org.axonframework.common.DateTimeUtils","DateTimeUtils","Class InternalJavaType",3,""
"org.axonframework.messaging.core.interception.DispatchInterceptorRegistry","DispatchInterceptorRegistry","Interface InternalJavaType",3,""
"org.axonframework.modelling.EntityIdResolutionException","EntityIdResolutionException","Class Throwable",3,""
"org.axonframework.modelling.annotation.EntityIdResolverDefinition","EntityIdResolverDefinition","Interface InternalJavaType",3,""
"org.axonframework.modelling.entity.EntityMetamodelBuilder","EntityMetamodelBuilder","Interface GenericDeclaration",3,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorHandler","ErrorHandler","Interface InternalJavaType",3,""
"org.axonframework.messaging.eventhandling.EventBus","EventBus","Interface InternalJavaType",3,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessingConfigurer","EventProcessingConfigurer","Class InternalJavaType",3,""
"org.axonframework.messaging.eventhandling.processing.EventProcessingException","EventProcessingException","Class Throwable",3,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine$AppendTransaction","EventStorageEngine$AppendTransaction","Interface GenericDeclaration",3,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.EventTrackerStatus","EventTrackerStatus","Interface InternalJavaType",3,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils","Class InternalJavaType",3,""
"org.axonframework.common.configuration.ExtensibleConfigurer","ExtensibleConfigurer","Interface InternalJavaType",3,""
"org.axonframework.test.FixtureExecutionException","FixtureExecutionException","Class Throwable",3,""
"org.axonframework.messaging.commandhandling.GenericCommandMessage","GenericCommandMessage","Class InternalJavaType",3,""
"org.axonframework.eventsourcing.eventstore.GlobalIndexPosition","GlobalIndexPosition","Class InternalJavaType",3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken","GlobalSequenceTrackingToken","Class InternalJavaType",3,""
"org.axonframework.messaging.core.HandlerExecutionException","HandlerExecutionException","Class InternalJavaType",3,""
"org.axonframework.messaging.core.annotation.Message","Message","Annotation InternalJavaType",3,""
"org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry","MessageMonitorRegistry","Interface InternalJavaType",3,""
"org.axonframework.messaging.core.configuration.MessagingConfigurer","MessagingConfigurer","Class InternalJavaType",3,""
"io.axoniq.framework.axonserver.connector.shared.MetadataConverter","MetadataConverter","Class InternalJavaType",3,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle","ProcessingLifecycle","Interface InternalJavaType",3,""
"org.axonframework.common.property.Property","Property","Interface GenericDeclaration",3,""
"org.axonframework.common.property.PropertyAccessStrategy","PropertyAccessStrategy","Class InternalJavaType",3,""
"org.axonframework.messaging.queryhandling.QueryHandler","QueryHandler","Interface InternalJavaType",3,""
"org.axonframework.messaging.queryhandling.configuration.QueryHandlingModule","QueryHandlingModule","Interface InternalJavaType",3,""
"org.axonframework.messaging.commandhandling.RoutingStrategy","RoutingStrategy","Interface InternalJavaType",3,""
"org.axonframework.modelling.StateManager","StateManager","Interface InternalJavaType",3,""
"org.axonframework.messaging.core.SubscribableEventSource","SubscribableEventSource","Interface InternalJavaType",3,""
"org.axonframework.eventsourcing.eventstore.TaggedEventMessage","TaggedEventMessage","Interface GenericDeclaration",3,""
"io.axoniq.framework.axonserver.connector.api.TagsConfiguration","TagsConfiguration","Class InternalJavaType",3,""
"org.axonframework.eventsourcing.eventstore.TerminalEventMessage","TerminalEventMessage","Class InternalJavaType",3,""
"org.axonframework.messaging.core.unitofwork.transaction.TransactionManager","TransactionManager","Interface InternalJavaType",3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToInitializeTokenException","UnableToInitializeTokenException","Class Throwable",3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken","WrappedToken","Interface InternalJavaType",3,""
"org.axonframework.messaging.core.AbstractMessageStream","AbstractMessageStream","Class GenericDeclaration",2,""
"org.axonframework.messaging.core.AbstractMessageStream$FetchResult","AbstractMessageStream$FetchResult","Interface GenericDeclaration",2,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker","AggregateBasedConsistencyMarker","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker$AggregateSequencer","AggregateBasedConsistencyMarker$AggregateSequencer","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedEventStorageEngineUtils","AggregateBasedEventStorageEngineUtils","Class InternalJavaType",2,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel","AnnotatedEntityMetamodel","Class GenericDeclaration",2,""
"org.axonframework.eventsourcing.eventstore.AppendEventsTransactionRejectedException","AppendEventsTransactionRejectedException","Class InternalJavaType",2,""
"org.axonframework.messaging.core.ApplicationContext","ApplicationContext","Interface InternalJavaType",2,""
"org.axonframework.update.api.Artifact","Artifact","Record InternalJavaType",2,""
"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration$Eventhandling","AxonServerConfiguration$Eventhandling","Class InternalJavaType",2,""
"org.axonframework.common.AxonThreadFactory","AxonThreadFactory","Class InternalJavaType",2,""
"org.axonframework.conversion.CachingSupplier","CachingSupplier","Class GenericDeclaration",2,""
"org.axonframework.modelling.entity.child.ChildAmbiguityException","ChildAmbiguityException","Class Throwable",2,""
"org.axonframework.common.ClassUtils","ClassUtils","Class InternalJavaType",2,""
"org.axonframework.messaging.core.annotation.ClasspathParameterResolverFactory","ClasspathParameterResolverFactory","Class InternalJavaType",2,""
"org.axonframework.common.util.ClasspathResolver","ClasspathResolver","Class InternalJavaType",2,""
"org.axonframework.common.CollectionUtils","CollectionUtils","Class InternalJavaType",2,""
"org.axonframework.messaging.commandhandling.CommandExecutionException","CommandExecutionException","Class Throwable",2,""
"org.axonframework.messaging.commandhandling.CommandPriorityCalculator","CommandPriorityCalculator","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken","ConfigToken","Class InternalJavaType",2,""
"org.axonframework.messaging.core.ConfigurationApplicationContext","ConfigurationApplicationContext","Class InternalJavaType",2,""
"org.axonframework.messaging.core.correlation.CorrelationDataProvider","CorrelationDataProvider","Interface InternalJavaType",2,""
"org.axonframework.common.configuration.DecoratorDefinition","DecoratorDefinition","Interface GenericDeclaration",2,""
"org.axonframework.common.configuration.DecoratorDefinition$PartialDecoratorDefinition","DecoratorDefinition$PartialDecoratorDefinition","Interface GenericDeclaration",2,""
"org.axonframework.messaging.eventhandling.configuration.DefaultEventHandlingComponentsConfigurer","DefaultEventHandlingComponentsConfigurer","Class InternalJavaType",2,""
"org.axonframework.messaging.core.conversion.DelegatingMessageConverter","DelegatingMessageConverter","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.eventstore.EmptyAppendTransaction","EmptyAppendTransaction","Record InternalJavaType",2,""
"org.axonframework.messaging.core.EmptyApplicationContext","EmptyApplicationContext","Class InternalJavaType",2,""
"org.axonframework.modelling.entity.child.EntityChildMetamodel","EntityChildMetamodel","Interface GenericDeclaration",2,""
"org.axonframework.modelling.entity.EntityCommandHandlingComponent","EntityCommandHandlingComponent","Class GenericDeclaration",2,""
"org.axonframework.common.jpa.EntityManagerProvider","EntityManagerProvider","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.ErrorContext","ErrorContext","Record InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventBusConfigurationDefaults","EventBusConfigurationDefaults","Class InternalJavaType",2,""
"org.axonframework.messaging.eventstreaming.EventCriterion","EventCriterion","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.EventHandler","EventHandler","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.annotation.EventHandler","EventHandler","Annotation InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$CompletePhase","EventHandlingComponentsConfigurer$CompletePhase","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$RequiredComponentPhase","EventHandlingComponentsConfigurer$RequiredComponentPhase","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorConfiguration","EventProcessorConfiguration","Class InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorCustomization","EventProcessorCustomization","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule","EventProcessorModule","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$CustomizationPhase","EventProcessorModule$CustomizationPhase","Interface GenericDeclaration",2,""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule$EventHandlingPhase","EventProcessorModule$EventHandlingPhase","Interface GenericDeclaration",2,""
"org.axonframework.eventsourcing.annotation.EventSourcedEntityFactoryDefinition","EventSourcedEntityFactoryDefinition","Interface GenericDeclaration",2,""
"org.axonframework.eventsourcing.eventstore.EventStoreTransaction","EventStoreTransaction","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventstreaming.EventsCondition","EventsCondition","Interface InternalJavaType",2,""
"io.axoniq.framework.axonserver.connector.shared.ExceptionConverter","ExceptionConverter","Class InternalJavaType",2,""
"org.axonframework.messaging.core.FluxUtils","FluxUtils","Class InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.GenericQueryMessage","GenericQueryMessage","Class InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.GenericQueryResponseMessage","GenericQueryResponseMessage","Class InternalJavaType",2,""
"org.axonframework.messaging.core.GenericResultMessage","GenericResultMessage","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.eventstore.GlobalIndexConsistencyMarker","GlobalIndexConsistencyMarker","Class InternalJavaType",2,""
"org.axonframework.messaging.core.interception.HandlerInterceptorRegistry","HandlerInterceptorRegistry","Interface InternalJavaType",2,""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","HasHandlerAttributes","Annotation InternalJavaType",2,""
"org.axonframework.common.io.IOUtils","IOUtils","Class InternalJavaType",2,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.handler.InitializingEntityEvolver","InitializingEntityEvolver","Class GenericDeclaration",2,""
"org.axonframework.messaging.eventhandling.InterceptingEventBus","InterceptingEventBus","Class InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.interception.InterceptingEventHandlingComponent","InterceptingEventHandlingComponent","Class InternalJavaType",2,""
"org.axonframework.common.configuration.LazyInitializedComponentDefinition","LazyInitializedComponentDefinition","Class GenericDeclaration",2,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken","MergedTrackingToken","Class InternalJavaType",2,""
"org.axonframework.messaging.core.MessageDispatchInterceptorChain","MessageDispatchInterceptorChain","Interface GenericDeclaration",2,""
"org.axonframework.messaging.monitoring.MultiMessageMonitor","MultiMessageMonitor","Class GenericDeclaration",2,""
"org.axonframework.messaging.commandhandling.NoHandlerForCommandException","NoHandlerForCommandException","Class InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration","PooledStreamingEventProcessorConfiguration","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.eventstore.Position","Position","Interface InternalJavaType",2,""
"io.axoniq.framework.axonserver.connector.util.ProcessingInstructionUtils","ProcessingInstructionUtils","Class InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.processing.ProcessorEventHandlingComponents","ProcessorEventHandlingComponents","Class InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.QueryExecutionException","QueryExecutionException","Class InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.QueryHandlingComponent","QueryHandlingComponent","Interface InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.QueryPriorityCalculator","QueryPriorityCalculator","Interface InternalJavaType",2,""
"org.axonframework.common.annotation.RegistrationScope","RegistrationScope","Annotation InternalJavaType",2,""
"org.axonframework.messaging.core.RemoteExceptionDescription","RemoteExceptionDescription","Class InternalJavaType",2,""
"org.axonframework.messaging.core.RemoteHandlingException","RemoteHandlingException","Class InternalJavaType",2,""
"org.axonframework.messaging.core.RemoteNonTransientHandlingException","RemoteNonTransientHandlingException","Class InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatus","ReplayStatus","Enum InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandler","ReplayStatusChangedHandler","Interface InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.replay.ResetHandler","ResetHandler","Interface InternalJavaType",2,""
"org.axonframework.messaging.core.unitofwork.ResourceOverridingProcessingContext","ResourceOverridingProcessingContext","Class GenericDeclaration",2,""
"org.axonframework.messaging.core.ResultMessage","ResultMessage","Interface InternalJavaType",2,""
"org.axonframework.common.configuration.SearchScope","SearchScope","Enum InternalJavaType",2,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequenceCachingEventHandlingComponent","SequenceCachingEventHandlingComponent","Class InternalJavaType",2,""
"org.axonframework.messaging.core.sequencing.SequentialPolicy","SequentialPolicy","Class InternalJavaType",2,""
"org.axonframework.common.lifecycle.ShutdownLatch","ShutdownLatch","Class InternalJavaType",2,""
"org.axonframework.common.lifecycle.ShutdownLatch$ActivityHandle","ShutdownLatch$ActivityHandle","Class InternalJavaType",2,""
"org.axonframework.messaging.commandhandling.SimpleCommandHandlingComponent","SimpleCommandHandlingComponent","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.handler.SimpleEntityLifecycleHandler","SimpleEntityLifecycleHandler","Class GenericDeclaration",2,""
"org.axonframework.messaging.eventhandling.SimpleEventBus","SimpleEventBus","Class InternalJavaType",2,""
"org.axonframework.messaging.queryhandling.SimpleQueryHandlingComponent","SimpleQueryHandlingComponent","Class InternalJavaType",2,""
"org.axonframework.modelling.repository.SimpleRepository","SimpleRepository","Class GenericDeclaration",2,""
"org.axonframework.modelling.repository.SimpleRepositoryEntityLoader","SimpleRepositoryEntityLoader","Interface GenericDeclaration",2,""
"org.axonframework.modelling.repository.SimpleRepositoryEntityPersister","SimpleRepositoryEntityPersister","Interface GenericDeclaration",2,""
"org.axonframework.messaging.core.unitofwork.SimpleUnitOfWorkFactory","SimpleUnitOfWorkFactory","Class InternalJavaType",2,""
"org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy","SnapshotPolicy","Interface InternalJavaType",2,""
