"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,2,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",1,3,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",1,3,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",1,2,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","interception",1,2,1,0,1,0,""
"axon-update-5.1.2","org.axonframework.update.common","common",1,5,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","springboot",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","autoconfig",0,0,0,0,0,-1,""
"axon-common-5.1.2","org.axonframework.common.caching","caching",0,0,0,0,0,-1,""
"axon-common-5.1.2","org.axonframework.common.digest","digest",0,0,0,0,0,-1,""
"axon-common-5.1.2","org.axonframework.common.lock","lock",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","avro",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","converter",0,0,0,0,0,-1,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","jackson2",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","configuration",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","micrometer",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot","springboot",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry","retry",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection","reflection",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","timeout",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing.attributes","attributes",0,0,0,0,0,-1,""
"axon-test-5.1.2","org.axonframework.test","test",0,0,0,0,0,-1,""
"axon-test-5.1.2","org.axonframework.test.extension","extension",0,0,0,0,0,-1,""
"axon-update-5.1.2","org.axonframework.update","update",0,0,0,0,0,-1,""
