"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Instability_for_Java_Including_Subpackages.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing","processing",0.6175040518638574,0.7217391304347827,0.5,0.6206896551724138,0.2857142857142857,381,236,83,32,14,14,18,11,2,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","command",0.625,0.8,0,0.6666666666666666,0,5,3,4,1,0,0,2,1,0,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","query",0.625,0.8,0,0.6666666666666666,1,5,3,4,1,0,0,2,1,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","shared",0.6451612903225806,0.7307692307692307,0,0.7692307692307693,1,20,11,19,7,0,0,10,3,4,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","monitoring",0.6466165413533834,0.6428571428571429,0.5,0.6,0.3333333333333333,86,47,27,15,3,3,9,6,1,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","reflection",0.6666666666666666,0.6,0,0.375,0.5,12,6,9,6,0,0,3,5,1,1,""
"axon-update-5.1.2","org.axonframework.update.configuration","configuration",0.6666666666666666,0.25,1,0.5,0,6,3,1,3,1,0,1,1,0,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","replay",0.6893939393939394,0.7941176470588235,0.45454545454545453,0.6153846153846154,1,91,41,27,7,5,6,8,5,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","correlation",0.6956521739130435,0.75,0.5,0.6,1,16,7,9,3,1,1,3,2,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","configuration",0.6965174129353234,0.8518518518518519,0.5384615384615384,0.8181818181818182,0.5,140,61,46,8,7,6,18,4,1,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","eventstore",0.6972789115646258,0.7530864197530864,0.47058823529411764,0.6785714285714286,0.6666666666666666,205,89,61,20,8,9,19,9,4,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","sequencing",0.7083333333333334,0.6363636363636364,0,0.625,1,34,14,14,8,0,0,10,6,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.7619047619047619,0.5666666666666667,0,0.8181818181818182,0.6666666666666666,48,15,17,13,0,0,9,2,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.7837837837837838,0.631578947368421,0,0.5714285714285714,0.5,29,8,12,7,0,0,8,6,2,2,""
"axon-modelling-5.1.2","org.axonframework.modelling","modelling",0.8091286307053942,0.7804878048780488,0.5227272727272727,0.76,0.6666666666666666,390,92,64,18,23,21,19,6,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","annotation",0.8363636363636363,0.7931034482758621,0,0.5,0.5,46,9,23,6,0,0,5,5,1,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","entity",0.8541666666666666,0.8275862068965517,0.55,0.7727272727272727,0.75,287,49,48,10,11,9,17,5,3,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","eventsourcing",0.8555045871559633,0.8859649122807017,0.7083333333333334,0.8611111111111112,0.75,373,63,101,13,17,7,31,5,3,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","snapshot",0.8571428571428571,0.8571428571428571,0,0.8333333333333334,1,6,1,6,1,0,0,5,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","gateway",0.8666666666666667,0.8,1,0.75,1,26,4,12,3,1,0,6,2,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","gateway",0.8717948717948718,0.8421052631578947,0.6666666666666666,0.7777777777777778,1,34,5,16,3,2,1,7,2,2,0,""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","configuration",0.8767123287671232,0.8787878787878788,0.6,0.9,1,64,9,29,4,6,4,9,1,2,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","handler",0.8867924528301887,0.9310344827586207,1,0.8666666666666667,1,47,6,27,2,1,0,13,2,4,0,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","annotation",0.8867924528301887,0.8648648648648649,0,0.75,0.6666666666666666,47,6,32,5,0,0,12,4,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",0.8888888888888888,0.875,0,0.875,1,8,1,7,1,0,0,7,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","configuration",0.8947368421052632,0.8333333333333334,0.5,0.75,0.5,51,6,20,4,1,1,9,3,1,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","annotation",0.896551724137931,0.9259259259259259,0,0.875,1,52,6,25,2,0,0,14,2,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","gateway",0.9,0.9411764705882353,0,0.8333333333333334,1,18,2,16,1,0,0,5,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","interception",0.900523560209424,0.7962962962962963,1,0.5789473684210527,0.3333333333333333,172,19,43,11,2,0,11,8,1,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","interception",0.9090909090909091,0.9375,0,0.8571428571428571,0,50,5,15,1,0,0,6,1,0,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.9166666666666666,0.9,0,0.8333333333333334,1,11,1,9,1,0,0,5,1,1,0,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","jackson",0.9230769230769231,0.8571428571428571,0,0.75,1,12,1,6,1,0,0,3,1,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","configuration",0.9259259259259259,0.9259259259259259,0,0.9166666666666666,1,25,2,25,2,0,0,11,1,4,0,""
"axon-test-5.1.2","org.axonframework.test.util","util",0.9259259259259259,0.9411764705882353,1,0.875,1,25,2,16,1,1,0,7,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","configuration",0.9285714285714286,0.8695652173913043,0.75,0.7,0.3333333333333333,39,3,20,3,3,1,7,3,1,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","configuration",0.9285714285714286,0.8695652173913043,0.75,0.7,0.3333333333333333,39,3,20,3,3,1,7,3,1,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","annotation",0.9298245614035088,0.9,0.5,0.75,0.5,53,4,36,4,1,1,12,4,1,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","interception",0.9310344827586207,0.8571428571428571,0,0.7142857142857143,1,27,2,12,2,0,0,5,2,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","retry",0.9333333333333333,0.9090909090909091,0.5,0.8,1,28,2,10,1,1,1,4,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.9333333333333333,0.9230769230769231,0.5,0.8666666666666667,0.5,84,6,48,4,2,2,13,2,1,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","annotation",0.9346733668341709,0.9245283018867925,0.5555555555555556,0.8571428571428571,0.75,186,13,49,4,5,4,18,3,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","configuration",0.9385964912280702,0.9230769230769231,0,0.8,0.5,107,7,84,7,0,0,28,7,2,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",0.9523809523809523,0.9333333333333333,0,0.8888888888888888,1,20,1,14,1,0,0,8,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","annotation",0.9523809523809523,0.9375,0.5,0.8333333333333334,1,40,2,30,2,1,1,10,2,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","command",0.9615384615384616,0.9545454545454546,0,0.9230769230769231,1,25,1,21,1,0,0,12,1,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","annotation",0.9620253164556962,0.9347826086956522,0.5,0.8235294117647058,0.5,76,3,43,3,1,1,14,3,1,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","interception",0.9655172413793104,0.9545454545454546,0,0.875,1,56,2,21,1,0,0,7,1,1,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","reflection",0.9696969696969697,0.9473684210526315,0,0.9090909090909091,1,32,1,18,1,0,0,10,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.973384030418251,0.9634146341463414,0.5,0.9090909090909091,0.6666666666666666,256,7,79,3,2,2,20,2,2,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.9795918367346939,0.9615384615384616,0,0.875,1,48,1,25,1,0,0,7,1,2,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","query",0.9818181818181818,0.967741935483871,0,0.9230769230769231,1,54,1,30,1,0,0,12,1,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","interception",0.984375,0.95,0,0.8333333333333334,1,63,1,19,1,0,0,5,1,1,0,""
"axon-test-5.1.2","org.axonframework.test.fixture","fixture",0.9857142857142858,0.9555555555555556,0.9,0.9375,1,138,2,43,2,9,1,15,1,3,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","event",0.9861111111111112,0.9833333333333333,0,0.9473684210526315,1,142,2,59,1,0,0,18,1,3,0,""
