"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/config,@react-router/flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin",""
"rollup",2,16,8,8,8,8,0,5,2,3,2.5,2.5,0.7071067811865476,1.4705882352941178,2.2058823529411766,1.8382352941176472,1.8382352941176472,0.5199314567548144,"@react-router/vite,@react-router/plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"prompts-select",""
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/run",""
"chalk",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"utils",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/commands",""
"inspector",1,4,4,4,4,4,0,3,3,3,3,3,0,2.2058823529411766,2.2058823529411766,2.2058823529411766,2.2058823529411766,0,"@react-router/profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/config",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"prompts-prompt-base",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.4705882352941178,0,"@react-router/vite-node",""
