"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"prompts-prompt-base","sisteransi",3,30,2,14,6,700,"beep,cursor,cursor.show",""
"prompts-prompt-base","node:process",2,60,2,14,6,700,"node:process",""
"prompts-prompt-base","readline",2,20,2,14,6,700,"Interface.close,Key",""
"prompts-prompt-base","@types/events",1,1,2,14,6,700,"EventEmitter",""
"vite-node","node",8,9,2,13,4,650,"PluginContainer.buildStart,Logger,ResolvedConfig.root,ViteDevServer.pluginContainer,ResolvedConfig.base,createServer,ViteDevServer.config,ViteDevServer",""
"vite-node","server",4,4,2,13,4,650,"ViteNodeServer.resolveId,ViteNodeServer.fetchModule,ViteNodeServer.getSourceMap,ViteNodeServer",""
"vite-node","dist",1,1,2,13,4,650,"ViteNodeRunner",""
"useJavascript","@babel/lib",2,2,1,6,5,600,"lib",""
"useJavascript","@types/babel__core",2,3,1,6,5,600,"BabelFileResult.code,transformSync",""
"useJavascript","prettier",2,2,1,6,5,600,"prettier,format",""
"arcTableSessionStorage","@architect/tables",3,5,1,5,2,500,"ArcTable.delete,ArcTable.get,ArcTable.put",""
"arcTableSessionStorage","@architect/functions",2,2,1,5,2,500,"tables,functions",""
"is-react-router-repo","dist",4,6,1,5,2,500,"path.dirname,dist,path.basename,path.resolve",""
"is-react-router-repo","@types/globals",1,1,1,5,2,500,"global.NodeRequire.resolve",""
"react-router-fs-routes","@types/path",2,2,1,5,3,500,"path.PlatformPath.relative,path.PlatformPath.resolve",""
"react-router-fs-routes","node:fs",2,2,1,5,3,500,"node:fs,.existsSync",""
"react-router-fs-routes","node:path",1,2,1,5,3,500,"node:path",""
"resolve-file-url","@types/path",4,4,1,5,2,500,"path.PlatformPath.isAbsolute,path.PlatformPath.relative,path.PlatformPath.join,path.PlatformPath.posix",""
"resolve-file-url","node",1,2,1,5,2,500,"normalizePath",""
"fileStorage","promises",4,7,2,9,5,450,".readFile,.unlink,.writeFile,.mkdir",""
"fileStorage","@types/buffer",2,2,2,9,5,450,"global.Buffer.toString,global.BufferConstructor.from",""
"fileStorage","@types/path",2,3,2,9,5,450,"path.PlatformPath.join,path.PlatformPath.dirname",""
"fileStorage","node:fs",1,7,2,9,5,450,"promises",""
"load-dotenv","node",3,3,1,4,3,400,"UserConfig.envDir,loadEnv,UserConfig",""
"load-dotenv","@types/process",1,1,1,4,3,400,"global.NodeJS.Process.env",""
"prompts-text","sisteransi",7,70,2,8,2,400,"cursor.save,cursor.down,erase.line,erase,cursor.to,cursor.restore,cursor.move",""
"prompts-text","readline",1,10,2,8,2,400,"Key",""
"workersKVStorage","@cloudflare/workers-types",4,6,1,4,1,400,"KVNamespace.put,KVNamespace.delete,Crypto.getRandomValues,KVNamespace.get",""
"react-router-cloudflare","@cloudflare/workers-types",26,34,6,22,2,366.6666666666667,"EventContext.waitUntil,Request.cf,EventContext.passThroughOnException,EventContext.request,Response,EventContext,Request,CacheStorage,IncomingRequestCfProperties,CfProperties,Response.status,Request.url,Console.error,Request.headers,Response.body,EventContext.env,Headers.delete,Request.clone,KVNamespace.put,KVNamespace.delete,Crypto.getRandomValues,KVNamespace.get",""
