"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_90_Summary.cypher"
"org.axonframework.modelling.configuration","configuration",0.1673469387755102,0.16663772691397002,0,0,0.008130081300813009,0.008130081300813009,0.009370169194655968,0.05532306016338677,36,585,""
"org.axonframework.modelling.repository","repository",0.29351329690165195,0.2672674547074658,49.83333333333333,0,0.11382113821138211,0.0886441122475741,0.045736176101258096,0.08828423856885391,98,56,""
"io.axoniq.framework.springboot","springboot",0.18096428571428574,0.1784202178280639,0,0,0.008130081300813009,0.008130081300813009,0.0016196511727222627,0.0020441540771848525,11,6,""
"io.axoniq.framework.springboot.service.connection","connection",0.1518214285714286,0.1516717775192979,0,0,0.008130081300813009,0.008130081300813009,0.0016196511727222627,0,5,4,""
"io.axoniq.framework.springboot.actuator","actuator",0.20533500000000005,0.1744000536202405,0,0,0.012195121951219513,0.01084010840108401,0.00011736627417805559,0,2,0,""
"io.axoniq.framework.springboot.actuator.axonserver","axonserver",0.16275000000000003,0.16170244263508515,3,0,0.008130081300813009,0.008130081300813009,0.0016196511727222627,0.002050870659846127,2,3,""
"io.axoniq.framework.springboot.autoconfig","autoconfig",0.15000000000000002,0.15000000000000002,0,2.389999999999999,0,0,0,0.028301955502840103,5,135,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.049754019713827924,5,37,""
"org.axonframework.common","common",11.60540778191177,6.034603518270907,0,0,0.7845528455284553,0.7057959611854183,0.41605542899167947,0,978,31,""
"org.axonframework.common.io","io",0.45595336162369127,0.20493712836799283,0,0,0.22804878048780486,0.21190009684030356,0.009142790177919238,0,2,0,""
"org.axonframework.common.annotation","annotation",2.6579651568246065,1.4963911969729176,16.333333333333336,0,0.6829268292682927,0.6083745151177001,0.3542052726433632,0.023809826971716342,4347,5,""
"org.axonframework.common.jdbc","jdbc",0.20986927978868716,0.1940542275841737,1,0,0.028455284552845527,0.02601626016260163,0.01865962408119831,0.04706973022986694,17,22,""
"org.axonframework.common.util","util",0.3579044382745331,0.2590379289793503,95,0,0.30284552845528456,0.28062482872019734,0.013226271184868459,0.0005232193525332371,6,3,""
"org.axonframework.common.property","property",0.17453264443965433,0.1691695228510054,0,0,0.2658536585365854,0.24144915133361858,0.025274844349156826,0.023809826971716342,19,15,""
"org.axonframework.common.caching","caching",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,22,43,""
"org.axonframework.common.tx","tx",0.18229217879573092,0.17260554311595544,91.75,0,0.2834688346883469,0.2468639119380885,0.03663189843259182,0.021163549977917497,10,6,""
"org.axonframework.common.digest","digest",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,0,1,""
"org.axonframework.common.infra","infra",0.7695330364715046,0.5346075214912086,39.34285714285714,0,0.5691056910569106,0.48292682926829267,0.2990653066694544,0.03419462683961886,1363,27,""
"org.axonframework.common.lifecycle","lifecycle",0.23095306993584536,0.21363974250648973,1.1428571428571428,0,0.32588075880758804,0.30449742699674187,0.01923958210822934,0.023809826971716342,8,4,""
"org.axonframework.common.lock","lock",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.023809826971716342,17,21,""
"org.axonframework.common.jpa","jpa",0.19491556122448983,0.1834113799680355,2.25,0,0.02032520325203252,0.01829268292682927,0.013885274398281888,0.04706973022986694,7,14,""
"org.axonframework.common.configuration","configuration",1.4005182591360479,0.9411632605884734,103.14285714285714,0,0.5203252032520326,0.4659820282413351,0.1814650887285075,0.062295926333434753,3499,362,""
"org.axonframework.common.function","function",0.24399225634532853,0.1769849763494735,0,0,0.2238482384823848,0.1925826344877622,0.015608832915194918,0,6,0,""
"org.axonframework.extension.metrics.micrometer","micrometer",0.21375000000000002,0.16542439024390246,32.857142857142854,0,0.008130081300813009,0.008130081300813009,0.000596249217309006,0.09551099255243241,18,232,""
"org.axonframework.extension.metrics.micrometer.springboot","springboot",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.010418921741352297,4,11,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0.18254104477611943,0.17303013415305316,0,0,0.012195121951219513,0.01084010840108401,0.0054658587488730535,0,2,0,""
"org.axonframework.messaging.monitoring","monitoring",0.28836204507972185,0.2626379814228981,62.25,0,0.09485094850948511,0.08005003126954348,0.05995763809008015,0.05794945955421645,81,22,""
"org.axonframework.messaging.monitoring.interception","interception",0.1576954088913398,0.1573220085973788,0,0,0.03143631436314363,0.025328330206378986,0.00798790378251465,0.07952222578482977,5,500,""
"org.axonframework.messaging.monitoring.configuration","configuration",0.17848398250168782,0.17374598516934228,4.75,0,0.0521680216802168,0.04277129727819017,0.02269306172432945,0.128652538302622,21,439,""
"org.axonframework.messaging.commandhandling","commandhandling",0.6343112877526534,0.5464869187742107,31.666666666666664,0,0.39051490514905146,0.2978991294337722,0.16127500885812598,0.09789785794279415,1148,297,""
"org.axonframework.messaging.commandhandling.annotation","annotation",0.16582404774402984,0.1628789037746348,241.0095238095238,0,0.287940379403794,0.26298907520325204,0.029058117094944914,0.14730707476161434,13,437,""
"org.axonframework.messaging.commandhandling.interception","interception",0.1530781635565359,0.15292880343895152,0,0,0.03143631436314363,0.025328330206378986,0.00798790378251465,0.12032478084796026,6,499,""
"org.axonframework.messaging.commandhandling.gateway","gateway",0.15641043790755488,0.15592076782178393,0.3333333333333333,0,0.2181571815718157,0.19977805119297484,0.016417924682094985,0.10997190928633253,20,191,""
"org.axonframework.messaging.commandhandling.retry","retry",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.09783401542355682,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.09854754142570724,7,156,""
"org.axonframework.messaging.commandhandling.configuration","configuration",0.15000000000000002,0.15000000000000002,28.466666666666665,0,0.039566395663956644,0.0274390243902439,0.02052407538513928,0.08413250931694934,11,292,""
"org.axonframework.messaging.eventhandling","eventhandling",0.8977769206903278,0.6270716432965614,82.33333333333333,0,0.5176151761517614,0.45184700169149344,0.26330905840368585,0.12344040891416352,3260,699,""
"org.axonframework.messaging.eventhandling.annotation","annotation",0.17096051565180612,0.1665460285374868,241.35238095238097,0,0.2886178861788618,0.26716350496838304,0.02096292340508977,0.15714832533819384,16,642,""
"org.axonframework.messaging.eventhandling.replay","replay",0.2523021625475067,0.22495507563249523,85.11666666666667,0,0.3326558265582656,0.3032666813154618,0.04772842305822817,0.12224119928536294,57,197,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.10891386577832618,6,159,""
"org.axonframework.messaging.eventhandling.interception","interception",0.15345991090355088,0.15325984139024126,4.333333333333333,0,0.03861788617886179,0.0313588850174216,0.01841440424198456,0.09981323510538564,4,218,""
"org.axonframework.messaging.eventhandling.gateway","gateway",0.15284823797759486,0.15267160469278948,2.5428571428571427,0,0.21829268292682924,0.20097075597621647,0.016981115202121456,0.12362306207710198,9,126,""
"org.axonframework.messaging.eventhandling.conversion","conversion",0.16819484620421105,0.1667947449654971,57.05000000000001,0,0.2997289972899729,0.24843248432484327,0.08880024738765761,0.06845142547014287,18,35,""
"org.axonframework.messaging.eventhandling.processing","processing",0.24118396990265775,0.19792728335527965,41.452380952380956,0,0.07994579945799458,0.06869918699186993,0.045992791200547486,0.13554214545711665,14,222,""
"org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.15374379141241695,0.15363165443249183,15.833333333333332,0,0.03861788617886179,0.0313588850174216,0.01948003496653064,0.0158932807278263,5,16,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.6339864541655428,0.4851073150212164,96.66666666666666,0,0.3369918699186992,0.2609504002016765,0.10692909102847636,0.05833370757953576,469,19,""
