"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_type.cypher"
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","DeadLetterQueueAutoConfiguration",6,15,5,6,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,io.axoniq.framework.messaging.eventhandling.deadletter,org.springframework.boot.autoconfigure.condition,org.springframework.boot.context.properties","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.context.annotation.Bean,io.axoniq.framework.messaging.eventhandling.deadletter.SequencedDeadLetterQueueFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.boot.context.properties.EnableConfigurationProperties,io.axoniq.framework.messaging.eventhandling.deadletter.DeadLetterQueueConfiguration","autoconfig","io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","SpecificRecordBaseConverterStrategy",7,24,4,7,"org.apache.avro.message,org.apache.avro.specific,org.apache.avro.generic,org.apache.avro","org.apache.avro.message.SchemaStore,org.apache.avro.specific.SpecificRecordBase,org.apache.avro.message.BinaryMessageEncoder,org.apache.avro.specific.SpecificData,org.apache.avro.message.BinaryMessageDecoder,org.apache.avro.generic.GenericRecord,org.apache.avro.AvroRuntimeException","avro","org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","AvroUtil",15,53,4,15,"org.apache.avro.specific,org.apache.avro,org.apache.avro.generic,org.apache.avro.message","org.apache.avro.specific.SpecificRecordBase,org.apache.avro.specific.SpecificData,org.apache.avro.SchemaCompatibility$SchemaPairCompatibility,org.apache.avro.SchemaCompatibility$SchemaCompatibilityResult,org.apache.avro.SchemaCompatibility$SchemaCompatibilityType,org.apache.avro.SchemaCompatibility$Incompatibility,org.apache.avro.SchemaCompatibility$SchemaIncompatibilityType,org.apache.avro.generic.GenericData,org.apache.avro.Schema,org.apache.avro.SchemaNormalization,org.apache.avro.SchemaCompatibility,org.apache.avro.AvroRuntimeException,org.apache.avro.InvalidAvroMagicException,org.apache.avro.InvalidNumberEncodingException,org.apache.avro.message.BadHeaderException","avro","org.axonframework.conversion.avro.AvroUtil",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","JacksonConverter",7,35,4,7,"tools.jackson.databind,tools.jackson.databind.json,org.slf4j,tools.jackson.core","tools.jackson.databind.ObjectMapper,tools.jackson.databind.json.JsonMapper$Builder,org.slf4j.Logger,tools.jackson.databind.json.JsonMapper,tools.jackson.databind.JavaType,org.slf4j.LoggerFactory,tools.jackson.core.JacksonException","jackson","org.axonframework.conversion.jackson.JacksonConverter",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","AxonServerConfigurationEnhancer",6,28,4,6,"io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,io.axoniq.framework.messaging.commandhandling.distributed,io.axoniq.framework.messaging.queryhandling.distributed","io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.framework.messaging.commandhandling.distributed.CommandBusConnector,io.axoniq.framework.messaging.queryhandling.distributed.QueryBusConnector,io.axoniq.framework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector,io.axoniq.framework.messaging.commandhandling.distributed.PayloadConvertingCommandBusConnector","configuration","io.axoniq.framework.axonserver.connector.configuration.AxonServerConfigurationEnhancer",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","AxonServerEventStorageEngine",10,39,4,10,"io.axoniq.axonserver.connector,org.slf4j,io.axoniq.axonserver.connector.event,io.axoniq.axonserver.grpc.event.dcb","io.axoniq.axonserver.connector.AxonServerConnection,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.event.DcbEventChannel$AppendEventsTransaction,io.axoniq.axonserver.connector.event.DcbEventChannel,io.axoniq.axonserver.grpc.event.dcb.GetSequenceAtResponse,io.axoniq.axonserver.grpc.event.dcb.GetHeadResponse,io.axoniq.axonserver.grpc.event.dcb.GetTailResponse,io.axoniq.axonserver.grpc.event.dcb.TaggedEvent,io.axoniq.axonserver.grpc.event.dcb.Event","event","io.axoniq.framework.axonserver.connector.event.AxonServerEventStorageEngine",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","AxonServerQueryBusConnector",9,34,4,9,"io.axoniq.axonserver.connector,org.slf4j,io.axoniq.framework.messaging.queryhandling.distributed,io.axoniq.axonserver.connector.query","io.axoniq.axonserver.connector.AxonServerConnection,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.Registration,io.axoniq.framework.messaging.queryhandling.distributed.QueryBusConnector$Handler,io.axoniq.framework.messaging.queryhandling.distributed.QueryBusConnector,io.axoniq.axonserver.connector.query.QueryDefinition,io.axoniq.axonserver.connector.query.QueryChannel,io.axoniq.axonserver.connector.query.SubscriptionQueryResult","query","io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","AxonServerQueryBusConnector$LocalSegmentAdapter",10,20,4,10,"io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.query,io.axoniq.axonserver.connector.query,io.axoniq.framework.messaging.queryhandling.distributed","io.axoniq.axonserver.connector.Registration,io.axoniq.axonserver.grpc.query.QueryResponse,io.axoniq.axonserver.connector.query.QueryHandler,io.axoniq.framework.messaging.queryhandling.distributed.QueryBusConnector$Handler,io.axoniq.axonserver.connector.query.QueryHandler$UpdateHandler,io.axoniq.framework.messaging.queryhandling.distributed.QueryBusConnector$UpdateCallback,io.axoniq.axonserver.grpc.query.QueryRequest,io.axoniq.axonserver.connector.ReplyChannel,io.axoniq.axonserver.connector.FlowControl,io.axoniq.axonserver.grpc.query.SubscriptionQuery","query","io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector$LocalSegmentAdapter",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","AxonServerActuatorAutoConfiguration",6,8,4,6,"org.springframework.boot.actuate.health,org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation","org.springframework.boot.actuate.health.SimpleStatusAggregator,org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.context.annotation.Bean","autoconfig","io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","AxonServerDockerComposeConnectionDetailsFactory",7,14,4,7,"org.springframework.boot.autoconfigure.service.connection,org.springframework.boot.docker.compose.service.connection,org.slf4j,org.springframework.boot.docker.compose.core","org.springframework.boot.autoconfigure.service.connection.ConnectionDetails,org.springframework.boot.docker.compose.service.connection.DockerComposeConnectionDetailsFactory,org.slf4j.Logger,org.springframework.boot.docker.compose.service.connection.DockerComposeConnectionSource,org.springframework.boot.docker.compose.core.RunningService,org.springframework.boot.docker.compose.core.ConnectionPorts,org.slf4j.LoggerFactory","connection","io.axoniq.framework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory",""
"axon-common-5.1.1","org.axonframework.common.caching","EhCacheAdapter",6,23,3,6,"org.ehcache.core,org.ehcache.event,org.ehcache.config","org.ehcache.core.Ehcache,org.ehcache.event.EventOrdering,org.ehcache.event.EventFiring,org.ehcache.config.CacheRuntimeConfiguration,org.ehcache.event.CacheEventListener,org.ehcache.event.EventType","caching","org.axonframework.common.caching.EhCacheAdapter",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","AvroConverter",4,14,3,4,"org.slf4j,org.apache.avro.message,org.apache.avro.generic","org.slf4j.Logger,org.slf4j.LoggerFactory,org.apache.avro.message.SchemaStore,org.apache.avro.generic.GenericRecord","avro","org.axonframework.conversion.avro.AvroConverter",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","ByteArrayToGenericRecordConverter",4,15,3,4,"org.apache.avro.io,org.apache.avro.generic,org.apache.avro.message","org.apache.avro.io.DecoderFactory,org.apache.avro.generic.GenericDatumReader,org.apache.avro.message.SchemaStore,org.apache.avro.generic.GenericRecord","avro","org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway","DefaultQueryGateway",4,14,3,4,"reactor.core.publisher,org.reactivestreams,reactor.util.concurrent","reactor.core.publisher.Flux,org.reactivestreams.Publisher,reactor.core.publisher.Mono,reactor.util.concurrent.Queues","gateway","org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","CommandConverter",9,69,3,9,"com.google.protobuf,io.axoniq.axonserver.grpc,io.axoniq.axonserver.grpc.command","com.google.protobuf.ByteString,io.axoniq.axonserver.grpc.SerializedObject$Builder,io.axoniq.axonserver.grpc.SerializedObject,io.axoniq.axonserver.grpc.command.Command$Builder,io.axoniq.axonserver.grpc.command.CommandResponse$Builder,io.axoniq.axonserver.grpc.ProcessingInstruction$Builder,io.axoniq.axonserver.grpc.command.Command,io.axoniq.axonserver.grpc.command.CommandResponse,io.axoniq.axonserver.grpc.ProcessingKey","command","io.axoniq.framework.axonserver.connector.command.CommandConverter",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","AxonServerCommandBusConnector$FutureResultCallback",4,13,3,4,"org.slf4j,io.axoniq.axonserver.grpc.command,io.axoniq.framework.messaging.commandhandling.distributed","org.slf4j.Logger,io.axoniq.axonserver.grpc.command.Command,io.axoniq.axonserver.grpc.command.CommandResponse,io.axoniq.framework.messaging.commandhandling.distributed.CommandBusConnector$ResultCallback","command","io.axoniq.framework.axonserver.connector.command.AxonServerCommandBusConnector$FutureResultCallback",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine$1",5,11,3,5,"io.grpc,io.axoniq.axonserver.connector.event,io.axoniq.axonserver.grpc.event","io.grpc.Status$Code,io.grpc.StatusRuntimeException,io.grpc.Status,io.axoniq.axonserver.connector.event.AppendEventsTransaction,io.axoniq.axonserver.grpc.event.ConfirmationWithConsistencyMarker","event","io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","StreamingEventMessageStream",5,23,3,5,"org.slf4j,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.event.dcb","org.slf4j.Logger,io.axoniq.axonserver.connector.ResultStream,io.axoniq.axonserver.grpc.event.dcb.SequencedEvent,org.slf4j.LoggerFactory,io.axoniq.axonserver.grpc.event.dcb.StreamEventsResponse","event","io.axoniq.framework.axonserver.connector.event.StreamingEventMessageStream",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","AxonServerEventStorageEngine$AxonServerAppendTransaction",3,14,3,3,"org.slf4j,io.axoniq.axonserver.connector.event,io.axoniq.axonserver.grpc.event.dcb","org.slf4j.Logger,io.axoniq.axonserver.connector.event.DcbEventChannel$AppendEventsTransaction,io.axoniq.axonserver.grpc.event.dcb.AppendEventsResponse","event","io.axoniq.framework.axonserver.connector.event.AxonServerEventStorageEngine$AxonServerAppendTransaction",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","SourcingEventMessageStream",5,29,3,5,"org.slf4j,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.event.dcb","org.slf4j.Logger,io.axoniq.axonserver.connector.ResultStream,io.axoniq.axonserver.grpc.event.dcb.SourceEventsResponse,io.axoniq.axonserver.grpc.event.dcb.SequencedEvent,org.slf4j.LoggerFactory","event","io.axoniq.framework.axonserver.connector.event.SourcingEventMessageStream",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","QueryConverter",14,104,3,14,"com.google.protobuf,io.axoniq.axonserver.grpc,io.axoniq.axonserver.grpc.query","com.google.protobuf.ByteString,io.axoniq.axonserver.grpc.MetaDataValue$Builder,io.axoniq.axonserver.grpc.SerializedObject$Builder,io.axoniq.axonserver.grpc.MetaDataValue,io.axoniq.axonserver.grpc.SerializedObject,io.axoniq.axonserver.grpc.ProcessingInstruction$Builder,io.axoniq.axonserver.grpc.ProcessingKey,io.axoniq.axonserver.grpc.query.QueryUpdate,io.axoniq.axonserver.grpc.query.QueryResponse,io.axoniq.axonserver.grpc.query.QueryRequest,io.axoniq.axonserver.grpc.query.SubscriptionQuery,io.axoniq.axonserver.grpc.query.QueryResponse$Builder,io.axoniq.axonserver.grpc.query.QueryRequest$Builder,io.axoniq.axonserver.grpc.query.QueryUpdate$Builder","query","io.axoniq.framework.axonserver.connector.query.QueryConverter",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","GrpcMessageSizeInterceptor$1",6,15,3,6,"org.slf4j,io.grpc,com.google.protobuf","org.slf4j.Logger,io.grpc.Metadata,io.grpc.ClientCall$Listener,com.google.protobuf.MessageLite,io.grpc.ForwardingClientCall$SimpleForwardingClientCall,io.grpc.ClientCall","util","io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","GrpcMessageSizeInterceptor$1$1",4,12,3,4,"org.slf4j,io.grpc,com.google.protobuf","org.slf4j.Logger,io.grpc.ForwardingClientCallListener$SimpleForwardingClientCallListener,io.grpc.ClientCall$Listener,com.google.protobuf.MessageLite","util","io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1",""
"axon-test-5.1.1","org.axonframework.test.fixture","AxonTestThenMessage",3,4,3,3,"org.hamcrest,org.awaitility,org.awaitility.core","org.hamcrest.Matcher,org.awaitility.Awaitility,org.awaitility.core.ConditionFactory","fixture","org.axonframework.test.fixture.AxonTestThenMessage",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpanFactory$Builder",6,11,3,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,io.opentelemetry.api","io.opentelemetry.context.propagation.TextMapGetter,io.opentelemetry.api.trace.Tracer,io.opentelemetry.context.propagation.TextMapPropagator,io.opentelemetry.context.propagation.TextMapSetter,io.opentelemetry.api.GlobalOpenTelemetry,io.opentelemetry.context.propagation.ContextPropagators","opentelemetry","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpanFactory",8,41,3,8,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,io.opentelemetry.context","io.opentelemetry.context.propagation.TextMapGetter,io.opentelemetry.api.trace.Tracer,io.opentelemetry.context.propagation.TextMapPropagator,io.opentelemetry.context.propagation.TextMapSetter,io.opentelemetry.context.Context,io.opentelemetry.api.trace.SpanKind,io.opentelemetry.api.trace.Span,io.opentelemetry.api.trace.SpanBuilder","opentelemetry","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpan",7,25,3,7,"io.opentelemetry.api.trace,org.slf4j,io.opentelemetry.context","io.opentelemetry.api.trace.Span,io.opentelemetry.api.trace.SpanBuilder,org.slf4j.Logger,io.opentelemetry.context.Scope,io.opentelemetry.api.trace.SpanContext,io.opentelemetry.api.trace.StatusCode,org.slf4j.LoggerFactory","opentelemetry","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","AxonServerTestContainerConnectionDetailsFactory",4,8,3,4,"org.springframework.boot.autoconfigure.service.connection,org.springframework.boot.testcontainers.service.connection,io.axoniq.framework.testcontainer","org.springframework.boot.autoconfigure.service.connection.ConnectionDetails,org.springframework.boot.testcontainers.service.connection.ContainerConnectionDetailsFactory,io.axoniq.framework.testcontainer.AxonServerContainer,org.springframework.boot.testcontainers.service.connection.ContainerConnectionSource","connection","io.axoniq.framework.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory",""
"axon-common-5.1.1","org.axonframework.common.caching","JCacheAdapter",2,18,2,2,"javax.cache.configuration,javax.cache","javax.cache.configuration.CacheEntryListenerConfiguration,javax.cache.Cache","caching","org.axonframework.common.caching.JCacheAdapter",""
"axon-common-5.1.1","org.axonframework.common.caching","JCacheAdapter$JCacheListenerAdapter",10,30,2,10,"javax.cache.configuration,javax.cache.event","javax.cache.configuration.CacheEntryListenerConfiguration,javax.cache.event.CacheEntryUpdatedListener,javax.cache.event.CacheEntryCreatedListener,javax.cache.event.CacheEntryExpiredListener,javax.cache.event.CacheEntryRemovedListener,javax.cache.configuration.Factory,javax.cache.event.CacheEntryListener,javax.cache.event.CacheEntryEvent,javax.cache.event.CacheEntryEventFilter,javax.cache.event.CacheEntryListenerException","caching","org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter",""
"axon-common-5.1.1","org.axonframework.common.infra","JacksonComponentDescriptor",5,30,2,5,"com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.node","com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind.node.ObjectNode,com.fasterxml.jackson.databind.SerializationFeature,com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.databind.node.ArrayNode","infra","org.axonframework.common.infra.JacksonComponentDescriptor",""
