"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package.cypher"
"axon-common-5.1.1","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryListenerException,CacheEntryEvent,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryCreatedListener,CacheEntryListener","caching",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro.message",8,28,11,"BadHeaderException,SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder","avro",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","tools.jackson.databind",8,39,6,"JsonNode,ObjectMapper,JavaType","jackson",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","com.fasterxml.jackson.databind",8,42,6,"JsonNode,ObjectMapper,JavaType","jackson2",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.annotation","org.slf4j",8,17,53,"LoggerFactory,Logger","annotation",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jpa","jakarta.persistence",8,26,6,"EntityManagerFactory,EntityManager,EntityTransaction","jpa",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",8,64,4,"CommandResponse,CommandResponse$Builder,Command$Builder,Command","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector.event",8,38,15,"DcbEventChannel$AppendEventsTransaction,EventStream,AggregateEventStream,AppendEventsTransaction,EventChannel,DcbEventChannel","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared","io.axoniq.axonserver.grpc",8,52,8,"MetaDataValue$DataCase,ErrorMessage,SerializedObject,ErrorMessage$Builder,MetaDataValue$Builder,MetaDataValue","shared",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","io.axoniq.axonserver.grpc.event.dcb",8,28,2,"AddSnapshotRequest$Builder,GetLastSnapshotResponse,Snapshot$Builder,Snapshot,GetLastSnapshotRequest,AddSnapshotRequest,GetLastSnapshotRequest$Builder,AddSnapshotResponse","snapshot",""
"axon-test-5.1.1","org.axonframework.test.extension","org.junit.jupiter.api.extension",8,28,5,"ExtensionContext$Store,ParameterContext,ExtensionContext$Namespace,ExtensionContext,AfterEachCallback,ParameterResolutionException,BeforeEachCallback,ParameterResolver","extension",""
"axon-update-5.1.1","org.axonframework.update","org.slf4j",8,28,6,"LoggerFactory,Logger","update",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro.generic",7,29,11,"GenericData,GenericRecord,GenericDatumReader","avro",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",7,16,13,"Logger,LoggerFactory","jpa",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",7,40,13,"EntityExistsException,GenerationType,Index,TypedQuery,EntityManager","jpa",""
"axon-test-5.1.1","org.axonframework.test.fixture","org.hamcrest",7,47,33,"Matcher,StringDescription,CoreMatchers,Description","fixture",""
"axon-messaging-5.1.1","org.axonframework.messaging.core","reactor.core.publisher",6,26,87,"Mono,Flux,FluxSink","core",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.axonserver.grpc.control",6,32,8,"UpdateType,TopologyChange,QuerySubscription,CommandSubscription","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.connector.query",6,19,9,"QueryHandler$UpdateHandler,QueryHandler,QueryChannel,QueryDefinition,SubscriptionQueryResult","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc",6,39,9,"SerializedObject$Builder,ProcessingInstruction$Builder,SerializedObject,MetaDataValue$Builder,ProcessingKey,MetaDataValue","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared","io.grpc",6,14,8,"Status,Metadata$Key,StatusRuntimeException,Status$Code,Metadata,Metadata$AsciiMarshaller","shared",""
"axon-common-5.1.1","org.axonframework.common","org.slf4j",5,14,34,"Logger,LoggerFactory","common",""
"axon-common-5.1.1","org.axonframework.common.configuration","org.slf4j",5,27,51,"Logger,LoggerFactory","configuration",""
"axon-common-5.1.1","org.axonframework.common.jpa","jakarta.persistence",5,11,5,"EntityManager,EntityManagerFactory","jpa",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception","jakarta.validation",5,16,22,"Validator,ConstraintViolation,ValidatorFactory,Validation","interception",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",5,79,5,"LockModeType,TypedQuery,Query,EntityManager","jpa",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.control",5,40,15,"EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo,EventProcessorInfo$Builder","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector",5,37,15,"ResultStream,AxonServerConnection","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event",5,31,15,"Event,EventWithToken,Event$Builder,ConfirmationWithConsistencyMarker","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.framework.messaging.queryhandling.distributed",5,11,9,"QueryBusConnector$UpdateCallback,QueryBusConnector$Handler,QueryBusConnector","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","io.axoniq.axonserver.grpc",5,68,12,"MetaDataValue,ProcessingKey,MetaDataValue$Builder,ProcessingInstruction,ProcessingInstruction$Builder","util",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator.axonserver","org.springframework.boot.actuate.health",5,20,3,"Health$Builder,Status,AbstractHealthIndicator,SimpleStatusAggregator","axonserver",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro.specific",4,14,11,"SpecificData,SpecificRecordBase","avro",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore","org.slf4j",4,6,51,"LoggerFactory,Logger","eventstore",""
"axon-messaging-5.1.1","org.axonframework.messaging.core","org.reactivestreams",4,9,87,"Subscriber,Subscription,Publisher","core",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception","org.slf4j",4,10,22,"LoggerFactory,Logger","interception",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.timeout","org.slf4j",4,15,9,"Logger,LoggerFactory","timeout",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling","org.slf4j",4,23,25,"Logger,LoggerFactory","queryhandling",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.axoniq.axonserver.connector",4,37,13,"AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,AxonServerConnection","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","io.axoniq.axonserver.grpc",4,20,4,"ProcessingInstruction$Builder,SerializedObject,SerializedObject$Builder,ProcessingKey","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.messaging.commandhandling.distributed",4,9,4,"CommandBusConnector$ResultCallback,CommandBusConnector$Handler,CommandBusConnector","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc",4,15,15,"MetaDataValue$Builder,MetaDataValue,SerializedObject$Builder,SerializedObject","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","org.slf4j",4,9,12,"Logger,LoggerFactory","util",""
"axon-update-5.1.1","org.axonframework.update.detection","org.slf4j",4,11,5,"LoggerFactory,Logger","detection",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.eventhandling.deadletter",4,15,9,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","org.springframework.boot.testcontainers.service.connection",4,9,5,"ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionDetailsFactory","connection",""
"axon-common-5.1.1","org.axonframework.common.caching","javax.cache.configuration",3,9,13,"Factory,CacheEntryListenerConfiguration","caching",""
"axon-common-5.1.1","org.axonframework.common.infra","com.fasterxml.jackson.databind",3,14,9,"JsonNode,SerializationFeature,ObjectMapper","infra",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","tools.jackson.databind.node",3,12,6,"ObjectNode,JsonNodeType","jackson",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","tools.jackson.core",3,6,6,"JacksonException","jackson",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","com.fasterxml.jackson.databind.node",3,12,6,"ObjectNode,JsonNodeType","jackson2",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.inmemory","org.slf4j",3,14,6,"Logger,LoggerFactory","inmemory",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork","org.slf4j",3,6,16,"Logger,LoggerFactory","unitofwork",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.command","io.axoniq.axonserver.grpc",3,11,4,"ErrorMessage","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.query","io.axoniq.axonserver.grpc",3,11,4,"ErrorMessage","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","org.slf4j",3,10,4,"Logger,LoggerFactory","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","com.google.protobuf",3,10,15,"ByteString","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.grpc",3,7,15,"Status$Code,Status,StatusRuntimeException","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","io.grpc",3,9,2,"Status,Status$Code,StatusRuntimeException","snapshot",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",3,12,9,"DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder,JdbcSequencedDeadLetterQueue","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","org.springframework.boot.autoconfigure.service.connection",3,3,5,"ConnectionDetails","connection",""
"axon-common-5.1.1","org.axonframework.common.infra","com.fasterxml.jackson.databind.node",2,16,9,"ArrayNode,ObjectNode","infra",""
"axon-common-5.1.1","org.axonframework.common.lifecycle","org.slf4j",2,3,6,"LoggerFactory,Logger","lifecycle",""
"axon-common-5.1.1","org.axonframework.common.property","org.slf4j",2,5,10,"Logger,LoggerFactory","property",""
"axon-conversion-5.1.1","org.axonframework.conversion","org.slf4j",2,5,12,"LoggerFactory,Logger","conversion",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.slf4j",2,6,11,"LoggerFactory,Logger","avro",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","tools.jackson.databind.json",2,5,6,"JsonMapper,JsonMapper$Builder","jackson",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","org.slf4j",2,14,6,"LoggerFactory,Logger","jackson",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","org.slf4j",2,14,6,"Logger,LoggerFactory","jackson2",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.handler","org.slf4j",2,5,7,"Logger,LoggerFactory","handler",""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling","org.slf4j",2,8,19,"LoggerFactory,Logger","commandhandling",""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.interception","org.slf4j",2,7,7,"LoggerFactory,Logger","interception",""
"axon-messaging-5.1.1","org.axonframework.messaging.core.annotation","reactor.core.publisher",2,6,53,"Mono,Flux","annotation",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling","org.slf4j",2,8,18,"LoggerFactory,Logger","eventhandling",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","org.slf4j",2,4,15,"Logger,LoggerFactory","segmenting",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token","com.fasterxml.jackson.annotation",2,6,9,"JsonTypeInfo$Id","token",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","org.slf4j",2,3,4,"LoggerFactory,Logger","inmemory",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","org.slf4j",2,3,10,"Logger,LoggerFactory","jdbc",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","org.slf4j",2,3,5,"LoggerFactory,Logger","jpa",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.annotation","reactor.core.publisher",2,2,8,"Flux,Mono","annotation",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway","reactor.util.concurrent",2,4,3,"Queues","gateway",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway","reactor.core.publisher",2,7,3,"Flux,Mono","gateway",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway","org.reactivestreams",2,16,3,"Publisher","gateway",""
"axon-modelling-5.1.1","org.axonframework.modelling","org.slf4j",2,3,17,"Logger,LoggerFactory","modelling",""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.annotation","org.slf4j",2,14,19,"LoggerFactory,Logger","annotation",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.grpc",2,6,13,"ClientInterceptor,ManagedChannelBuilder","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.axoniq.axonserver.grpc.control",2,14,13,"NodeInfo,NodeInfo$Builder","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","io.axoniq.axonserver.connector",2,12,4,"Registration,AxonServerConnection","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.framework.messaging.queryhandling.distributed",2,13,8,"QueryBusConnector,PayloadConvertingQueryBusConnector","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.framework.messaging.commandhandling.distributed",2,13,8,"PayloadConvertingCommandBusConnector,CommandBusConnector","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector.control",2,3,15,"ControlChannel,ProcessorInstructionHandler","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","org.slf4j",2,7,9,"Logger,LoggerFactory","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","com.google.protobuf",2,6,12,"MessageLite","util",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","io.grpc.stub",2,5,12,"ClientCallStreamObserver,ClientResponseObserver","util",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","reactor.core.scheduler",2,2,12,"Scheduler,Schedulers","util",""
"axon-test-5.1.1","org.axonframework.test.matchers","org.slf4j",2,3,24,"Logger,LoggerFactory","matchers",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context",2,7,6,"Scope,Context","opentelemetry",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","org.slf4j",2,7,6,"LoggerFactory,Logger","opentelemetry",""
"axon-update-5.1.1","org.axonframework.update.configuration","org.slf4j",2,6,8,"Logger,LoggerFactory","configuration",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.eventhandling.deadletter.jpa",2,7,9,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.deadletter",2,2,9,"SequencedDeadLetterQueue","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.postgresql",2,2,9,"PostgresqlConfigurationEnhancer,PostgresqlEventStorageEngine","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","org.springframework.context",2,4,9,"ApplicationContextAware,ApplicationContext","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","io.axoniq.framework.testcontainer",2,6,5,"AxonServerContainer","connection",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","org.springframework.boot.docker.compose.service.connection",2,5,5,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory","connection",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","org.slf4j",2,3,5,"Logger,LoggerFactory","connection",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","org.springframework.boot.docker.compose.core",2,5,5,"ConnectionPorts,RunningService","connection",""
"axon-common-5.1.1","org.axonframework.common.caching","javax.cache",1,13,13,"Cache","caching",""
"axon-common-5.1.1","org.axonframework.common.caching","org.ehcache.config",1,2,13,"CacheRuntimeConfiguration","caching",""
"axon-common-5.1.1","org.axonframework.common.caching","org.ehcache.core",1,13,13,"Ehcache","caching",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.commons.lang3.tuple",1,4,11,"Pair","avro",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro.io",1,3,11,"DecoderFactory","avro",""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","com.fasterxml.jackson.core",1,1,6,"JsonProcessingException","jackson2",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation","WrappedEventCriteriaBuilderMethod",1,1,12,"WrappedEventCriteriaBuilderMethod","annotation",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation.reflection","ScannedEntityCreator",1,4,7,"ScannedEntityCreator","reflection",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation.reflection","IdTypeParameterResolver",1,1,7,"IdTypeParameterResolver","reflection",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling","reactor.core.publisher",1,4,25,"MonoSink","queryhandling",""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.annotation","org.reactivestreams",1,1,8,"Publisher","annotation",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument.simple",1,2,12,"SimpleMeterRegistry","micrometer",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.reservoir","io.micrometer.core.instrument",1,4,2,"Clock","reservoir",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","io.micrometer.core.instrument",1,3,5,"MeterRegistry","springboot",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","io.micrometer.core.instrument.simple",1,2,5,"SimpleMeterRegistry","springboot",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.springboot.autoconfig",1,1,5,"AxonAutoConfiguration","springboot",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.axoniq.axonserver.connector.impl",1,3,13,"ServerAddress","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.grpc.netty.shaded.io.grpc.netty",1,1,13,"GrpcSslContexts","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,13,"SslContextBuilder","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.axoniq.axonserver.connector.control",1,1,13,"ControlChannel","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","io.axoniq.axonserver.grpc",1,4,13,"ErrorMessage","api",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","com.google.protobuf",1,4,4,"ByteString","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","io.axoniq.axonserver.connector.command",1,3,4,"CommandChannel","command",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.grpc",1,3,8,"ManagedChannelBuilder","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.axonserver.connector",1,1,8,"AxonServerConnection","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.axonserver.connector.control",1,1,8,"ControlChannel","configuration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector.admin",1,3,15,"AdminChannel","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","com.google.protobuf",1,7,9,"ByteString","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared","com.google.protobuf",1,2,8,"ByteString","shared",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","com.google.protobuf",1,10,2,"ByteString","snapshot",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","io.axoniq.axonserver.connector.event",1,2,2,"SnapshotChannel","snapshot",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","io.axoniq.axonserver.connector",1,5,2,"AxonServerConnection","snapshot",""
"axon-test-5.1.1","org.axonframework.test.fixture","org.awaitility",1,1,33,"Awaitility","fixture",""
"axon-test-5.1.1","org.axonframework.test.fixture","org.awaitility.core",1,2,33,"ConditionFactory","fixture",""
"axon-test-5.1.1","org.axonframework.test.util","org.hamcrest",1,7,12,"Description","util",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api",1,2,6,"GlobalOpenTelemetry","opentelemetry",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator","org.springframework.boot.actuate.health",1,3,2,"Status","actuator",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","org.springframework.boot.actuate.health",1,1,9,"SimpleStatusAggregator","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","jakarta.persistence",1,3,9,"EntityManagerFactory","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","org.springframework.beans",1,1,9,"BeansException","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.queryhandling.distributed",1,4,9,"DistributedQueryBusConfiguration","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.framework.messaging.commandhandling.distributed",1,4,9,"DistributedCommandBusConfiguration","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.axonserver.connector.control",1,1,9,"ControlChannel","autoconfig",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","io.axoniq.axonserver.connector",1,1,9,"AxonServerConnection","autoconfig",""
