"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-test-5.1.1",,,true,,,3,21,2,21,3,1,3,"/org/axonframework/test/extension -> /org/axonframework/messaging/eventhandling,/org/axonframework/test/extension -> /org/axonframework/messaging/monitoring,/org/axonframework/test/extension -> /org/axonframework/common/infra","axon-test-5.1.1 -> axon-messaging-5.1.1,axon-test-5.1.1 -> axon-common-5.1.1","",""
"axon-test-5.1.1",,,true,,,4,9,2,9,2,1,2,"/org/axonframework/test/extension -> /org/axonframework/messaging/core/unitofwork,/org/axonframework/test/extension -> /org/axonframework/messaging/core/annotation","axon-test-5.1.1 -> axon-messaging-5.1.1","",""
"axon-update-5.1.1",,,false,,,1,26,10,26,3,1,3,"/org/axonframework/update -> /org/axonframework/update/detection,/org/axonframework/update -> /org/axonframework/update/common,/org/axonframework/update -> /org/axonframework/update/configuration","axon-update-5.1.1 -> axon-update-5.1.1","",""
"axon-update-5.1.1",,,false,,,2,18,5,18,1,1,1,"/org/axonframework/update -> /org/axonframework/update/api","axon-update-5.1.1 -> axon-update-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,false,,,1,26,10,26,3,1,3,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator/axonserver,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/service/connection","axoniq-spring-boot-autoconfigure-5.1.1 -> axoniq-spring-boot-autoconfigure-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,false,,,2,18,5,18,1,1,1,"/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/springboot/actuator","axoniq-spring-boot-autoconfigure-5.1.1 -> axoniq-spring-boot-autoconfigure-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,1,26,10,26,4,1,4,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing/streaming/pooled,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core/unitofwork/transaction/jdbc,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core/unitofwork/transaction/jpa,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/configuration","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-messaging-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-server-connector-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,2,18,5,18,7,1,7,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core/unitofwork/transaction,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/snapshot,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/event,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/command","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-messaging-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-server-connector-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-common-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,3,21,2,21,17,1,17,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/conversion,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing/subscribing,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing/streaming","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-messaging-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-server-connector-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-conversion-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-common-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,4,9,2,9,7,1,7,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/queryhandling,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/api,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/api/command,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/api/query","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-messaging-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-server-connector-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-common-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-eventsourcing-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,5,4,1,4,4,1,4,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/commandhandling,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/messaging/core,/io/axoniq/framework/springboot/autoconfig -> /io/axoniq/framework/axonserver/connector/util,/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/common","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-messaging-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-server-connector-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1 -> axon-common-5.1.1","",""
"axoniq-spring-boot-autoconfigure-5.1.1",,,true,,,6,1,1,1,1,1,1,"/io/axoniq/framework/springboot/autoconfig -> /org/axonframework/common/util","axoniq-spring-boot-autoconfigure-5.1.1 -> axon-common-5.1.1","",""
