"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.handler","handler",47,155,27,1,13,4,""
"axon-modelling-5.1.1","org.axonframework.modelling.annotation","annotation",47,98,32,0,12,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.interception.annotation","annotation",46,123,23,0,5,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.entity.child","child",46,100,17,7,8,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventstreaming","eventstreaming",45,107,10,14,5,1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer","micrometer",41,148,19,0,9,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.annotation","annotation",40,96,30,1,10,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.configuration","configuration",39,117,20,3,7,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.configuration","configuration",39,117,20,3,7,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.replay.annotation","annotation",37,60,20,0,8,2,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","autoconfig",36,113,25,0,11,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.gateway","gateway",34,125,16,2,7,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.sequencing","sequencing",34,56,14,0,10,2,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.annotation.reflection","reflection",32,114,18,0,10,2,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot","springboot",29,90,16,0,8,3,""
"axon-conversion-5.1.1","org.axonframework.conversion","conversion",29,41,6,14,3,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction","transaction",29,60,12,0,8,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.retry","retry",28,56,10,1,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.tracing","tracing",28,66,9,6,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.interception","interception",27,64,12,0,5,1,""
"axon-update-5.1.1","org.axonframework.update","update",27,47,8,2,3,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.gateway","gateway",26,84,12,1,6,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.tracing","tracing",26,78,12,0,5,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","command",25,87,21,0,12,3,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.configuration","configuration",25,186,25,0,11,4,""
"axon-test-5.1.1","org.axonframework.test.util","util",25,67,16,1,7,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.tracing","tracing",23,64,13,0,6,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.timeout","timeout",23,51,17,0,7,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",23,175,18,0,10,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.shared","shared",20,53,19,0,10,4,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",20,42,14,0,8,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",20,129,15,0,9,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.gateway","gateway",18,90,16,0,5,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.queryhandling.tracing","tracing",18,72,6,0,4,1,""
"axon-modelling-5.1.1","org.axonframework.modelling.repository","repository",17,49,5,5,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.correlation","correlation",16,27,9,1,3,1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","api",15,34,9,0,4,2,""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","avro",14,62,8,1,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.commandhandling.retry","retry",14,41,14,0,6,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.tracing.attributes","attributes",14,19,4,0,2,0,""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson","jackson",12,32,6,0,3,1,""
"axon-conversion-5.1.1","org.axonframework.conversion.jackson2","jackson2",12,32,6,0,3,1,""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","opentelemetry",12,45,8,0,3,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.configuration.reflection","reflection",12,30,9,0,3,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.reflection","reflection",11,20,7,0,3,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",11,59,9,0,5,1,""
"axon-test-5.1.1","org.axonframework.test.matchers","matchers",11,21,7,0,5,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.conversion","conversion",10,27,4,3,4,2,""
"axon-common-5.1.1","org.axonframework.common.caching","caching",8,14,3,0,1,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",8,15,7,0,7,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.conversion","conversion",8,23,6,1,5,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",8,17,6,0,4,0,""
"axon-conversion-5.1.1","org.axonframework.conversion.converter","converter",7,9,2,0,1,0,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot","snapshot",7,14,4,3,4,2,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","snapshot",6,40,6,0,5,2,""
"axon-common-5.1.1","org.axonframework.common.jdbc","jdbc",6,8,4,0,4,0,""
"axon-messaging-5.1.1","org.axonframework.messaging.core.unitofwork.annotation","annotation",6,10,4,0,3,1,""
"axon-test-5.1.1","org.axonframework.test.extension","extension",6,32,5,0,4,1,""
"axon-update-5.1.1","org.axonframework.update.api","api",6,6,1,1,1,0,""
"axon-update-5.1.1","org.axonframework.update.configuration","configuration",6,6,1,1,1,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.command","command",5,11,4,0,2,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.query","query",5,10,4,0,2,1,""
"axon-common-5.1.1","org.axonframework.common.infra","infra",5,13,3,0,2,0,""
"axon-common-5.1.1","org.axonframework.common.jpa","jpa",5,6,4,0,4,0,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","springboot",5,8,3,0,2,1,""
"axon-update-5.1.1","org.axonframework.update.detection","detection",5,12,2,0,2,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.api","api",4,7,2,3,2,1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-common-5.1.1","org.axonframework.common.annotation","annotation",3,4,3,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.lock","lock",3,7,2,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.tx","tx",3,5,3,1,2,0,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",3,9,3,0,3,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.store","store",3,5,3,0,3,2,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",3,8,3,1,3,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","util",2,10,2,1,1,0,""
"axon-common-5.1.1","org.axonframework.common.property","property",2,3,2,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator","actuator",1,3,1,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.lifecycle","lifecycle",1,2,1,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.util","util",1,2,1,0,1,0,""
"axon-update-5.1.1","org.axonframework.update.common","common",1,1,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service","service",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","connection",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework.common","common",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework.common.function","function",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,0,0,0,-1,""
