"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-update-5.1.1","org.axonframework.update.api","api",11,37,5,0,2,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",10,63,4,2,4,1,""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",8,18,5,3,4,0,""
"axon-conversion-5.1.1","org.axonframework.conversion.converter","converter",7,9,2,1,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot","springboot",6,24,4,0,2,1,""
"axon-common-5.1.1","org.axonframework.common.tx","tx",6,10,3,2,2,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.command","command",5,11,4,0,2,0,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api.query","query",5,10,4,0,2,1,""
"axon-common-5.1.1","org.axonframework.common.annotation","annotation",5,8,5,0,2,0,""
"axon-update-5.1.1","org.axonframework.update.detection","detection",5,12,2,0,2,1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service.connection","connection",4,8,2,0,1,0,""
"axon-common-5.1.1","org.axonframework.common.lifecycle","lifecycle",4,15,4,0,2,0,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-common-5.1.1","org.axonframework.common.util","util",3,4,2,0,2,0,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",3,9,3,1,3,1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot.store","store",3,5,3,0,3,2,""
"axon-common-5.1.1","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-update-5.1.1","org.axonframework.update.common","common",1,1,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.1","io","io",0,0,0,0,0,-1,""
"axon-server-connector-5.1.1","io","io",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq","axoniq",0,0,0,0,0,-1,""
"axon-server-connector-5.1.1","io.axoniq","axoniq",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework","framework",0,0,0,0,0,-1,""
"axon-server-connector-5.1.1","io.axoniq.framework","framework",0,0,0,0,0,-1,""
