"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",24,48,9,4,8,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",24,46,9,4,8,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring","monitoring",22,52,8,4,4,1,""
"axon-common-5.0.3","org.axonframework.common.lock","lock",21,79,11,2,2,0,""
"axon-conversion-5.0.3","org.axonframework.conversion","conversion",21,93,10,4,3,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","jackson",21,62,10,3,4,1,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","jackson2",21,62,10,3,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion","conversion",21,59,5,4,5,2,""
"axon-common-5.0.3","org.axonframework.common.jdbc","jdbc",19,52,10,3,5,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token","token",19,207,9,4,4,2,""
"axon-update-5.0.3","org.axonframework.update.configuration","configuration",19,36,8,2,2,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","util",17,62,12,0,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.annotation","annotation",17,29,5,3,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming","streaming",16,44,4,4,4,0,""
"axon-common-5.0.3","org.axonframework.common.property","property",15,27,8,1,2,0,""
"axon-common-5.0.3","org.axonframework.common.jpa","jpa",14,20,5,3,5,0,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.springboot","springboot",14,29,8,2,4,2,""
"axon-test-5.0.3","org.axonframework.test","test",13,20,7,3,4,2,""
"axon-test-5.0.3","org.axonframework.test.extension","extension",11,57,8,1,5,1,""
"axon-update-5.0.3","org.axonframework.update.api","api",11,37,5,0,2,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",10,63,4,2,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",8,18,5,3,4,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.converter","converter",7,9,2,1,1,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util","util",7,9,6,0,1,0,""
"axon-common-5.0.3","org.axonframework.common.tx","tx",6,10,3,2,2,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service.connection","connection",6,16,3,1,2,1,""
"axon-update-5.0.3","org.axonframework.update.detection","detection",5,12,2,0,2,1,""
"axon-common-5.0.3","org.axonframework.common.lifecycle","lifecycle",4,15,4,0,2,0,""
"axon-common-5.0.3","org.axonframework.common.annotation","annotation",3,4,3,0,2,0,""
"axon-common-5.0.3","org.axonframework.common.util","util",3,4,2,0,2,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-test-5.0.3","org.axonframework.test.server","server",2,4,2,0,2,1,""
"axon-common-5.0.3","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util.jpa","jpa",1,1,1,1,1,0,""
"axon-update-5.0.3","org.axonframework.update.common","common",1,1,1,0,1,0,""
"axon-test-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-messaging-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-server-connector-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-update-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-common-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-modelling-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-conversion-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.3","org","org",0,0,0,0,0,-1,""
"axon-test-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-update-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-modelling-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-conversion-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver","axonserver",0,0,0,0,0,-1,""
"axon-common-5.0.3","org.axonframework.common.function","function",0,0,0,0,0,-1,""
"axon-common-5.0.3","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics","metrics",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator","actuator",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service","service",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.0.3","org.axonframework.messaging","messaging",0,0,0,0,0,-1,""
