"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.11.0","invariant",1,0,0,0,""
"react-router-7.11.0","links",8,0,0,9,""
"react-router-7.11.0","markup",1,0,1,0,""
"react-router-7.11.0","routeModules",21,0,27,6,""
"react-router-7.11.0","history",25,0,35,0,""
"react-router-7.11.0","instrumentation",9,0,14,0,""
"react-router-7.11.0","links",3,0,6,0,""
"react-router-7.11.0","router",33,0,52,1,""
"react-router-7.11.0","utils",85,0,165,0,""
"react-router-7.11.0","route-modules",2,0,0,0,""
"react-router-7.11.0","server",21,0,38,19,""
"react-router-7.11.0","browser",1,0,1,0,""
"react-router-7.11.0","server",1,0,0,0,""
"react-router-7.11.0","build",5,0,11,0,""
"react-router-7.11.0","cookies",6,0,19,4,""
"react-router-7.11.0","crypto",2,0,2,0,""
"react-router-7.11.0","data",2,0,7,0,""
"react-router-7.11.0","dev",3,0,4,2,""
"react-router-7.11.0","entry",1,0,1,0,""
"react-router-7.11.0","errors",5,0,5,0,""
"react-router-7.11.0","headers",2,0,3,1,""
"react-router-7.11.0","invariant",1,0,0,0,""
"react-router-7.11.0","mode",2,0,5,0,""
"react-router-7.11.0","routeMatching",2,0,2,0,""
"react-router-7.11.0","routes",4,0,6,9,""
"react-router-7.11.0","server",3,0,4,0,""
"react-router-7.11.0","serverHandoff",2,0,2,0,""
"react-router-7.11.0","sessions",11,0,3,10,""
"react-router-7.11.0","single-fetch",8,0,5,4,""
"react-router-7.11.0","warnings",1,0,2,0,""
"react-router-7.11.0","cookieStorage",1,0,2,2,""
"react-router-7.11.0","memoryStorage",1,0,2,1,""
"react-router-7.11.0","future",2,0,3,0,""
"react-router-7.11.0","internal",2,0,0,0,""
"react-router-7.11.0","params",1,0,0,0,""
"react-router-7.11.0","register",4,0,1,0,""
"react-router-7.11.0","route-data",7,0,6,0,""
"react-router-7.11.0","route-module-annotations",1,0,1,0,""
"react-router-7.11.0","route-module",1,0,3,0,""
"react-router-7.11.0","serializes-to",1,0,1,0,""
"react-router-7.11.0","utils",6,0,1,0,""
"react-router-7.11.0","flatten",1,0,1,0,""
"react-router-7.11.0","turbo-stream",2,0,1,0,""
"react-router-7.11.0","unflatten",1,0,1,0,""
"react-router-7.11.0","utils",24,0,46,0,""
"react-router-7.11.0","defineRoutes",3,0,2,0,""
"react-router-7.11.0","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.11.0","manifest",3,0,4,0,""
"react-router-7.11.0","normalizeSlashes",1,0,1,3,""
"react-router-7.11.0","flatRoutes",13,0,1,15,""
"react-router-7.11.0","react-router-fs-routes",1,0,0,5,""
"react-router-7.11.0","manifest",3,0,3,0,""
"react-router-7.11.0","normalizeSlashes",1,0,2,3,""
"react-router-7.11.0","copy-template",2,0,2,33,""
"react-router-7.11.0","create-react-router",2,0,0,28,""
"react-router-7.11.0","loading-indicator",1,0,1,12,""
"react-router-7.11.0","prompt",1,0,1,2,""
"react-router-7.11.0","prompts-confirm",3,0,1,5,""
"react-router-7.11.0","prompts-multi-select",2,0,1,5,""
"react-router-7.11.0","prompts-prompt-base",2,0,8,14,""
"react-router-7.11.0","prompts-select",3,0,3,6,""
"react-router-7.11.0","prompts-text",2,0,1,8,""
"react-router-7.11.0","utils",28,0,36,29,""
"react-router-7.11.0","react-router-node",7,0,2,0,""
"react-router-7.11.0","server",2,0,2,3,""
"react-router-7.11.0","stream",4,0,4,11,""
"react-router-7.11.0","fileStorage",2,0,1,9,""
"react-router-7.11.0","binaryTypes",1,0,1,0,""
"react-router-7.11.0","react-router-architect",4,0,3,0,""
"react-router-7.11.0","server",6,0,3,22,""
"react-router-7.11.0","arcTableSessionStorage",1,0,1,6,""
"react-router-7.11.0","react-router-express",3,0,3,0,""
"react-router-7.11.0","server",6,0,3,18,""
"react-router-7.11.0","react-router-cloudflare",6,0,0,0,""
"react-router-7.11.0","worker",5,0,5,18,""
"react-router-7.11.0","workersKVStorage",1,0,1,5,""
