"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"TS,ObjectMember","OF_TYPE","Object,TS",42,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_DEPENDENCY","NPM,Dependency",41,""
"TS,Property","OF_TYPE","TS,NotIdentified",41,""
"TS,Parameter","OF_TYPE","Object,TS",41,""
"Value,TS,Declared","OF_TYPE","TS,Intersection,Function",41,""
"Value,TS,Call","HAS_ARGUMENT","Value,TS,Member",41,""
"TS,Class,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",41,""
"TS,Property","DEPENDS_ON","TS,TypeAlias",41,""
"Value,TS,ObjectMember","OF_TYPE","TS,Function",40,""
"TS,Function","RETURNS","TS,Function",40,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Literal",40,""
"TS,Function","DEPENDS_ON","TS,Method,Local,Module",40,""
"TS,Local,Module","DECLARES","TS,Variable",40,""
"TS,TypeAlias","DEPENDS_ON","TS,ExternalModule",40,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",40,""
"TS,Interface","DECLARES","TS,TypeParameter",39,""
"TS,TypeAlias","OF_TYPE","TS,Function",39,""
"Value,TS,Call","OF_TYPE","TS,Function",38,""
"TS,Interface","DEPENDS_ON","TS,Local,Module",38,""
"Json,Key","HAS_VALUE","Json,Value,Array",37,""
"TS,Parameter","OF_TYPE","TS,Function",36,""
"TS,TypeAlias","OF_TYPE","TS,NotIdentified",35,""
"TS,Variable","DEPENDS_ON","TS,Interface",33,""
"TS,Property,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",33,""
"TS,FunctionParameter","OF_TYPE","Object,TS",33,""
"TS,Declared","REFERENCES","TS,Function,Enum",33,""
"TS,Tuple","CONTAINS","TS,Primitive",33,""
"Value,Array,TS","OF_TYPE","TS,Declared",32,""
"TS,TypeParameter","CONSTRAINED_BY","TS,Primitive",32,""
"TS,Local,Module","DECLARES","TS,Function",32,""
"TS,Variable","INITIALIZED_WITH","Value,Array,TS",31,""
"TS,Declared","REFERENCES","TS,Class",31,""
"TS,Interface","EXTENDS","TS,Declared",30,""
"TS,Function","RETURNS","Object,TS",30,""
"Value,TS,Declared","OF_TYPE","TS,NotIdentified",30,""
"TS,Function","DEPENDS_ON","TS,EnumMember",30,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",30,""
"TS,Union","CONTAINS","TS,TypeParameterReference",29,""
"TS,Constructor","DEPENDS_ON","TS,Property",29,""
"TS,Function","DEPENDS_ON","TS,Enum",29,""
"TS,Local,Module","EXPORTS","TS,TypeAlias",29,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",29,""
"TS,Property","DEPENDS_ON","TS,Local,Module",29,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Call",28,""
"TS,Local,Module","DECLARES","TS,Function",28,""
"TS,Method,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",28,""
"jQAssistant,Rule,Concept","REQUIRES_CONCEPT","jQAssistant,Rule,Concept",28,""
"Directory,Local,Project,TS","CONTAINS","TS,Local,Module",27,""
"TS,Property","DEPENDS_ON","TS,ExternalModule",27,""
"TS,Local,Module","DEPENDS_ON","TS,Property,ExternalDeclaration",27,""
"Git","RESOLVES_TO","TS,Local,Module",27,""
"Value,TS,ObjectMember","OF_TYPE","TS,Primitive",26,""
"Value,TS,Call","HAS_ARGUMENT","Value,TS,Literal",26,""
"TS,Local,Module","DECLARES","TS,Interface",26,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalModule,Function",26,""
"TS,TypeAlias","OF_TYPE","TS,Intersection",25,""
"Value,TS,Null","OF_TYPE","TS,Primitive",25,""
"TS,Interface","DEPENDS_ON","TS,ExternalDeclaration",25,""
"TS,Variable","DEPENDS_ON","TS,Local,Module",25,""
"Package,Json,NPM","DECLARES_ENGINE","NPM,Engine",24,""
"TS,Local,Module","EXPORTS","TS,Function,Interface",24,""
"TS,Local,Module","DEPENDS_ON","TS,Function,ExternalDeclaration",24,""
"TS,Method","DEPENDS_ON","TS,TypeAlias",23,""
"TS,TypeAlias","OF_TYPE","TS,Declared",23,""
"TS,Function","DEPENDS_ON","TS,Local,Module",23,""
"TS,Local,Module","DECLARES","TS,TypeAlias",23,""
"TS,Class","DEPENDS_ON","TS,Property",23,""
"TS,Function","DEPENDS_ON","TS,Local,Module",22,""
"TS,Local,Module","DECLARES","TS,TypeAlias",22,""
"TS,Method","DEPENDS_ON","TS,Local,Module",22,""
"TS,Local,Module","EXPORTS","TS,Function",22,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",22,""
"TS,Parameter","OF_TYPE","TS,TypeParameterReference",21,""
"TS,Variable","DEPENDS_ON","TS,Property",21,""
"TS,Local,Module","DECLARES","TS,Variable",21,""
"TS,Function","DEPENDS_ON","TS,Local,Module",21,""
"TS,Local,Module","DEPENDS_ON","TS,Function",21,""
"Package,Json,NPM,NpmNonDevPackage","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",21,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_PEER_DEPENDENCY","NPM,Dependency",20,""
"TS,Method","RETURNS","TS,Declared",20,""
"TS,Local,Module","DECLARES","TS,TypeAlias,Function",20,""
"Value,TS,ObjectMember","REFERENCES","Value,TS,Null",20,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",20,""
